role,model,prompt_tokens,completion_tokens,cost_usd,purpose
solver,gpt-4.1-mini-2025-04-14,147,84,0.0001932,eval
solver,gpt-4.1-mini-2025-04-14,140,82,0.00018720000000000002,eval
solver,gpt-4.1-mini-2025-04-14,143,121,0.0002508,eval
solver,gpt-4.1-mini-2025-04-14,135,82,0.00018520000000000003,eval
solver,gpt-4.1-mini-2025-04-14,143,99,0.0002156,eval
solver,gpt-4.1-mini-2025-04-14,136,137,0.00027360000000000004,eval
solver,gpt-4.1-mini-2025-04-14,141,211,0.000394,eval
solver,gpt-4.1-mini-2025-04-14,139,163,0.00031640000000000005,eval
solver,gpt-4.1-mini-2025-04-14,135,86,0.0001916,eval
solver,gpt-4.1-mini-2025-04-14,144,83,0.0001904,eval
solver,gpt-4.1-mini-2025-04-14,138,147,0.0002904,eval
solver,gpt-4.1-mini-2025-04-14,145,115,0.000242,eval
solver,gpt-4.1-mini-2025-04-14,135,53,0.0001388,eval
solver,gpt-4.1-mini-2025-04-14,140,64,0.0001584,eval
solver,gpt-4.1-mini-2025-04-14,135,80,0.000182,eval
solver,gpt-4.1-mini-2025-04-14,138,101,0.0002168,eval
solver,gpt-4.1-mini-2025-04-14,142,63,0.00015760000000000004,eval
solver,gpt-4.1-mini-2025-04-14,140,75,0.000176,eval
solver,gpt-4.1-mini-2025-04-14,141,108,0.00022920000000000001,eval
solver,gpt-4.1-mini-2025-04-14,141,129,0.0002628,eval
solver,gpt-4.1-mini-2025-04-14,146,74,0.00017680000000000001,eval
solver,gpt-4.1-mini-2025-04-14,145,154,0.00030439999999999997,eval
solver,gpt-4.1-mini-2025-04-14,138,121,0.00024880000000000003,eval
solver,gpt-4.1-mini-2025-04-14,149,145,0.00029160000000000004,eval
solver,gpt-4.1-mini-2025-04-14,143,79,0.00018360000000000002,eval
solver,gpt-4.1-mini-2025-04-14,146,62,0.00015760000000000004,eval
solver,gpt-4.1-mini-2025-04-14,140,66,0.00016160000000000002,eval
solver,gpt-4.1-mini-2025-04-14,140,61,0.00015360000000000002,eval
solver,gpt-4.1-mini-2025-04-14,152,114,0.00024320000000000003,eval
solver,gpt-4.1-mini-2025-04-14,152,87,0.00020000000000000004,eval
solver,gpt-4.1-mini-2025-04-14,138,65,0.0001592,eval
solver,gpt-4.1-mini-2025-04-14,141,101,0.00021800000000000004,eval
solver,gpt-4.1-mini-2025-04-14,145,75,0.000178,eval
solver,gpt-4.1-mini-2025-04-14,137,64,0.00015720000000000003,eval
solver,gpt-4.1-mini-2025-04-14,142,64,0.00015920000000000002,eval
solver,gpt-4.1-mini-2025-04-14,140,82,0.00018720000000000002,eval
solver,gpt-4.1-mini-2025-04-14,154,82,0.00019280000000000002,eval
solver,gpt-4.1-mini-2025-04-14,148,79,0.0001856,eval
solver,gpt-4.1-mini-2025-04-14,137,65,0.0001588,eval
solver,gpt-4.1-mini-2025-04-14,146,128,0.00026320000000000006,eval
solver,gpt-4.1-mini-2025-04-14,154,78,0.0001864,eval
solver,gpt-4.1-mini-2025-04-14,137,57,0.000146,eval
solver,gpt-4.1-mini-2025-04-14,148,86,0.0001968,eval
solver,gpt-4.1-mini-2025-04-14,144,71,0.00017120000000000001,eval
solver,gpt-4.1-mini-2025-04-14,167,282,0.000518,eval
solver,gpt-4.1-mini-2025-04-14,135,89,0.0001964,eval
solver,gpt-4.1-mini-2025-04-14,148,161,0.0003168,eval
solver,gpt-4.1-mini-2025-04-14,156,302,0.0005456,eval
solver,gpt-4.1-mini-2025-04-14,145,78,0.0001828,eval
solver,gpt-4.1-mini-2025-04-14,149,76,0.0001812,reflect:baseline
solver,gpt-4.1-mini-2025-04-14,170,65,0.000172,reflect:baseline
solver,gpt-4.1-mini-2025-04-14,150,81,0.0001896,reflect:baseline
solver,gpt-4.1-mini-2025-04-14,141,81,0.000186,reflect:baseline
solver,gpt-4.1-mini-2025-04-14,144,93,0.0002064,reflect:baseline
solver,gpt-4.1-mini-2025-04-14,145,189,0.00036040000000000003,reflect:baseline
solver,gpt-4.1-mini-2025-04-14,149,77,0.0001828,reflect:baseline
solver,gpt-4.1-mini-2025-04-14,147,118,0.0002476,reflect:baseline
solver,gpt-4.1-mini-2025-04-14,140,62,0.00015519999999999998,reflect:baseline
solver,gpt-4.1-mini-2025-04-14,142,70,0.0001688,reflect:baseline
solver,gpt-4.1-mini-2025-04-14,142,82,0.00018800000000000002,reflect:baseline
solver,gpt-4.1-mini-2025-04-14,144,85,0.0001936,reflect:baseline
solver,gpt-4.1-mini-2025-04-14,138,66,0.0001608,reflect:baseline
solver,gpt-4.1-mini-2025-04-14,167,191,0.00037240000000000005,reflect:baseline
solver,gpt-4.1-mini-2025-04-14,140,75,0.000176,reflect:baseline
solver,gpt-4.1-mini-2025-04-14,139,86,0.00019319999999999998,reflect:baseline
solver,gpt-4.1-mini-2025-04-14,152,125,0.0002608,reflect:baseline
solver,gpt-4.1-mini-2025-04-14,139,71,0.00016920000000000002,reflect:baseline
solver,gpt-4.1-mini-2025-04-14,141,83,0.00018920000000000002,reflect:baseline
solver,gpt-4.1-mini-2025-04-14,144,98,0.0002144,reflect:baseline
solver,gpt-4.1-mini-2025-04-14,140,70,0.000168,reflect:baseline
solver,gpt-4.1-mini-2025-04-14,139,80,0.0001836,reflect:baseline
solver,gpt-4.1-mini-2025-04-14,145,113,0.0002388,reflect:baseline
solver,gpt-4.1-mini-2025-04-14,147,112,0.00023800000000000004,reflect:baseline
solver,gpt-4.1-mini-2025-04-14,151,197,0.0003756,reflect:baseline
solver,gpt-4.1-mini-2025-04-14,140,58,0.0001488,reflect:baseline-val
solver,gpt-4.1-mini-2025-04-14,151,67,0.00016760000000000004,reflect:baseline-val
solver,gpt-4.1-mini-2025-04-14,146,82,0.00018960000000000003,reflect:baseline-val
solver,gpt-4.1-mini-2025-04-14,137,68,0.00016360000000000002,reflect:baseline-val
solver,gpt-4.1-mini-2025-04-14,146,67,0.00016560000000000001,reflect:baseline-val
solver,gpt-4.1-mini-2025-04-14,137,90,0.0001988,reflect:baseline-val
solver,gpt-4.1-mini-2025-04-14,142,127,0.00026,reflect:baseline-val
solver,gpt-4.1-mini-2025-04-14,153,134,0.00027560000000000003,reflect:baseline-val
solver,gpt-4.1-mini-2025-04-14,139,62,0.00015480000000000002,reflect:baseline-val
solver,gpt-4.1-mini-2025-04-14,157,59,0.00015720000000000003,reflect:baseline-val
solver,gpt-4.1-mini-2025-04-14,145,66,0.00016360000000000002,reflect:baseline-val
solver,gpt-4.1-mini-2025-04-14,153,71,0.00017480000000000002,reflect:baseline-val
solver,gpt-4.1-mini-2025-04-14,144,142,0.00028480000000000004,reflect:baseline-val
solver,gpt-4.1-mini-2025-04-14,142,69,0.00016720000000000003,reflect:baseline-val
solver,gpt-4.1-mini-2025-04-14,152,191,0.0003664,reflect:baseline-val
solver,gpt-4.1-mini-2025-04-14,150,62,0.0001592,reflect:baseline-val
solver,gpt-4.1-mini-2025-04-14,168,83,0.0002,reflect:baseline-val
solver,gpt-4.1-mini-2025-04-14,146,249,0.00045680000000000004,reflect:baseline-val
solver,gpt-4.1-mini-2025-04-14,145,81,0.0001876,reflect:baseline-val
solver,gpt-4.1-mini-2025-04-14,145,80,0.000186,reflect:baseline-val
solver,gpt-4.1-mini-2025-04-14,145,147,0.0002932,reflect:baseline-val
solver,gpt-4.1-mini-2025-04-14,137,62,0.000154,reflect:baseline-val
solver,gpt-4.1-mini-2025-04-14,146,63,0.00015920000000000002,reflect:baseline-val
solver,gpt-4.1-mini-2025-04-14,140,76,0.00017760000000000003,reflect:baseline-val
solver,gpt-4.1-mini-2025-04-14,152,112,0.00024000000000000003,reflect:baseline-val
optimizer,gpt-5-2025-08-07,3794,5847,0.0632125,reflect:rewrite-r1
solver,gpt-4.1-mini-2025-04-14,600,180,0.000528,reflect:round1
solver,gpt-4.1-mini-2025-04-14,630,189,0.0005544000000000001,reflect:round1
solver,gpt-4.1-mini-2025-04-14,609,227,0.0006068000000000001,reflect:round1
solver,gpt-4.1-mini-2025-04-14,604,174,0.00052,reflect:round1
solver,gpt-4.1-mini-2025-04-14,601,186,0.000538,reflect:round1
solver,gpt-4.1-mini-2025-04-14,609,214,0.000586,reflect:round1
solver,gpt-4.1-mini-2025-04-14,610,234,0.0006184000000000001,reflect:round1
solver,gpt-4.1-mini-2025-04-14,605,268,0.0006707999999999999,reflect:round1
solver,gpt-4.1-mini-2025-04-14,607,200,0.0005627999999999999,reflect:round1
solver,gpt-4.1-mini-2025-04-14,600,191,0.0005456,reflect:round1
solver,gpt-4.1-mini-2025-04-14,602,184,0.0005352,reflect:round1
solver,gpt-4.1-mini-2025-04-14,627,207,0.000582,reflect:round1
solver,gpt-4.1-mini-2025-04-14,602,192,0.000548,reflect:round1
solver,gpt-4.1-mini-2025-04-14,604,226,0.0006032,reflect:round1
solver,gpt-4.1-mini-2025-04-14,598,223,0.000596,reflect:round1
solver,gpt-4.1-mini-2025-04-14,612,222,0.0006,reflect:round1
solver,gpt-4.1-mini-2025-04-14,600,73,0.0003568,reflect:round1
solver,gpt-4.1-mini-2025-04-14,599,192,0.0005468000000000001,reflect:round1
solver,gpt-4.1-mini-2025-04-14,599,187,0.0005388,reflect:round1
solver,gpt-4.1-mini-2025-04-14,599,206,0.0005692000000000001,reflect:round1
solver,gpt-4.1-mini-2025-04-14,601,230,0.0006083999999999999,reflect:round1
solver,gpt-4.1-mini-2025-04-14,604,218,0.0005904,reflect:round1
solver,gpt-4.1-mini-2025-04-14,605,195,0.000554,reflect:round1
solver,gpt-4.1-mini-2025-04-14,607,235,0.0006188,reflect:round1
solver,gpt-4.1-mini-2025-04-14,611,198,0.0005612000000000001,reflect:round1
solver,gpt-4.1-mini-2025-04-14,600,177,0.0005232,reflect:round1-val
solver,gpt-4.1-mini-2025-04-14,602,174,0.0005192,reflect:round1-val
solver,gpt-4.1-mini-2025-04-14,606,175,0.0005224,reflect:round1-val
solver,gpt-4.1-mini-2025-04-14,606,189,0.0005448,reflect:round1-val
solver,gpt-4.1-mini-2025-04-14,597,198,0.0005556000000000001,reflect:round1-val
solver,gpt-4.1-mini-2025-04-14,613,227,0.0006084,reflect:round1-val
solver,gpt-4.1-mini-2025-04-14,597,205,0.0005668,reflect:round1-val
solver,gpt-4.1-mini-2025-04-14,611,224,0.0006028,reflect:round1-val
solver,gpt-4.1-mini-2025-04-14,599,164,0.0005020000000000001,reflect:round1-val
solver,gpt-4.1-mini-2025-04-14,606,195,0.0005543999999999999,reflect:round1-val
solver,gpt-4.1-mini-2025-04-14,605,199,0.0005604000000000001,reflect:round1-val
solver,gpt-4.1-mini-2025-04-14,617,183,0.0005396,reflect:round1-val
solver,gpt-4.1-mini-2025-04-14,604,232,0.0006128,reflect:round1-val
solver,gpt-4.1-mini-2025-04-14,612,266,0.0006704000000000001,reflect:round1-val
solver,gpt-4.1-mini-2025-04-14,613,334,0.0007796,reflect:round1-val
solver,gpt-4.1-mini-2025-04-14,602,186,0.0005384000000000001,reflect:round1-val
solver,gpt-4.1-mini-2025-04-14,610,200,0.000564,reflect:round1-val
solver,gpt-4.1-mini-2025-04-14,605,185,0.000538,reflect:round1-val
