role,model,prompt_tokens,completion_tokens,cost_usd,purpose
solver,gpt-4o-mini-2024-07-18,139,69,6.225e-05,eval
solver,gpt-4o-mini-2024-07-18,143,69,6.285e-05,eval
solver,gpt-4o-mini-2024-07-18,136,65,5.94e-05,eval
solver,gpt-4o-mini-2024-07-18,135,58,5.5049999999999996e-05,eval
solver,gpt-4o-mini-2024-07-18,141,69,6.255e-05,eval
solver,gpt-4o-mini-2024-07-18,147,103,8.384999999999999e-05,eval
solver,gpt-4o-mini-2024-07-18,143,89,7.484999999999999e-05,eval
solver,gpt-4o-mini-2024-07-18,140,91,7.56e-05,eval
solver,gpt-4o-mini-2024-07-18,144,71,6.42e-05,eval
solver,gpt-4o-mini-2024-07-18,135,62,5.7449999999999994e-05,eval
solver,gpt-4o-mini-2024-07-18,138,81,6.929999999999999e-05,eval
solver,gpt-4o-mini-2024-07-18,135,69,6.165e-05,eval
solver,gpt-4o-mini-2024-07-18,138,74,6.51e-05,eval
solver,gpt-4o-mini-2024-07-18,145,88,7.455e-05,eval
solver,gpt-4o-mini-2024-07-18,140,114,8.939999999999999e-05,eval
solver,gpt-4o-mini-2024-07-18,135,68,6.104999999999999e-05,eval
solver,gpt-4o-mini-2024-07-18,141,57,5.535e-05,eval
solver,gpt-4o-mini-2024-07-18,141,105,8.415e-05,eval
solver,gpt-4o-mini-2024-07-18,142,63,5.909999999999999e-05,eval
solver,gpt-4o-mini-2024-07-18,145,64,6.015e-05,eval
solver,gpt-4o-mini-2024-07-18,138,73,6.45e-05,eval
solver,gpt-4o-mini-2024-07-18,140,73,6.48e-05,eval
solver,gpt-4o-mini-2024-07-18,149,100,8.235e-05,eval
solver,gpt-4o-mini-2024-07-18,146,73,6.569999999999998e-05,eval
solver,gpt-4o-mini-2024-07-18,143,67,6.165e-05,eval
solver,gpt-4o-mini-2024-07-18,140,65,6e-05,eval
solver,gpt-4o-mini-2024-07-18,138,66,6.0299999999999995e-05,eval
solver,gpt-4o-mini-2024-07-18,140,56,5.46e-05,eval
solver,gpt-4o-mini-2024-07-18,152,82,7.2e-05,eval
solver,gpt-4o-mini-2024-07-18,146,69,6.33e-05,eval
solver,gpt-4o-mini-2024-07-18,141,58,5.595e-05,eval
solver,gpt-4o-mini-2024-07-18,152,68,6.36e-05,eval
solver,gpt-4o-mini-2024-07-18,137,69,6.195e-05,eval
solver,gpt-4o-mini-2024-07-18,145,62,5.8949999999999996e-05,eval
solver,gpt-4o-mini-2024-07-18,154,74,6.75e-05,eval
