role,model,prompt_tokens,completion_tokens,cost_usd,purpose
solver,gpt-4o-mini-2024-07-18,109,5,1.935e-05,eval
solver,gpt-4o-mini-2024-07-18,142,194,0.00013769999999999999,eval
solver,gpt-4o-mini-2024-07-18,118,231,0.00015629999999999998,eval
solver,gpt-4o-mini-2024-07-18,109,11,2.2949999999999995e-05,eval
solver,gpt-4o-mini-2024-07-18,153,472,0.00030615,eval
solver,gpt-4o-mini-2024-07-18,199,461,0.00030645,eval
solver,gpt-4o-mini-2024-07-18,129,438,0.00028215000000000005,eval
solver,gpt-4o-mini-2024-07-18,185,542,0.00035295,eval
solver,gpt-4o-mini-2024-07-18,138,135,0.0001017,eval
solver,gpt-4o-mini-2024-07-18,126,13,2.67e-05,eval
solver,gpt-4o-mini-2024-07-18,156,140,0.00010740000000000001,eval
solver,gpt-4o-mini-2024-07-18,142,793,0.0004971,eval
solver,gpt-4o-mini-2024-07-18,163,866,0.00054405,eval
solver,gpt-4o-mini-2024-07-18,138,213,0.0001485,eval
solver,gpt-4o-mini-2024-07-18,152,231,0.0001614,eval
solver,gpt-4o-mini-2024-07-18,149,224,0.00015675,eval
solver,gpt-4o-mini-2024-07-18,130,686,0.00043109999999999996,eval
solver,gpt-4o-mini-2024-07-18,161,613,0.00039195,eval
solver,gpt-4o-mini-2024-07-18,170,287,0.00019769999999999998,eval
solver,gpt-4o-mini-2024-07-18,157,758,0.00047835,eval
solver,gpt-4o-mini-2024-07-18,118,484,0.00030809999999999995,eval
solver,gpt-4o-mini-2024-07-18,149,309,0.00020775,eval
solver,gpt-4o-mini-2024-07-18,118,281,0.00018629999999999997,eval
solver,gpt-4o-mini-2024-07-18,111,367,0.00023684999999999998,eval
solver,gpt-4o-mini-2024-07-18,129,364,0.00023775,eval
solver,gpt-4o-mini-2024-07-18,184,96,8.519999999999998e-05,eval
solver,gpt-4o-mini-2024-07-18,119,269,0.00017925,eval
solver,gpt-4o-mini-2024-07-18,144,682,0.0004308,eval
solver,gpt-4o-mini-2024-07-18,144,140,0.00010559999999999999,eval
solver,gpt-4o-mini-2024-07-18,124,589,0.000372,eval
solver,gpt-4o-mini-2024-07-18,103,992,0.00061065,eval
solver,gpt-4o-mini-2024-07-18,175,267,0.00018644999999999998,eval
solver,gpt-4o-mini-2024-07-18,120,462,0.00029519999999999997,eval
solver,gpt-4o-mini-2024-07-18,127,369,0.00024045000000000002,eval
solver,gpt-4o-mini-2024-07-18,152,340,0.0002268,eval
solver,gpt-4o-mini-2024-07-18,164,139,0.00010799999999999998,eval
solver,gpt-4o-mini-2024-07-18,135,538,0.00034305,eval
solver,gpt-4o-mini-2024-07-18,160,623,0.0003978,eval
solver,gpt-4o-mini-2024-07-18,148,98,8.1e-05,eval
solver,gpt-4o-mini-2024-07-18,131,290,0.00019365000000000002,eval
solver,gpt-4o-mini-2024-07-18,154,17,3.3299999999999996e-05,eval
solver,gpt-4o-mini-2024-07-18,191,956,0.00060225,eval
solver,gpt-4o-mini-2024-07-18,190,720,0.0004605,eval
solver,gpt-4o-mini-2024-07-18,178,647,0.0004149,eval
solver,gpt-4o-mini-2024-07-18,103,524,0.00032984999999999997,eval
solver,gpt-4o-mini-2024-07-18,116,12,2.4599999999999998e-05,eval
solver,gpt-4o-mini-2024-07-18,125,337,0.00022094999999999998,eval
solver,gpt-4o-mini-2024-07-18,131,310,0.00020565,eval
solver,gpt-4o-mini-2024-07-18,95,5,1.725e-05,eval
solver,gpt-4o-mini-2024-07-18,93,5,1.695e-05,eval
solver,gpt-4o-mini-2024-07-18,202,17,4.05e-05,eval
solver,gpt-4o-mini-2024-07-18,120,7,2.22e-05,eval
solver,gpt-4o-mini-2024-07-18,108,8,2.1e-05,eval
solver,gpt-4o-mini-2024-07-18,177,25,4.155e-05,eval
solver,gpt-4o-mini-2024-07-18,245,9,4.215e-05,eval
solver,gpt-4o-mini-2024-07-18,96,4,1.68e-05,eval
solver,gpt-4o-mini-2024-07-18,103,5,1.8449999999999998e-05,eval
solver,gpt-4o-mini-2024-07-18,120,378,0.0002448,eval
solver,gpt-4o-mini-2024-07-18,96,5,1.74e-05,eval
solver,gpt-4o-mini-2024-07-18,175,6,2.985e-05,eval
solver,gpt-4o-mini-2024-07-18,100,5,1.8e-05,eval
solver,gpt-4o-mini-2024-07-18,99,9,2.025e-05,eval
solver,gpt-4o-mini-2024-07-18,108,5,1.92e-05,eval
solver,gpt-4o-mini-2024-07-18,94,5,1.7100000000000002e-05,eval
solver,gpt-4o-mini-2024-07-18,94,5,1.7100000000000002e-05,eval
solver,gpt-4o-mini-2024-07-18,99,4,1.725e-05,eval
solver,gpt-4o-mini-2024-07-18,160,27,4.02e-05,eval
solver,gpt-4o-mini-2024-07-18,120,611,0.00038459999999999997,eval
solver,gpt-4o-mini-2024-07-18,138,6,2.4299999999999998e-05,eval
solver,gpt-4o-mini-2024-07-18,154,14,3.15e-05,eval
solver,gpt-4o-mini-2024-07-18,97,5,1.7549999999999996e-05,eval
solver,gpt-4o-mini-2024-07-18,206,28,4.77e-05,eval
solver,gpt-4o-mini-2024-07-18,96,5,1.74e-05,eval
solver,gpt-4o-mini-2024-07-18,100,6,1.86e-05,eval
solver,gpt-4o-mini-2024-07-18,101,7,1.935e-05,eval
solver,gpt-4o-mini-2024-07-18,151,958,0.0005974499999999999,eval
solver,gpt-4o-mini-2024-07-18,99,6,1.8449999999999998e-05,eval
solver,gpt-4o-mini-2024-07-18,94,6,1.77e-05,eval
solver,gpt-4o-mini-2024-07-18,118,8,2.25e-05,eval
solver,gpt-4o-mini-2024-07-18,148,23,3.6e-05,eval
solver,gpt-4o-mini-2024-07-18,167,39,4.8450000000000005e-05,eval
solver,gpt-4o-mini-2024-07-18,92,5,1.68e-05,eval
solver,gpt-4o-mini-2024-07-18,114,10,2.31e-05,eval
solver,gpt-4o-mini-2024-07-18,101,5,1.8149999999999997e-05,eval
solver,gpt-4o-mini-2024-07-18,107,5,1.9050000000000002e-05,eval
solver,gpt-4o-mini-2024-07-18,143,26,3.705e-05,eval
solver,gpt-4o-mini-2024-07-18,95,7,1.8449999999999998e-05,eval
solver,gpt-4o-mini-2024-07-18,115,6,2.0850000000000002e-05,eval
solver,gpt-4o-mini-2024-07-18,93,5,1.695e-05,eval
solver,gpt-4o-mini-2024-07-18,112,5,1.98e-05,eval
solver,gpt-4o-mini-2024-07-18,97,4,1.695e-05,eval
solver,gpt-4o-mini-2024-07-18,142,25,3.6299999999999995e-05,eval
solver,gpt-4o-mini-2024-07-18,128,8,2.4e-05,eval
solver,gpt-4o-mini-2024-07-18,121,20,3.0149999999999998e-05,eval
solver,gpt-4o-mini-2024-07-18,132,9,2.52e-05,eval
solver,gpt-4o-mini-2024-07-18,120,6,2.16e-05,eval
solver,gpt-4o-mini-2024-07-18,168,6,2.88e-05,eval
solver,gpt-4o-mini-2024-07-18,115,5,2.025e-05,eval
solver,gpt-4o-mini-2024-07-18,100,7,1.92e-05,eval
solver,gpt-4o-mini-2024-07-18,160,5,2.7e-05,eval
solver,gpt-4o-mini-2024-07-18,257,16,4.815e-05,eval
solver,gpt-4o-mini-2024-07-18,121,7,2.2349999999999998e-05,eval
solver,gpt-4o-mini-2024-07-18,111,13,2.4449999999999998e-05,eval
solver,gpt-4o-mini-2024-07-18,188,16,3.78e-05,eval
solver,gpt-4o-mini-2024-07-18,175,42,5.1450000000000004e-05,eval
solver,gpt-4o-mini-2024-07-18,130,15,2.85e-05,eval
solver,gpt-4o-mini-2024-07-18,144,14,3e-05,eval
solver,gpt-4o-mini-2024-07-18,195,30,4.725e-05,eval
solver,gpt-4o-mini-2024-07-18,129,8,2.4149999999999997e-05,eval
solver,gpt-4o-mini-2024-07-18,221,133,0.00011295,eval
solver,gpt-4o-mini-2024-07-18,212,196,0.00014939999999999997,eval
solver,gpt-4o-mini-2024-07-18,144,23,3.54e-05,eval
solver,gpt-4o-mini-2024-07-18,136,17,3.06e-05,eval
solver,gpt-4o-mini-2024-07-18,226,11,4.05e-05,eval
solver,gpt-4o-mini-2024-07-18,222,11,3.99e-05,eval
solver,gpt-4o-mini-2024-07-18,140,16,3.06e-05,eval
solver,gpt-4o-mini-2024-07-18,117,137,9.975e-05,eval
solver,gpt-4o-mini-2024-07-18,218,14,4.1099999999999996e-05,eval
solver,gpt-4o-mini-2024-07-18,130,9,2.49e-05,eval
solver,gpt-4o-mini-2024-07-18,201,221,0.00016275,eval
solver,gpt-4o-mini-2024-07-18,198,14,3.8100000000000005e-05,eval
solver,gpt-4o-mini-2024-07-18,131,10,2.565e-05,eval
solver,gpt-4o-mini-2024-07-18,240,19,4.74e-05,eval
solver,gpt-4o-mini-2024-07-18,115,11,2.385e-05,eval
solver,gpt-4o-mini-2024-07-18,119,5,2.085e-05,eval
solver,gpt-4o-mini-2024-07-18,122,5,2.13e-05,eval
solver,gpt-4o-mini-2024-07-18,170,14,3.39e-05,eval
solver,gpt-4o-mini-2024-07-18,141,11,2.775e-05,eval
solver,gpt-4o-mini-2024-07-18,134,13,2.7899999999999997e-05,eval
solver,gpt-4o-mini-2024-07-18,201,11,3.675e-05,eval
solver,gpt-4o-mini-2024-07-18,128,6,2.28e-05,eval
solver,gpt-4o-mini-2024-07-18,138,14,2.9100000000000003e-05,eval
solver,gpt-4o-mini-2024-07-18,110,4,1.89e-05,eval
solver,gpt-4o-mini-2024-07-18,195,31,4.785e-05,eval
solver,gpt-4o-mini-2024-07-18,153,19,3.435e-05,eval
solver,gpt-4o-mini-2024-07-18,131,10,2.565e-05,eval
solver,gpt-4o-mini-2024-07-18,129,7,2.3549999999999996e-05,eval
solver,gpt-4o-mini-2024-07-18,181,14,3.555e-05,eval
solver,gpt-4o-mini-2024-07-18,177,21,3.9149999999999996e-05,eval
