role,model,prompt_tokens,completion_tokens,cost_usd,purpose
solver,gpt-4o-mini-2024-07-18,141,4,2.3549999999999996e-05,eval
solver,gpt-4o-mini-2024-07-18,111,4,1.9049999999999995e-05,eval
solver,gpt-4o-mini-2024-07-18,151,4,2.5049999999999996e-05,eval
solver,gpt-4o-mini-2024-07-18,168,4,2.7599999999999997e-05,eval
solver,gpt-4o-mini-2024-07-18,180,4,2.94e-05,eval
solver,gpt-4o-mini-2024-07-18,137,4,2.295e-05,eval
solver,gpt-4o-mini-2024-07-18,109,4,1.8749999999999995e-05,eval
solver,gpt-4o-mini-2024-07-18,225,4,3.615e-05,eval
solver,gpt-4o-mini-2024-07-18,90,4,1.59e-05,eval
solver,gpt-4o-mini-2024-07-18,93,4,1.6349999999999998e-05,eval
solver,gpt-4o-mini-2024-07-18,116,4,1.9799999999999997e-05,eval
solver,gpt-4o-mini-2024-07-18,124,4,2.0999999999999995e-05,eval
solver,gpt-4o-mini-2024-07-18,125,4,2.115e-05,eval
solver,gpt-4o-mini-2024-07-18,98,4,1.71e-05,eval
solver,gpt-4o-mini-2024-07-18,130,4,2.1899999999999997e-05,eval
solver,gpt-4o-mini-2024-07-18,150,4,2.49e-05,eval
solver,gpt-4o-mini-2024-07-18,140,4,2.34e-05,eval
solver,gpt-4o-mini-2024-07-18,172,4,2.8199999999999998e-05,eval
solver,gpt-4o-mini-2024-07-18,162,4,2.67e-05,eval
solver,gpt-4o-mini-2024-07-18,84,4,1.5e-05,eval
solver,gpt-4o-mini-2024-07-18,142,4,2.37e-05,eval
solver,gpt-4o-mini-2024-07-18,90,4,1.59e-05,eval
solver,gpt-4o-mini-2024-07-18,103,4,1.7849999999999997e-05,eval
solver,gpt-4o-mini-2024-07-18,96,4,1.68e-05,eval
solver,gpt-4o-mini-2024-07-18,172,4,2.8199999999999998e-05,eval
solver,gpt-4o-mini-2024-07-18,106,4,1.8299999999999998e-05,eval
solver,gpt-4o-mini-2024-07-18,88,4,1.56e-05,eval
solver,gpt-4o-mini-2024-07-18,115,4,1.965e-05,eval
solver,gpt-4o-mini-2024-07-18,90,4,1.59e-05,eval
solver,gpt-4o-mini-2024-07-18,127,4,2.145e-05,eval
solver,gpt-4o-mini-2024-07-18,95,4,1.6649999999999998e-05,eval
solver,gpt-4o-mini-2024-07-18,94,4,1.65e-05,eval
solver,gpt-4o-mini-2024-07-18,154,4,2.5499999999999996e-05,eval
solver,gpt-4o-mini-2024-07-18,109,4,1.8749999999999995e-05,eval
solver,gpt-4o-mini-2024-07-18,121,4,2.0549999999999998e-05,eval
solver,gpt-4o-mini-2024-07-18,122,4,2.07e-05,eval
solver,gpt-4o-mini-2024-07-18,107,4,1.8449999999999998e-05,eval
solver,gpt-4o-mini-2024-07-18,123,4,2.085e-05,eval
solver,gpt-4o-mini-2024-07-18,117,4,1.995e-05,eval
solver,gpt-4o-mini-2024-07-18,135,4,2.2649999999999998e-05,eval
solver,gpt-4o-mini-2024-07-18,96,4,1.68e-05,eval
solver,gpt-4o-mini-2024-07-18,182,4,2.97e-05,eval
solver,gpt-4o-mini-2024-07-18,93,4,1.6349999999999998e-05,eval
solver,gpt-4o-mini-2024-07-18,200,4,3.24e-05,eval
solver,gpt-4o-mini-2024-07-18,129,4,2.1749999999999997e-05,eval
solver,gpt-4o-mini-2024-07-18,173,4,2.8349999999999998e-05,eval
solver,gpt-4o-mini-2024-07-18,126,4,2.1299999999999996e-05,eval
solver,gpt-4o-mini-2024-07-18,101,4,1.7549999999999996e-05,eval
solver,gpt-4o-mini-2024-07-18,119,4,2.0249999999999998e-05,eval
solver,gpt-4o-mini-2024-07-18,156,4,2.5799999999999997e-05,eval
solver,gpt-4o-mini-2024-07-18,87,4,1.545e-05,eval
solver,gpt-4o-mini-2024-07-18,85,4,1.515e-05,eval
solver,gpt-4o-mini-2024-07-18,93,4,1.6349999999999998e-05,eval
solver,gpt-4o-mini-2024-07-18,153,4,2.535e-05,eval
solver,gpt-4o-mini-2024-07-18,132,4,2.22e-05,eval
solver,gpt-4o-mini-2024-07-18,82,4,1.47e-05,eval
solver,gpt-4o-mini-2024-07-18,123,4,2.085e-05,eval
solver,gpt-4o-mini-2024-07-18,210,4,3.39e-05,eval
solver,gpt-4o-mini-2024-07-18,187,4,3.0449999999999998e-05,eval
solver,gpt-4o-mini-2024-07-18,117,4,1.995e-05,eval
solver,gpt-4o-mini-2024-07-18,117,4,1.995e-05,eval
solver,gpt-4o-mini-2024-07-18,155,4,2.565e-05,eval
solver,gpt-4o-mini-2024-07-18,124,4,2.0999999999999995e-05,eval
solver,gpt-4o-mini-2024-07-18,98,4,1.71e-05,eval
solver,gpt-4o-mini-2024-07-18,100,4,1.74e-05,eval
solver,gpt-4o-mini-2024-07-18,88,4,1.56e-05,eval
solver,gpt-4o-mini-2024-07-18,147,4,2.4449999999999998e-05,reflect:baseline
solver,gpt-4o-mini-2024-07-18,127,4,2.145e-05,reflect:baseline
solver,gpt-4o-mini-2024-07-18,92,4,1.62e-05,reflect:baseline
solver,gpt-4o-mini-2024-07-18,100,4,1.74e-05,reflect:baseline
solver,gpt-4o-mini-2024-07-18,138,4,2.31e-05,reflect:baseline
solver,gpt-4o-mini-2024-07-18,144,4,2.3999999999999997e-05,reflect:baseline
solver,gpt-4o-mini-2024-07-18,127,4,2.145e-05,reflect:baseline
solver,gpt-4o-mini-2024-07-18,93,4,1.6349999999999998e-05,reflect:baseline
solver,gpt-4o-mini-2024-07-18,120,226,0.0001536,reflect:baseline
solver,gpt-4o-mini-2024-07-18,197,4,3.195e-05,reflect:baseline
solver,gpt-4o-mini-2024-07-18,148,4,2.4599999999999998e-05,reflect:baseline
solver,gpt-4o-mini-2024-07-18,98,4,1.71e-05,reflect:baseline
solver,gpt-4o-mini-2024-07-18,116,4,1.9799999999999997e-05,reflect:baseline
solver,gpt-4o-mini-2024-07-18,107,4,1.8449999999999998e-05,reflect:baseline
solver,gpt-4o-mini-2024-07-18,152,4,2.52e-05,reflect:baseline
solver,gpt-4o-mini-2024-07-18,157,4,2.595e-05,reflect:baseline
solver,gpt-4o-mini-2024-07-18,98,4,1.71e-05,reflect:baseline
solver,gpt-4o-mini-2024-07-18,129,4,2.1749999999999997e-05,reflect:baseline
solver,gpt-4o-mini-2024-07-18,137,4,2.295e-05,reflect:baseline
solver,gpt-4o-mini-2024-07-18,79,4,1.425e-05,reflect:baseline
solver,gpt-4o-mini-2024-07-18,102,4,1.77e-05,reflect:baseline
solver,gpt-4o-mini-2024-07-18,127,4,2.145e-05,reflect:baseline
solver,gpt-4o-mini-2024-07-18,136,4,2.28e-05,reflect:baseline
solver,gpt-4o-mini-2024-07-18,168,225,0.0001602,reflect:baseline
solver,gpt-4o-mini-2024-07-18,211,4,3.4049999999999994e-05,reflect:baseline
solver,gpt-4o-mini-2024-07-18,94,4,1.65e-05,reflect:baseline-val
solver,gpt-4o-mini-2024-07-18,92,4,1.62e-05,reflect:baseline-val
solver,gpt-4o-mini-2024-07-18,112,4,1.92e-05,reflect:baseline-val
solver,gpt-4o-mini-2024-07-18,88,4,1.56e-05,reflect:baseline-val
solver,gpt-4o-mini-2024-07-18,152,4,2.52e-05,reflect:baseline-val
solver,gpt-4o-mini-2024-07-18,86,4,1.53e-05,reflect:baseline-val
solver,gpt-4o-mini-2024-07-18,97,4,1.695e-05,reflect:baseline-val
solver,gpt-4o-mini-2024-07-18,105,4,1.8149999999999997e-05,reflect:baseline-val
solver,gpt-4o-mini-2024-07-18,176,4,2.88e-05,reflect:baseline-val
solver,gpt-4o-mini-2024-07-18,134,4,2.2499999999999998e-05,reflect:baseline-val
solver,gpt-4o-mini-2024-07-18,108,4,1.8599999999999998e-05,reflect:baseline-val
solver,gpt-4o-mini-2024-07-18,125,4,2.115e-05,reflect:baseline-val
solver,gpt-4o-mini-2024-07-18,124,4,2.0999999999999995e-05,reflect:baseline-val
solver,gpt-4o-mini-2024-07-18,152,4,2.52e-05,reflect:baseline-val
solver,gpt-4o-mini-2024-07-18,116,4,1.9799999999999997e-05,reflect:baseline-val
solver,gpt-4o-mini-2024-07-18,117,4,1.995e-05,reflect:baseline-val
solver,gpt-4o-mini-2024-07-18,88,4,1.56e-05,reflect:baseline-val
solver,gpt-4o-mini-2024-07-18,125,4,2.115e-05,reflect:baseline-val
solver,gpt-4o-mini-2024-07-18,157,4,2.595e-05,reflect:baseline-val
solver,gpt-4o-mini-2024-07-18,122,4,2.07e-05,reflect:baseline-val
solver,gpt-4o-mini-2024-07-18,137,4,2.295e-05,reflect:baseline-val
solver,gpt-4o-mini-2024-07-18,154,4,2.5499999999999996e-05,reflect:baseline-val
solver,gpt-4o-mini-2024-07-18,196,4,3.18e-05,reflect:baseline-val
solver,gpt-4o-mini-2024-07-18,221,290,0.00020715,reflect:baseline-val
solver,gpt-4o-mini-2024-07-18,117,310,0.00020355000000000001,reflect:baseline-val
optimizer,gpt-5-2025-08-07,4431,3507,0.04060875,reflect:rewrite-r1
solver,gpt-4o-mini-2024-07-18,778,63,0.0001545,reflect:round1
solver,gpt-4o-mini-2024-07-18,743,56,0.00014505,reflect:round1
solver,gpt-4o-mini-2024-07-18,751,29,0.00013005,reflect:round1
solver,gpt-4o-mini-2024-07-18,798,151,0.0002103,reflect:round1
solver,gpt-4o-mini-2024-07-18,789,58,0.00015314999999999998,reflect:round1
solver,gpt-4o-mini-2024-07-18,795,64,0.00015765,reflect:round1
solver,gpt-4o-mini-2024-07-18,744,41,0.00013619999999999998,reflect:round1
solver,gpt-4o-mini-2024-07-18,778,55,0.00014969999999999998,reflect:round1
solver,gpt-4o-mini-2024-07-18,771,189,0.00022904999999999998,reflect:round1
solver,gpt-4o-mini-2024-07-18,848,108,0.000192,reflect:round1
solver,gpt-4o-mini-2024-07-18,749,128,0.00018915,reflect:round1
solver,gpt-4o-mini-2024-07-18,799,169,0.00022125,reflect:round1
solver,gpt-4o-mini-2024-07-18,767,60,0.00015105,reflect:round1
solver,gpt-4o-mini-2024-07-18,758,56,0.0001473,reflect:round1
solver,gpt-4o-mini-2024-07-18,749,26,0.00012795,reflect:round1
solver,gpt-4o-mini-2024-07-18,803,181,0.00022904999999999998,reflect:round1
solver,gpt-4o-mini-2024-07-18,808,219,0.0002526,reflect:round1
solver,gpt-4o-mini-2024-07-18,780,49,0.0001464,reflect:round1
solver,gpt-4o-mini-2024-07-18,819,175,0.00022784999999999998,reflect:round1
solver,gpt-4o-mini-2024-07-18,788,53,0.00015,reflect:round1
solver,gpt-4o-mini-2024-07-18,730,27,0.0001257,reflect:round1
solver,gpt-4o-mini-2024-07-18,753,45,0.00013995,reflect:round1
solver,gpt-4o-mini-2024-07-18,778,68,0.0001575,reflect:round1
solver,gpt-4o-mini-2024-07-18,787,63,0.00015585,reflect:round1
solver,gpt-4o-mini-2024-07-18,862,182,0.0002385,reflect:round1
solver,gpt-4o-mini-2024-07-18,745,26,0.00012735,reflect:round1-val
solver,gpt-4o-mini-2024-07-18,743,28,0.00012825,reflect:round1-val
solver,gpt-4o-mini-2024-07-18,763,26,0.00013005000000000002,reflect:round1-val
solver,gpt-4o-mini-2024-07-18,739,34,0.00013125,reflect:round1-val
solver,gpt-4o-mini-2024-07-18,776,57,0.0001506,reflect:round1-val
solver,gpt-4o-mini-2024-07-18,803,48,0.00014925,reflect:round1-val
solver,gpt-4o-mini-2024-07-18,748,62,0.0001494,reflect:round1-val
solver,gpt-4o-mini-2024-07-18,737,32,0.00012975,reflect:round1-val
solver,gpt-4o-mini-2024-07-18,827,191,0.00023864999999999997,reflect:round1-val
solver,gpt-4o-mini-2024-07-18,756,83,0.00016319999999999998,reflect:round1-val
solver,gpt-4o-mini-2024-07-18,759,33,0.00013365,reflect:round1-val
solver,gpt-4o-mini-2024-07-18,785,274,0.00028215,reflect:round1-val
solver,gpt-4o-mini-2024-07-18,788,73,0.000162,reflect:round1-val
solver,gpt-4o-mini-2024-07-18,775,158,0.00021105,reflect:round1-val
solver,gpt-4o-mini-2024-07-18,803,153,0.00021225,reflect:round1-val
solver,gpt-4o-mini-2024-07-18,767,40,0.00013905000000000002,reflect:round1-val
solver,gpt-4o-mini-2024-07-18,768,41,0.00013979999999999998,reflect:round1-val
solver,gpt-4o-mini-2024-07-18,739,34,0.00013125,reflect:round1-val
solver,gpt-4o-mini-2024-07-18,773,52,0.00014714999999999997,reflect:round1-val
solver,gpt-4o-mini-2024-07-18,776,174,0.00022079999999999997,reflect:round1-val
solver,gpt-4o-mini-2024-07-18,808,195,0.0002382,reflect:round1-val
solver,gpt-4o-mini-2024-07-18,805,190,0.00023475,reflect:round1-val
solver,gpt-4o-mini-2024-07-18,872,246,0.0002784,reflect:round1-val
solver,gpt-4o-mini-2024-07-18,847,130,0.00020505000000000002,reflect:round1-val
solver,gpt-4o-mini-2024-07-18,768,162,0.00021239999999999999,reflect:round1-val
optimizer,gpt-5-2025-08-07,5467,4813,0.05496375,reflect:rewrite-r2
solver,gpt-4o-mini-2024-07-18,925,37,0.00016094999999999998,reflect:round2
solver,gpt-4o-mini-2024-07-18,960,63,0.0001818,reflect:round2
solver,gpt-4o-mini-2024-07-18,980,127,0.00022319999999999998,reflect:round2
solver,gpt-4o-mini-2024-07-18,933,29,0.00015735,reflect:round2
solver,gpt-4o-mini-2024-07-18,971,58,0.00018045,reflect:round2
solver,gpt-4o-mini-2024-07-18,977,68,0.00018734999999999997,reflect:round2
solver,gpt-4o-mini-2024-07-18,953,225,0.00027795,reflect:round2
solver,gpt-4o-mini-2024-07-18,926,36,0.0001605,reflect:round2
solver,gpt-4o-mini-2024-07-18,960,59,0.0001794,reflect:round2
solver,gpt-4o-mini-2024-07-18,931,50,0.00016965,reflect:round2
solver,gpt-4o-mini-2024-07-18,1030,109,0.00021989999999999998,reflect:round2
solver,gpt-4o-mini-2024-07-18,981,161,0.00024375,reflect:round2
solver,gpt-4o-mini-2024-07-18,949,152,0.00023355,reflect:round2
solver,gpt-4o-mini-2024-07-18,940,57,0.00017519999999999998,reflect:round2
solver,gpt-4o-mini-2024-07-18,985,187,0.00025995,reflect:round2
solver,gpt-4o-mini-2024-07-18,931,26,0.00015525,reflect:round2
solver,gpt-4o-mini-2024-07-18,962,127,0.0002205,reflect:round2
solver,gpt-4o-mini-2024-07-18,990,196,0.0002661,reflect:round2
solver,gpt-4o-mini-2024-07-18,970,53,0.0001773,reflect:round2
solver,gpt-4o-mini-2024-07-18,912,31,0.00015539999999999998,reflect:round2
solver,gpt-4o-mini-2024-07-18,935,151,0.00023085,reflect:round2
solver,gpt-4o-mini-2024-07-18,1001,284,0.00032055,reflect:round2
solver,gpt-4o-mini-2024-07-18,969,54,0.00017775,reflect:round2
solver,gpt-4o-mini-2024-07-18,960,62,0.00018119999999999999,reflect:round2
solver,gpt-4o-mini-2024-07-18,1044,172,0.0002598,reflect:round2
solver,gpt-4o-mini-2024-07-18,927,26,0.00015464999999999996,reflect:round2-val
solver,gpt-4o-mini-2024-07-18,925,28,0.00015555,reflect:round2-val
solver,gpt-4o-mini-2024-07-18,945,81,0.00019035,reflect:round2-val
solver,gpt-4o-mini-2024-07-18,921,39,0.00016155000000000002,reflect:round2-val
solver,gpt-4o-mini-2024-07-18,985,49,0.00017715,reflect:round2-val
solver,gpt-4o-mini-2024-07-18,958,57,0.0001779,reflect:round2-val
solver,gpt-4o-mini-2024-07-18,930,93,0.0001953,reflect:round2-val
solver,gpt-4o-mini-2024-07-18,919,32,0.00015705,reflect:round2-val
solver,gpt-4o-mini-2024-07-18,938,84,0.00019109999999999998,reflect:round2-val
solver,gpt-4o-mini-2024-07-18,1009,189,0.00026475,reflect:round2-val
solver,gpt-4o-mini-2024-07-18,941,34,0.00016155000000000002,reflect:round2-val
solver,gpt-4o-mini-2024-07-18,967,273,0.00030884999999999994,reflect:round2-val
solver,gpt-4o-mini-2024-07-18,957,92,0.00019874999999999998,reflect:round2-val
solver,gpt-4o-mini-2024-07-18,949,159,0.00023775,reflect:round2-val
solver,gpt-4o-mini-2024-07-18,970,73,0.00018930000000000002,reflect:round2-val
solver,gpt-4o-mini-2024-07-18,985,142,0.00023295,reflect:round2-val
solver,gpt-4o-mini-2024-07-18,950,45,0.0001695,reflect:round2-val
solver,gpt-4o-mini-2024-07-18,921,52,0.00016935,reflect:round2-val
solver,gpt-4o-mini-2024-07-18,958,175,0.0002487,reflect:round2-val
solver,gpt-4o-mini-2024-07-18,990,204,0.00027089999999999997,reflect:round2-val
solver,gpt-4o-mini-2024-07-18,955,91,0.00019784999999999998,reflect:round2-val
solver,gpt-4o-mini-2024-07-18,1029,67,0.00019454999999999999,reflect:round2-val
solver,gpt-4o-mini-2024-07-18,987,190,0.00026204999999999995,reflect:round2-val
solver,gpt-4o-mini-2024-07-18,1054,231,0.0002967,reflect:round2-val
solver,gpt-4o-mini-2024-07-18,950,198,0.0002613,reflect:round2-val
optimizer,gpt-5-2025-08-07,6461,5368,0.06175625,reflect:rewrite-r3
solver,gpt-4o-mini-2024-07-18,1208,56,0.0002148,reflect:round3
solver,gpt-4o-mini-2024-07-18,1243,63,0.00022425,reflect:round3
solver,gpt-4o-mini-2024-07-18,1263,175,0.00029445,reflect:round3
solver,gpt-4o-mini-2024-07-18,1216,37,0.00020459999999999999,reflect:round3
solver,gpt-4o-mini-2024-07-18,1254,58,0.00022289999999999997,reflect:round3
solver,gpt-4o-mini-2024-07-18,1236,251,0.000336,reflect:round3
solver,gpt-4o-mini-2024-07-18,1260,99,0.0002484,reflect:round3
solver,gpt-4o-mini-2024-07-18,1209,45,0.00020835,reflect:round3
solver,gpt-4o-mini-2024-07-18,1243,140,0.00027045,reflect:round3
solver,gpt-4o-mini-2024-07-18,1313,109,0.00026234999999999995,reflect:round3
solver,gpt-4o-mini-2024-07-18,1264,195,0.0003066,reflect:round3
solver,gpt-4o-mini-2024-07-18,1214,132,0.0002613,reflect:round3
solver,gpt-4o-mini-2024-07-18,1223,103,0.00024525,reflect:round3
solver,gpt-4o-mini-2024-07-18,1268,173,0.000294,reflect:round3
solver,gpt-4o-mini-2024-07-18,1232,162,0.000282,reflect:round3
solver,gpt-4o-mini-2024-07-18,1214,26,0.00019769999999999998,reflect:round3
solver,gpt-4o-mini-2024-07-18,1245,133,0.00026655,reflect:round3
solver,gpt-4o-mini-2024-07-18,1273,197,0.00030914999999999995,reflect:round3
solver,gpt-4o-mini-2024-07-18,1195,34,0.00019965,reflect:round3
solver,gpt-4o-mini-2024-07-18,1253,53,0.00021975,reflect:round3
solver,gpt-4o-mini-2024-07-18,1284,218,0.0003234,reflect:round3
solver,gpt-4o-mini-2024-07-18,1243,68,0.00022725,reflect:round3
solver,gpt-4o-mini-2024-07-18,1218,142,0.00026789999999999995,reflect:round3
solver,gpt-4o-mini-2024-07-18,1252,167,0.000288,reflect:round3
solver,gpt-4o-mini-2024-07-18,1327,176,0.00030464999999999995,reflect:round3
solver,gpt-4o-mini-2024-07-18,1208,51,0.00021179999999999997,reflect:round3-val
solver,gpt-4o-mini-2024-07-18,1210,26,0.0001971,reflect:round3-val
solver,gpt-4o-mini-2024-07-18,1204,32,0.00019979999999999998,reflect:round3-val
solver,gpt-4o-mini-2024-07-18,1228,92,0.00023939999999999996,reflect:round3-val
solver,gpt-4o-mini-2024-07-18,1213,83,0.00023175,reflect:round3-val
solver,gpt-4o-mini-2024-07-18,1241,64,0.00022455,reflect:round3-val
solver,gpt-4o-mini-2024-07-18,1268,190,0.00030419999999999997,reflect:round3-val
solver,gpt-4o-mini-2024-07-18,1202,32,0.00019949999999999997,reflect:round3-val
solver,gpt-4o-mini-2024-07-18,1292,179,0.0003012,reflect:round3-val
solver,gpt-4o-mini-2024-07-18,1221,138,0.00026595,reflect:round3-val
solver,gpt-4o-mini-2024-07-18,1250,268,0.00034829999999999996,reflect:round3-val
solver,gpt-4o-mini-2024-07-18,1224,34,0.000204,reflect:round3-val
solver,gpt-4o-mini-2024-07-18,1240,153,0.00027780000000000003,reflect:round3-val
solver,gpt-4o-mini-2024-07-18,1253,106,0.00025154999999999996,reflect:round3-val
solver,gpt-4o-mini-2024-07-18,1268,138,0.000273,reflect:round3-val
solver,gpt-4o-mini-2024-07-18,1233,45,0.00021195,reflect:round3-val
solver,gpt-4o-mini-2024-07-18,1204,47,0.00020879999999999998,reflect:round3-val
solver,gpt-4o-mini-2024-07-18,1232,187,0.000297,reflect:round3-val
solver,gpt-4o-mini-2024-07-18,1241,212,0.00031335,reflect:round3-val
solver,gpt-4o-mini-2024-07-18,1273,211,0.00031754999999999994,reflect:round3-val
solver,gpt-4o-mini-2024-07-18,1238,155,0.0002787,reflect:round3-val
solver,gpt-4o-mini-2024-07-18,1312,144,0.0002832,reflect:round3-val
solver,gpt-4o-mini-2024-07-18,1270,198,0.00030930000000000004,reflect:round3-val
solver,gpt-4o-mini-2024-07-18,1337,249,0.00034994999999999997,reflect:round3-val
solver,gpt-4o-mini-2024-07-18,1233,284,0.00035535000000000005,reflect:round3-val
solver,gpt-4o-mini-2024-07-18,1227,57,0.00021824999999999997,eval
solver,gpt-4o-mini-2024-07-18,1257,133,0.00026835,eval
solver,gpt-4o-mini-2024-07-18,1267,158,0.00028484999999999996,eval
solver,gpt-4o-mini-2024-07-18,1284,240,0.0003366,eval
solver,gpt-4o-mini-2024-07-18,1253,127,0.00026415,eval
solver,gpt-4o-mini-2024-07-18,1296,218,0.0003252,eval
solver,gpt-4o-mini-2024-07-18,1206,147,0.00026910000000000004,eval
solver,gpt-4o-mini-2024-07-18,1225,109,0.00024914999999999996,eval
solver,gpt-4o-mini-2024-07-18,1341,118,0.00027194999999999997,eval
solver,gpt-4o-mini-2024-07-18,1240,152,0.00027719999999999996,eval
solver,gpt-4o-mini-2024-07-18,1209,124,0.00025575,eval
solver,gpt-4o-mini-2024-07-18,1232,146,0.00027239999999999995,eval
solver,gpt-4o-mini-2024-07-18,1241,58,0.00022094999999999998,eval
solver,gpt-4o-mini-2024-07-18,1214,180,0.0002901,eval
solver,gpt-4o-mini-2024-07-18,1246,68,0.00022769999999999998,eval
solver,gpt-4o-mini-2024-07-18,1266,193,0.0003057,eval
solver,gpt-4o-mini-2024-07-18,1256,136,0.00027,eval
solver,gpt-4o-mini-2024-07-18,1200,32,0.0001992,eval
solver,gpt-4o-mini-2024-07-18,1278,141,0.00027629999999999994,eval
solver,gpt-4o-mini-2024-07-18,1288,230,0.0003312,eval
solver,gpt-4o-mini-2024-07-18,1219,110,0.00024885,eval
solver,gpt-4o-mini-2024-07-18,1206,34,0.00020130000000000001,eval
solver,gpt-4o-mini-2024-07-18,1258,113,0.0002565,eval
solver,gpt-4o-mini-2024-07-18,1212,166,0.00028139999999999996,eval
solver,gpt-4o-mini-2024-07-18,1222,125,0.00025829999999999994,eval
solver,gpt-4o-mini-2024-07-18,1288,202,0.0003144,eval
solver,gpt-4o-mini-2024-07-18,1206,45,0.0002079,eval
solver,gpt-4o-mini-2024-07-18,1204,54,0.000213,eval
solver,gpt-4o-mini-2024-07-18,1231,61,0.00022125,eval
solver,gpt-4o-mini-2024-07-18,1211,130,0.00025965,eval
solver,gpt-4o-mini-2024-07-18,1270,127,0.0002667,eval
solver,gpt-4o-mini-2024-07-18,1243,176,0.00029204999999999997,eval
solver,gpt-4o-mini-2024-07-18,1210,32,0.0002007,eval
solver,gpt-4o-mini-2024-07-18,1223,178,0.00029025,eval
solver,gpt-4o-mini-2024-07-18,1225,124,0.00025814999999999996,eval
solver,gpt-4o-mini-2024-07-18,1237,94,0.00024195,eval
solver,gpt-4o-mini-2024-07-18,1251,52,0.00021885,eval
solver,gpt-4o-mini-2024-07-18,1239,66,0.00022544999999999998,eval
solver,gpt-4o-mini-2024-07-18,1238,172,0.0002889,eval
solver,gpt-4o-mini-2024-07-18,1212,56,0.00021539999999999998,eval
solver,gpt-4o-mini-2024-07-18,1233,62,0.00022214999999999998,eval
solver,gpt-4o-mini-2024-07-18,1209,36,0.00020295,eval
solver,gpt-4o-mini-2024-07-18,1298,186,0.00030629999999999996,eval
solver,gpt-4o-mini-2024-07-18,1316,182,0.0003066,eval
solver,gpt-4o-mini-2024-07-18,1245,223,0.00032054999999999996,eval
solver,gpt-4o-mini-2024-07-18,1242,183,0.0002961,eval
solver,gpt-4o-mini-2024-07-18,1289,214,0.00032175,eval
solver,gpt-4o-mini-2024-07-18,1217,46,0.00021014999999999999,eval
solver,gpt-4o-mini-2024-07-18,1272,67,0.00023099999999999998,eval
solver,gpt-4o-mini-2024-07-18,1203,19,0.00019185,eval
solver,gpt-4o-mini-2024-07-18,1235,179,0.00029265,eval
solver,gpt-4o-mini-2024-07-18,1198,58,0.0002145,eval
solver,gpt-4o-mini-2024-07-18,1201,34,0.00020055000000000002,eval
solver,gpt-4o-mini-2024-07-18,1209,40,0.00020535,eval
solver,gpt-4o-mini-2024-07-18,1239,49,0.00021525,eval
solver,gpt-4o-mini-2024-07-18,1269,176,0.00029595,eval
solver,gpt-4o-mini-2024-07-18,1248,194,0.00030359999999999995,eval
solver,gpt-4o-mini-2024-07-18,1233,127,0.00026115,eval
solver,gpt-4o-mini-2024-07-18,1303,181,0.00030404999999999994,eval
solver,gpt-4o-mini-2024-07-18,1326,248,0.0003477,eval
solver,gpt-4o-mini-2024-07-18,1233,140,0.00026895,eval
solver,gpt-4o-mini-2024-07-18,1240,44,0.0002124,eval
solver,gpt-4o-mini-2024-07-18,1271,108,0.00025545,eval
solver,gpt-4o-mini-2024-07-18,1214,53,0.00021389999999999997,eval
solver,gpt-4o-mini-2024-07-18,1204,25,0.00019559999999999998,eval
solver,gpt-4o-mini-2024-07-18,1216,62,0.0002196,eval
