role,model,prompt_tokens,completion_tokens,cost_usd,purpose
solver,gpt-4.1-2025-04-14,145,144,0.0,eval
solver,gpt-4.1-2025-04-14,132,107,0.0,eval
solver,gpt-4.1-2025-04-14,189,216,0.0,eval
solver,gpt-4.1-2025-04-14,141,242,0.0,eval
solver,gpt-4.1-2025-04-14,143,198,0.0,eval
solver,gpt-4.1-2025-04-14,181,249,0.0,eval
solver,gpt-4.1-2025-04-14,137,189,0.0,eval
solver,gpt-4.1-2025-04-14,189,293,0.0,eval
solver,gpt-4.1-2025-04-14,142,116,0.0,eval
solver,gpt-4.1-2025-04-14,144,135,0.0,eval
solver,gpt-4.1-2025-04-14,142,113,0.0,train
solver,gpt-4.1-2025-04-14,143,213,0.0,train
solver,gpt-4.1-2025-04-14,166,217,0.0,train
solver,gpt-4.1-2025-04-14,139,155,0.0,train
solver,gpt-4.1-2025-04-14,170,149,0.0,train
solver,gpt-4.1-2025-04-14,144,104,0.0,train
solver,gpt-4.1-2025-04-14,134,113,0.0,train
solver,gpt-4.1-2025-04-14,138,156,0.0,train
solver,gpt-4.1-2025-04-14,123,63,0.0,train
solver,gpt-4.1-2025-04-14,161,309,0.0,train
solver,gpt-4.1-2025-04-14,142,108,0.0,train
solver,gpt-4.1-2025-04-14,143,213,0.0,train
solver,gpt-4.1-2025-04-14,166,212,0.0,train
solver,gpt-4.1-2025-04-14,139,155,0.0,train
solver,gpt-4.1-2025-04-14,170,146,0.0,train
solver,gpt-4.1-2025-04-14,144,113,0.0,train
solver,gpt-4.1-2025-04-14,134,115,0.0,train
solver,gpt-4.1-2025-04-14,138,156,0.0,train
solver,gpt-4.1-2025-04-14,123,63,0.0,train
solver,gpt-4.1-2025-04-14,161,391,0.0,train
solver,gpt-4.1-2025-04-14,145,174,0.0,eval
solver,gpt-4.1-2025-04-14,132,104,0.0,eval
solver,gpt-4.1-2025-04-14,189,214,0.0,eval
solver,gpt-4.1-2025-04-14,141,292,0.0,eval
solver,gpt-4.1-2025-04-14,143,199,0.0,eval
solver,gpt-4.1-2025-04-14,181,250,0.0,eval
solver,gpt-4.1-2025-04-14,137,209,0.0,eval
solver,gpt-4.1-2025-04-14,189,290,0.0,eval
solver,gpt-4.1-2025-04-14,142,118,0.0,eval
solver,gpt-4.1-2025-04-14,144,167,0.0,eval
