role,model,prompt_tokens,completion_tokens,cost_usd,purpose
solver,claude-haiku-4-5-20251001,123,196,0.0,eval
solver,claude-haiku-4-5-20251001,117,178,0.0,eval
solver,claude-haiku-4-5-20251001,120,201,0.0,eval
solver,claude-haiku-4-5-20251001,121,208,0.0,eval
solver,claude-haiku-4-5-20251001,124,256,0.0,eval
solver,claude-haiku-4-5-20251001,130,259,0.0,eval
solver,claude-haiku-4-5-20251001,126,292,0.0,eval
solver,claude-haiku-4-5-20251001,117,233,0.0,eval
solver,claude-haiku-4-5-20251001,132,201,0.0,eval
solver,claude-haiku-4-5-20251001,128,158,0.0,eval
solver,claude-haiku-4-5-20251001,120,216,0.0,eval
solver,claude-haiku-4-5-20251001,118,271,0.0,eval
solver,claude-haiku-4-5-20251001,122,201,0.0,eval
solver,claude-haiku-4-5-20251001,117,173,0.0,eval
solver,claude-haiku-4-5-20251001,121,208,0.0,eval
solver,claude-haiku-4-5-20251001,117,231,0.0,eval
solver,claude-haiku-4-5-20251001,122,184,0.0,eval
solver,claude-haiku-4-5-20251001,125,185,0.0,eval
solver,claude-haiku-4-5-20251001,123,208,0.0,eval
solver,claude-haiku-4-5-20251001,126,197,0.0,eval
solver,claude-haiku-4-5-20251001,123,214,0.0,eval
solver,claude-haiku-4-5-20251001,119,190,0.0,eval
solver,claude-haiku-4-5-20251001,132,199,0.0,eval
solver,claude-haiku-4-5-20251001,121,212,0.0,eval
solver,claude-haiku-4-5-20251001,125,198,0.0,eval
solver,claude-haiku-4-5-20251001,127,203,0.0,eval
solver,claude-haiku-4-5-20251001,127,284,0.0,eval
solver,claude-haiku-4-5-20251001,133,181,0.0,eval
solver,claude-haiku-4-5-20251001,130,174,0.0,eval
solver,claude-haiku-4-5-20251001,121,180,0.0,eval
solver,claude-haiku-4-5-20251001,125,213,0.0,eval
solver,claude-haiku-4-5-20251001,118,166,0.0,eval
solver,claude-haiku-4-5-20251001,138,209,0.0,eval
solver,claude-haiku-4-5-20251001,123,197,0.0,eval
solver,claude-haiku-4-5-20251001,128,223,0.0,eval
solver,claude-haiku-4-5-20251001,124,198,0.0,eval
solver,claude-haiku-4-5-20251001,127,228,0.0,eval
solver,claude-haiku-4-5-20251001,139,213,0.0,eval
solver,claude-haiku-4-5-20251001,148,235,0.0,eval
solver,claude-haiku-4-5-20251001,119,185,0.0,eval
solver,claude-haiku-4-5-20251001,129,198,0.0,eval
solver,claude-haiku-4-5-20251001,131,156,0.0,eval
solver,claude-haiku-4-5-20251001,137,216,0.0,eval
solver,claude-haiku-4-5-20251001,118,177,0.0,eval
solver,claude-haiku-4-5-20251001,129,223,0.0,eval
solver,claude-haiku-4-5-20251001,117,228,0.0,eval
solver,claude-haiku-4-5-20251001,128,198,0.0,eval
solver,claude-haiku-4-5-20251001,125,170,0.0,eval
solver,claude-haiku-4-5-20251001,138,220,0.0,eval
solver,claude-haiku-4-5-20251001,153,97,0.0,reflect:baseline
solver,claude-haiku-4-5-20251001,124,188,0.0,reflect:baseline
solver,claude-haiku-4-5-20251001,133,207,0.0,reflect:baseline
solver,claude-haiku-4-5-20251001,126,191,0.0,reflect:baseline
solver,claude-haiku-4-5-20251001,130,246,0.0,reflect:baseline
solver,claude-haiku-4-5-20251001,136,258,0.0,reflect:baseline
solver,claude-haiku-4-5-20251001,121,196,0.0,reflect:baseline
solver,claude-haiku-4-5-20251001,132,324,0.0,reflect:baseline
solver,claude-haiku-4-5-20251001,129,210,0.0,reflect:baseline
solver,claude-haiku-4-5-20251001,125,228,0.0,reflect:baseline
solver,claude-haiku-4-5-20251001,128,227,0.0,reflect:baseline
solver,claude-haiku-4-5-20251001,123,199,0.0,reflect:baseline
solver,claude-haiku-4-5-20251001,127,279,0.0,reflect:baseline
solver,claude-haiku-4-5-20251001,152,243,0.0,reflect:baseline
solver,claude-haiku-4-5-20251001,119,190,0.0,reflect:baseline
solver,claude-haiku-4-5-20251001,120,120,0.0,reflect:baseline
solver,claude-haiku-4-5-20251001,120,159,0.0,reflect:baseline
solver,claude-haiku-4-5-20251001,133,242,0.0,reflect:baseline
solver,claude-haiku-4-5-20251001,127,205,0.0,reflect:baseline
solver,claude-haiku-4-5-20251001,123,190,0.0,reflect:baseline
solver,claude-haiku-4-5-20251001,121,151,0.0,reflect:baseline
solver,claude-haiku-4-5-20251001,127,213,0.0,reflect:baseline
solver,claude-haiku-4-5-20251001,128,276,0.0,reflect:baseline
solver,claude-haiku-4-5-20251001,121,156,0.0,reflect:baseline
solver,claude-haiku-4-5-20251001,132,217,0.0,reflect:baseline
solver,claude-haiku-4-5-20251001,127,196,0.0,reflect:baseline-val
solver,claude-haiku-4-5-20251001,135,174,0.0,reflect:baseline-val
solver,claude-haiku-4-5-20251001,118,180,0.0,reflect:baseline-val
solver,claude-haiku-4-5-20251001,120,152,0.0,reflect:baseline-val
solver,claude-haiku-4-5-20251001,121,240,0.0,reflect:baseline-val
solver,claude-haiku-4-5-20251001,128,217,0.0,reflect:baseline-val
solver,claude-haiku-4-5-20251001,126,249,0.0,reflect:baseline-val
solver,claude-haiku-4-5-20251001,136,300,0.0,reflect:baseline-val
solver,claude-haiku-4-5-20251001,121,139,0.0,reflect:baseline-val
solver,claude-haiku-4-5-20251001,135,214,0.0,reflect:baseline-val
solver,claude-haiku-4-5-20251001,125,233,0.0,reflect:baseline-val
solver,claude-haiku-4-5-20251001,127,213,0.0,reflect:baseline-val
solver,claude-haiku-4-5-20251001,130,173,0.0,reflect:baseline-val
solver,claude-haiku-4-5-20251001,126,189,0.0,reflect:baseline-val
solver,claude-haiku-4-5-20251001,132,200,0.0,reflect:baseline-val
solver,claude-haiku-4-5-20251001,139,274,0.0,reflect:baseline-val
solver,claude-haiku-4-5-20251001,134,273,0.0,reflect:baseline-val
solver,claude-haiku-4-5-20251001,127,6,0.0,reflect:baseline-val
solver,claude-haiku-4-5-20251001,126,195,0.0,reflect:baseline-val
solver,claude-haiku-4-5-20251001,153,213,0.0,reflect:baseline-val
solver,claude-haiku-4-5-20251001,126,205,0.0,reflect:baseline-val
solver,claude-haiku-4-5-20251001,126,200,0.0,reflect:baseline-val
solver,claude-haiku-4-5-20251001,120,159,0.0,reflect:baseline-val
solver,claude-haiku-4-5-20251001,123,237,0.0,reflect:baseline-val
solver,claude-haiku-4-5-20251001,134,219,0.0,reflect:baseline-val
optimizer,gpt-5-2025-08-07,3267,6788,0.07196375,reflect:rewrite-r1
solver,claude-haiku-4-5-20251001,943,242,0.0,reflect:round1
solver,claude-haiku-4-5-20251001,955,266,0.0,reflect:round1
solver,claude-haiku-4-5-20251001,958,280,0.0,reflect:round1
solver,claude-haiku-4-5-20251001,975,339,0.0,reflect:round1
solver,claude-haiku-4-5-20251001,946,316,0.0,reflect:round1
solver,claude-haiku-4-5-20251001,954,329,0.0,reflect:round1
solver,claude-haiku-4-5-20251001,948,360,0.0,reflect:round1
solver,claude-haiku-4-5-20251001,952,407,0.0,reflect:round1
solver,claude-haiku-4-5-20251001,950,315,0.0,reflect:round1
solver,claude-haiku-4-5-20251001,949,387,0.0,reflect:round1
solver,claude-haiku-4-5-20251001,945,294,0.0,reflect:round1
solver,claude-haiku-4-5-20251001,947,368,0.0,reflect:round1
solver,claude-haiku-4-5-20251001,955,336,0.0,reflect:round1
solver,claude-haiku-4-5-20251001,951,418,0.0,reflect:round1
solver,claude-haiku-4-5-20251001,974,417,0.0,reflect:round1
solver,claude-haiku-4-5-20251001,941,401,0.0,reflect:round1
solver,claude-haiku-4-5-20251001,942,359,0.0,reflect:round1
solver,claude-haiku-4-5-20251001,949,236,0.0,reflect:round1
solver,claude-haiku-4-5-20251001,942,319,0.0,reflect:round1
solver,claude-haiku-4-5-20251001,949,363,0.0,reflect:round1
solver,claude-haiku-4-5-20251001,945,313,0.0,reflect:round1
solver,claude-haiku-4-5-20251001,943,206,0.0,reflect:round1
solver,claude-haiku-4-5-20251001,943,235,0.0,reflect:round1
solver,claude-haiku-4-5-20251001,950,347,0.0,reflect:round1
solver,claude-haiku-4-5-20251001,954,245,0.0,reflect:round1
solver,claude-haiku-4-5-20251001,940,247,0.0,reflect:round1-val
solver,claude-haiku-4-5-20251001,943,267,0.0,reflect:round1-val
solver,claude-haiku-4-5-20251001,942,307,0.0,reflect:round1-val
solver,claude-haiku-4-5-20251001,949,296,0.0,reflect:round1-val
solver,claude-haiku-4-5-20251001,948,347,0.0,reflect:round1-val
solver,claude-haiku-4-5-20251001,957,407,0.0,reflect:round1-val
solver,claude-haiku-4-5-20251001,950,426,0.0,reflect:round1-val
solver,claude-haiku-4-5-20251001,958,408,0.0,reflect:round1-val
solver,claude-haiku-4-5-20251001,949,285,0.0,reflect:round1-val
solver,claude-haiku-4-5-20251001,943,336,0.0,reflect:round1-val
solver,claude-haiku-4-5-20251001,947,425,0.0,reflect:round1-val
solver,claude-haiku-4-5-20251001,948,331,0.0,reflect:round1-val
solver,claude-haiku-4-5-20251001,957,418,0.0,reflect:round1-val
solver,claude-haiku-4-5-20251001,956,414,0.0,reflect:round1-val
solver,claude-haiku-4-5-20251001,952,339,0.0,reflect:round1-val
solver,claude-haiku-4-5-20251001,961,375,0.0,reflect:round1-val
solver,claude-haiku-4-5-20251001,954,357,0.0,reflect:round1-val
solver,claude-haiku-4-5-20251001,948,327,0.0,reflect:round1-val
solver,claude-haiku-4-5-20251001,975,297,0.0,reflect:round1-val
solver,claude-haiku-4-5-20251001,945,244,0.0,reflect:round1-val
solver,claude-haiku-4-5-20251001,942,254,0.0,reflect:round1-val
solver,claude-haiku-4-5-20251001,949,241,0.0,reflect:round1-val
solver,claude-haiku-4-5-20251001,948,343,0.0,reflect:round1-val
solver,claude-haiku-4-5-20251001,948,360,0.0,reflect:round1-val
solver,claude-haiku-4-5-20251001,956,284,0.0,reflect:round1-val
optimizer,gpt-5-2025-08-07,6891,5652,0.06513375,reflect:rewrite-r2
solver,claude-haiku-4-5-20251001,1171,299,0.0,reflect:round2
solver,claude-haiku-4-5-20251001,1183,316,0.0,reflect:round2
solver,claude-haiku-4-5-20251001,1180,447,0.0,reflect:round2
solver,claude-haiku-4-5-20251001,1203,416,0.0,reflect:round2
solver,claude-haiku-4-5-20251001,1186,401,0.0,reflect:round2
solver,claude-haiku-4-5-20251001,1176,374,0.0,reflect:round2
solver,claude-haiku-4-5-20251001,1182,320,0.0,reflect:round2
solver,claude-haiku-4-5-20251001,1174,367,0.0,reflect:round2
solver,claude-haiku-4-5-20251001,1178,381,0.0,reflect:round2
solver,claude-haiku-4-5-20251001,1179,405,0.0,reflect:round2
solver,claude-haiku-4-5-20251001,1173,348,0.0,reflect:round2
solver,claude-haiku-4-5-20251001,1177,462,0.0,reflect:round2
solver,claude-haiku-4-5-20251001,1175,414,0.0,reflect:round2
solver,claude-haiku-4-5-20251001,1169,431,0.0,reflect:round2
solver,claude-haiku-4-5-20251001,1170,333,0.0,reflect:round2
solver,claude-haiku-4-5-20251001,1202,501,0.0,reflect:round2
solver,claude-haiku-4-5-20251001,1183,481,0.0,reflect:round2
solver,claude-haiku-4-5-20251001,1170,433,0.0,reflect:round2
solver,claude-haiku-4-5-20251001,1177,419,0.0,reflect:round2
solver,claude-haiku-4-5-20251001,1171,245,0.0,reflect:round2
solver,claude-haiku-4-5-20251001,1178,420,0.0,reflect:round2
