role,model,prompt_tokens,completion_tokens,cost_usd,purpose
solver,gpt-4o-mini-2024-07-18,211,4,3.4049999999999994e-05,eval
solver,gpt-4o-mini-2024-07-18,197,4,3.195e-05,eval
solver,gpt-4o-mini-2024-07-18,372,4,5.82e-05,eval
solver,gpt-4o-mini-2024-07-18,312,4,4.9199999999999997e-05,eval
solver,gpt-4o-mini-2024-07-18,270,4,4.29e-05,eval
solver,gpt-4o-mini-2024-07-18,483,4,7.485e-05,eval
solver,gpt-4o-mini-2024-07-18,277,4,4.395e-05,eval
solver,gpt-4o-mini-2024-07-18,328,4,5.1599999999999994e-05,eval
solver,gpt-4o-mini-2024-07-18,194,4,3.149999999999999e-05,eval
solver,gpt-4o-mini-2024-07-18,267,4,4.2449999999999995e-05,eval
solver,gpt-4o-mini-2024-07-18,255,4,4.065e-05,eval
solver,gpt-4o-mini-2024-07-18,261,4,4.155e-05,eval
solver,gpt-4o-mini-2024-07-18,408,4,6.36e-05,eval
solver,gpt-4o-mini-2024-07-18,368,4,5.76e-05,eval
solver,gpt-4o-mini-2024-07-18,425,4,6.615000000000001e-05,eval
solver,gpt-4o-mini-2024-07-18,515,4,7.965000000000001e-05,eval
solver,gpt-4o-mini-2024-07-18,208,4,3.3600000000000004e-05,eval
solver,gpt-4o-mini-2024-07-18,306,4,4.8299999999999995e-05,eval
solver,gpt-4o-mini-2024-07-18,579,4,8.925e-05,eval
solver,gpt-4o-mini-2024-07-18,187,4,3.0449999999999998e-05,eval
solver,gpt-4o-mini-2024-07-18,272,4,4.319999999999999e-05,eval
solver,gpt-4o-mini-2024-07-18,197,4,3.195e-05,eval
solver,gpt-4o-mini-2024-07-18,268,4,4.259999999999999e-05,eval
solver,gpt-4o-mini-2024-07-18,297,4,4.6949999999999996e-05,eval
solver,gpt-4o-mini-2024-07-18,211,4,3.4049999999999994e-05,eval
solver,gpt-4o-mini-2024-07-18,101,4,1.7549999999999996e-05,eval
solver,gpt-4o-mini-2024-07-18,256,4,4.0799999999999996e-05,eval
solver,gpt-4o-mini-2024-07-18,240,4,3.84e-05,eval
solver,gpt-4o-mini-2024-07-18,180,4,2.94e-05,eval
solver,gpt-4o-mini-2024-07-18,471,4,7.305e-05,eval
solver,gpt-4o-mini,0,0,0.0,eval
solver,gpt-4o-mini-2024-07-18,310,4,4.8899999999999996e-05,eval
solver,gpt-4o-mini-2024-07-18,255,4,4.065e-05,eval
solver,gpt-4o-mini-2024-07-18,108,4,1.8599999999999998e-05,eval
solver,gpt-4o-mini-2024-07-18,418,4,6.51e-05,eval
solver,gpt-4o-mini-2024-07-18,351,4,5.5049999999999996e-05,eval
solver,gpt-4o-mini-2024-07-18,443,4,6.885e-05,eval
solver,gpt-4o-mini-2024-07-18,298,4,4.709999999999999e-05,eval
solver,gpt-4o-mini-2024-07-18,311,4,4.905e-05,eval
solver,gpt-4o-mini-2024-07-18,287,4,4.5449999999999993e-05,eval
solver,gpt-4o-mini-2024-07-18,226,4,3.6299999999999995e-05,eval
solver,gpt-4o-mini-2024-07-18,268,4,4.259999999999999e-05,eval
solver,gpt-4o-mini-2024-07-18,484,4,7.5e-05,eval
solver,gpt-4o-mini-2024-07-18,575,4,8.865e-05,eval
solver,gpt-4o-mini-2024-07-18,305,4,4.815e-05,eval
solver,gpt-4o-mini-2024-07-18,234,4,3.75e-05,eval
solver,gpt-4o-mini-2024-07-18,472,4,7.32e-05,eval
solver,gpt-4o-mini-2024-07-18,305,4,4.815e-05,eval
solver,gpt-4o-mini-2024-07-18,356,4,5.5799999999999994e-05,eval
solver,gpt-4o-mini-2024-07-18,268,4,4.259999999999999e-05,eval
solver,gpt-4o-mini,0,0,0.0,eval
solver,gpt-4o-mini-2024-07-18,351,4,5.5049999999999996e-05,eval
solver,gpt-4o-mini-2024-07-18,335,4,5.265e-05,eval
solver,gpt-4o-mini-2024-07-18,495,4,7.665e-05,eval
solver,gpt-4o-mini-2024-07-18,240,4,3.84e-05,eval
solver,gpt-4o-mini-2024-07-18,215,4,3.4649999999999995e-05,eval
solver,gpt-4o-mini-2024-07-18,270,4,4.29e-05,eval
solver,gpt-4o-mini-2024-07-18,269,4,4.275e-05,eval
solver,gpt-4o-mini-2024-07-18,187,4,3.0449999999999998e-05,eval
solver,gpt-4o-mini-2024-07-18,392,4,6.12e-05,eval
solver,gpt-4o-mini-2024-07-18,279,4,4.425e-05,eval
solver,gpt-4o-mini-2024-07-18,207,4,3.344999999999999e-05,eval
solver,gpt-4o-mini-2024-07-18,421,4,6.555e-05,eval
solver,gpt-4o-mini-2024-07-18,268,4,4.259999999999999e-05,eval
solver,gpt-4o-mini-2024-07-18,354,4,5.55e-05,eval
solver,gpt-4o-mini-2024-07-18,455,4,7.065000000000001e-05,eval
solver,gpt-4o-mini-2024-07-18,397,4,6.195e-05,simple:baseline
solver,gpt-4o-mini-2024-07-18,309,4,4.875e-05,simple:baseline
solver,gpt-4o-mini-2024-07-18,395,4,6.165e-05,simple:baseline
solver,gpt-4o-mini,0,0,0.0,simple:baseline
solver,gpt-4o-mini-2024-07-18,204,4,3.3e-05,simple:baseline
solver,gpt-4o-mini-2024-07-18,233,4,3.734999999999999e-05,simple:baseline
solver,gpt-4o-mini-2024-07-18,307,4,4.845e-05,simple:baseline
solver,gpt-4o-mini-2024-07-18,226,4,3.6299999999999995e-05,simple:baseline
solver,gpt-4o-mini-2024-07-18,210,4,3.39e-05,simple:baseline
solver,gpt-4o-mini-2024-07-18,184,4,2.9999999999999997e-05,simple:baseline
solver,gpt-4o-mini-2024-07-18,259,4,4.125e-05,simple:baseline
solver,gpt-4o-mini-2024-07-18,188,4,3.06e-05,simple:baseline
solver,gpt-4o-mini-2024-07-18,109,4,1.8749999999999995e-05,simple:baseline
solver,gpt-4o-mini-2024-07-18,419,4,6.525e-05,simple:baseline
solver,gpt-4o-mini-2024-07-18,340,4,5.34e-05,simple:baseline
solver,gpt-4o-mini-2024-07-18,93,4,1.6349999999999998e-05,simple:baseline
solver,gpt-4o-mini-2024-07-18,238,4,3.809999999999999e-05,simple:baseline
solver,gpt-4o-mini-2024-07-18,269,4,4.275e-05,simple:baseline
solver,gpt-4o-mini-2024-07-18,383,4,5.984999999999999e-05,simple:baseline
solver,gpt-4o-mini-2024-07-18,366,4,5.73e-05,simple:baseline
solver,gpt-4o-mini-2024-07-18,449,4,6.975e-05,simple:baseline
solver,gpt-4o-mini-2024-07-18,262,4,4.17e-05,simple:baseline
solver,gpt-4o-mini-2024-07-18,239,4,3.825e-05,simple:baseline
