role,model,prompt_tokens,completion_tokens,cost_usd,purpose
solver,claude-haiku-4-5-20251001,68,214,0.0,eval
solver,claude-haiku-4-5-20251001,70,262,0.0,eval
solver,claude-haiku-4-5-20251001,77,292,0.0,eval
solver,claude-haiku-4-5-20251001,71,169,0.0,eval
solver,claude-haiku-4-5-20251001,64,281,0.0,eval
solver,claude-haiku-4-5-20251001,67,128,0.0,eval
solver,claude-haiku-4-5-20251001,73,286,0.0,eval
solver,claude-haiku-4-5-20251001,64,189,0.0,eval
solver,claude-haiku-4-5-20251001,79,154,0.0,eval
solver,claude-haiku-4-5-20251001,65,323,0.0,eval
solver,claude-haiku-4-5-20251001,68,268,0.0,eval
solver,claude-haiku-4-5-20251001,65,142,0.0,eval
solver,claude-haiku-4-5-20251001,82,273,0.0,eval
solver,claude-haiku-4-5-20251001,68,185,0.0,eval
solver,claude-haiku-4-5-20251001,75,271,0.0,eval
solver,claude-haiku-4-5-20251001,67,229,0.0,eval
solver,claude-haiku-4-5-20251001,64,200,0.0,eval
solver,claude-haiku-4-5-20251001,64,198,0.0,eval
solver,claude-haiku-4-5-20251001,69,244,0.0,eval
solver,claude-haiku-4-5-20251001,73,223,0.0,eval
solver,claude-haiku-4-5-20251001,83,278,0.0,eval
solver,claude-haiku-4-5-20251001,70,278,0.0,eval
solver,claude-haiku-4-5-20251001,72,209,0.0,eval
solver,claude-haiku-4-5-20251001,70,233,0.0,eval
solver,claude-haiku-4-5-20251001,69,241,0.0,eval
solver,claude-haiku-4-5-20251001,73,205,0.0,eval
solver,claude-haiku-4-5-20251001,79,271,0.0,eval
solver,claude-haiku-4-5-20251001,66,318,0.0,eval
solver,claude-haiku-4-5-20251001,74,254,0.0,eval
solver,claude-haiku-4-5-20251001,74,207,0.0,eval
solver,claude-haiku-4-5-20251001,68,238,0.0,eval
solver,claude-haiku-4-5-20251001,74,171,0.0,eval
solver,claude-haiku-4-5-20251001,68,164,0.0,eval
