role,model,prompt_tokens,completion_tokens,cost_usd,purpose
solver,claude-haiku-4-5-20251001,123,196,0.0,eval
solver,claude-haiku-4-5-20251001,117,178,0.0,eval
solver,claude-haiku-4-5-20251001,121,208,0.0,eval
solver,claude-haiku-4-5-20251001,120,265,0.0,eval
solver,claude-haiku-4-5-20251001,117,256,0.0,eval
solver,claude-haiku-4-5-20251001,130,259,0.0,eval
solver,claude-haiku-4-5-20251001,124,296,0.0,eval
solver,claude-haiku-4-5-20251001,126,292,0.0,eval
solver,claude-haiku-4-5-20251001,118,156,0.0,eval
solver,claude-haiku-4-5-20251001,132,227,0.0,eval
solver,claude-haiku-4-5-20251001,128,188,0.0,eval
solver,claude-haiku-4-5-20251001,120,199,0.0,eval
solver,claude-haiku-4-5-20251001,117,173,0.0,eval
solver,claude-haiku-4-5-20251001,122,201,0.0,eval
solver,claude-haiku-4-5-20251001,121,208,0.0,eval
solver,claude-haiku-4-5-20251001,117,231,0.0,eval
solver,claude-haiku-4-5-20251001,123,236,0.0,eval
solver,claude-haiku-4-5-20251001,122,184,0.0,eval
solver,claude-haiku-4-5-20251001,125,185,0.0,eval
solver,claude-haiku-4-5-20251001,123,200,0.0,eval
solver,claude-haiku-4-5-20251001,126,197,0.0,eval
solver,claude-haiku-4-5-20251001,119,190,0.0,eval
solver,claude-haiku-4-5-20251001,132,199,0.0,eval
solver,claude-haiku-4-5-20251001,121,174,0.0,eval
solver,claude-haiku-4-5-20251001,127,203,0.0,eval
solver,claude-haiku-4-5-20251001,125,209,0.0,eval
solver,claude-haiku-4-5-20251001,127,284,0.0,eval
solver,claude-haiku-4-5-20251001,133,181,0.0,eval
solver,claude-haiku-4-5-20251001,130,174,0.0,eval
solver,claude-haiku-4-5-20251001,121,180,0.0,eval
solver,claude-haiku-4-5-20251001,118,158,0.0,eval
solver,claude-haiku-4-5-20251001,138,209,0.0,eval
solver,claude-haiku-4-5-20251001,125,258,0.0,eval
solver,claude-haiku-4-5-20251001,123,197,0.0,eval
solver,claude-haiku-4-5-20251001,128,223,0.0,eval
solver,claude-haiku-4-5-20251001,127,228,0.0,eval
solver,claude-haiku-4-5-20251001,124,198,0.0,eval
solver,claude-haiku-4-5-20251001,148,235,0.0,eval
solver,claude-haiku-4-5-20251001,139,213,0.0,eval
solver,claude-haiku-4-5-20251001,129,198,0.0,eval
solver,claude-haiku-4-5-20251001,119,185,0.0,eval
solver,claude-haiku-4-5-20251001,118,177,0.0,eval
solver,claude-haiku-4-5-20251001,131,156,0.0,eval
solver,claude-haiku-4-5-20251001,137,216,0.0,eval
solver,claude-haiku-4-5-20251001,129,244,0.0,eval
solver,claude-haiku-4-5-20251001,128,198,0.0,eval
solver,claude-haiku-4-5-20251001,125,170,0.0,eval
solver,claude-haiku-4-5-20251001,138,220,0.0,eval
solver,claude-haiku-4-5-20251001,117,228,0.0,eval
solver,claude-haiku-4-5-20251001,153,97,0.0,reflect:baseline
solver,claude-haiku-4-5-20251001,126,186,0.0,reflect:baseline
solver,claude-haiku-4-5-20251001,133,197,0.0,reflect:baseline
solver,claude-haiku-4-5-20251001,124,188,0.0,reflect:baseline
solver,claude-haiku-4-5-20251001,132,235,0.0,reflect:baseline
solver,claude-haiku-4-5-20251001,121,196,0.0,reflect:baseline
solver,claude-haiku-4-5-20251001,130,266,0.0,reflect:baseline
solver,claude-haiku-4-5-20251001,136,258,0.0,reflect:baseline
solver,claude-haiku-4-5-20251001,128,227,0.0,reflect:baseline
solver,claude-haiku-4-5-20251001,129,210,0.0,reflect:baseline
solver,claude-haiku-4-5-20251001,119,156,0.0,reflect:baseline
solver,claude-haiku-4-5-20251001,125,253,0.0,reflect:baseline
solver,claude-haiku-4-5-20251001,123,192,0.0,reflect:baseline
solver,claude-haiku-4-5-20251001,152,268,0.0,reflect:baseline
solver,claude-haiku-4-5-20251001,127,279,0.0,reflect:baseline
solver,claude-haiku-4-5-20251001,120,120,0.0,reflect:baseline
solver,claude-haiku-4-5-20251001,133,242,0.0,reflect:baseline
solver,claude-haiku-4-5-20251001,120,249,0.0,reflect:baseline
solver,claude-haiku-4-5-20251001,121,151,0.0,reflect:baseline
solver,claude-haiku-4-5-20251001,123,190,0.0,reflect:baseline
solver,claude-haiku-4-5-20251001,128,215,0.0,reflect:baseline
solver,claude-haiku-4-5-20251001,127,205,0.0,reflect:baseline
solver,claude-haiku-4-5-20251001,127,213,0.0,reflect:baseline
solver,claude-haiku-4-5-20251001,121,156,0.0,reflect:baseline
solver,claude-haiku-4-5-20251001,132,181,0.0,reflect:baseline
solver,claude-haiku-4-5-20251001,118,181,0.0,reflect:baseline-val
solver,claude-haiku-4-5-20251001,121,178,0.0,reflect:baseline-val
solver,claude-haiku-4-5-20251001,127,188,0.0,reflect:baseline-val
solver,claude-haiku-4-5-20251001,120,152,0.0,reflect:baseline-val
solver,claude-haiku-4-5-20251001,135,174,0.0,reflect:baseline-val
solver,claude-haiku-4-5-20251001,128,219,0.0,reflect:baseline-val
solver,claude-haiku-4-5-20251001,136,264,0.0,reflect:baseline-val
solver,claude-haiku-4-5-20251001,126,249,0.0,reflect:baseline-val
solver,claude-haiku-4-5-20251001,121,139,0.0,reflect:baseline-val
solver,claude-haiku-4-5-20251001,125,232,0.0,reflect:baseline-val
solver,claude-haiku-4-5-20251001,127,213,0.0,reflect:baseline-val
solver,claude-haiku-4-5-20251001,130,196,0.0,reflect:baseline-val
solver,claude-haiku-4-5-20251001,135,279,0.0,reflect:baseline-val
solver,claude-haiku-4-5-20251001,134,273,0.0,reflect:baseline-val
solver,claude-haiku-4-5-20251001,126,189,0.0,reflect:baseline-val
solver,claude-haiku-4-5-20251001,139,274,0.0,reflect:baseline-val
solver,claude-haiku-4-5-20251001,132,220,0.0,reflect:baseline-val
solver,claude-haiku-4-5-20251001,127,6,0.0,reflect:baseline-val
solver,claude-haiku-4-5-20251001,126,205,0.0,reflect:baseline-val
solver,claude-haiku-4-5-20251001,153,213,0.0,reflect:baseline-val
solver,claude-haiku-4-5-20251001,126,195,0.0,reflect:baseline-val
solver,claude-haiku-4-5-20251001,120,159,0.0,reflect:baseline-val
solver,claude-haiku-4-5-20251001,126,200,0.0,reflect:baseline-val
solver,claude-haiku-4-5-20251001,123,237,0.0,reflect:baseline-val
solver,claude-haiku-4-5-20251001,134,219,0.0,reflect:baseline-val
optimizer,gpt-5-2025-08-07,3386,5466,0.0588925,reflect:rewrite-r1
solver,claude-haiku-4-5-20251001,688,283,0.0,reflect:round1
solver,claude-haiku-4-5-20251001,676,237,0.0,reflect:round1
solver,claude-haiku-4-5-20251001,679,271,0.0,reflect:round1
solver,claude-haiku-4-5-20251001,708,274,0.0,reflect:round1
solver,claude-haiku-4-5-20251001,691,286,0.0,reflect:round1
solver,claude-haiku-4-5-20251001,681,285,0.0,reflect:round1
solver,claude-haiku-4-5-20251001,687,355,0.0,reflect:round1
solver,claude-haiku-4-5-20251001,685,350,0.0,reflect:round1
solver,claude-haiku-4-5-20251001,683,271,0.0,reflect:round1
solver,claude-haiku-4-5-20251001,678,266,0.0,reflect:round1
solver,claude-haiku-4-5-20251001,684,300,0.0,reflect:round1
solver,claude-haiku-4-5-20251001,682,338,0.0,reflect:round1
solver,claude-haiku-4-5-20251001,707,359,0.0,reflect:round1
solver,claude-haiku-4-5-20251001,674,320,0.0,reflect:round1
solver,claude-haiku-4-5-20251001,680,349,0.0,reflect:round1
solver,claude-haiku-4-5-20251001,688,340,0.0,reflect:round1
solver,claude-haiku-4-5-20251001,675,267,0.0,reflect:round1
solver,claude-haiku-4-5-20251001,675,281,0.0,reflect:round1
solver,claude-haiku-4-5-20251001,682,313,0.0,reflect:round1
solver,claude-haiku-4-5-20251001,682,279,0.0,reflect:round1
solver,claude-haiku-4-5-20251001,683,309,0.0,reflect:round1
solver,claude-haiku-4-5-20251001,676,248,0.0,reflect:round1
solver,claude-haiku-4-5-20251001,678,366,0.0,reflect:round1
solver,claude-haiku-4-5-20251001,676,313,0.0,reflect:round1
solver,claude-haiku-4-5-20251001,687,285,0.0,reflect:round1
solver,claude-haiku-4-5-20251001,681,273,0.0,reflect:round1-val
solver,claude-haiku-4-5-20251001,683,264,0.0,reflect:round1-val
solver,claude-haiku-4-5-20251001,673,263,0.0,reflect:round1-val
solver,claude-haiku-4-5-20251001,676,302,0.0,reflect:round1-val
solver,claude-haiku-4-5-20251001,682,288,0.0,reflect:round1-val
solver,claude-haiku-4-5-20251001,675,321,0.0,reflect:round1-val
solver,claude-haiku-4-5-20251001,691,372,0.0,reflect:round1-val
solver,claude-haiku-4-5-20251001,690,367,0.0,reflect:round1-val
solver,claude-haiku-4-5-20251001,680,334,0.0,reflect:round1-val
solver,claude-haiku-4-5-20251001,689,297,0.0,reflect:round1-val
solver,claude-haiku-4-5-20251001,694,286,0.0,reflect:round1-val
solver,claude-haiku-4-5-20251001,685,296,0.0,reflect:round1-val
solver,claude-haiku-4-5-20251001,682,314,0.0,reflect:round1-val
solver,claude-haiku-4-5-20251001,676,306,0.0,reflect:round1-val
solver,claude-haiku-4-5-20251001,690,357,0.0,reflect:round1-val
solver,claude-haiku-4-5-20251001,681,295,0.0,reflect:round1-val
solver,claude-haiku-4-5-20251001,678,273,0.0,reflect:round1-val
solver,claude-haiku-4-5-20251001,687,286,0.0,reflect:round1-val
solver,claude-haiku-4-5-20251001,681,296,0.0,reflect:round1-val
solver,claude-haiku-4-5-20251001,675,243,0.0,reflect:round1-val
solver,claude-haiku-4-5-20251001,708,284,0.0,reflect:round1-val
solver,claude-haiku-4-5-20251001,681,303,0.0,reflect:round1-val
solver,claude-haiku-4-5-20251001,681,286,0.0,reflect:round1-val
solver,claude-haiku-4-5-20251001,682,250,0.0,reflect:round1-val
solver,claude-haiku-4-5-20251001,689,332,0.0,reflect:round1-val
optimizer,gpt-5-2025-08-07,6088,5707,0.06468,reflect:rewrite-r2
solver,claude-haiku-4-5-20251001,945,291,0.0,reflect:round2
solver,claude-haiku-4-5-20251001,947,300,0.0,reflect:round2
solver,claude-haiku-4-5-20251001,953,330,0.0,reflect:round2
solver,claude-haiku-4-5-20251001,957,281,0.0,reflect:round2
solver,claude-haiku-4-5-20251001,951,333,0.0,reflect:round2
solver,claude-haiku-4-5-20251001,954,295,0.0,reflect:round2
solver,claude-haiku-4-5-20251001,942,350,0.0,reflect:round2
solver,claude-haiku-4-5-20251001,974,314,0.0,reflect:round2
solver,claude-haiku-4-5-20251001,949,305,0.0,reflect:round2
solver,claude-haiku-4-5-20251001,973,308,0.0,reflect:round2
solver,claude-haiku-4-5-20251001,950,320,0.0,reflect:round2
solver,claude-haiku-4-5-20251001,940,312,0.0,reflect:round2
solver,claude-haiku-4-5-20251001,948,345,0.0,reflect:round2
solver,claude-haiku-4-5-20251001,954,298,0.0,reflect:round2
solver,claude-haiku-4-5-20251001,944,315,0.0,reflect:round2
solver,claude-haiku-4-5-20251001,946,452,0.0,reflect:round2
solver,claude-haiku-4-5-20251001,941,294,0.0,reflect:round2
solver,claude-haiku-4-5-20251001,941,238,0.0,reflect:round2
solver,claude-haiku-4-5-20251001,948,335,0.0,reflect:round2
solver,claude-haiku-4-5-20251001,948,281,0.0,reflect:round2
solver,claude-haiku-4-5-20251001,942,248,0.0,reflect:round2
solver,claude-haiku-4-5-20251001,944,354,0.0,reflect:round2
