role,model,prompt_tokens,completion_tokens,cost_usd,purpose
solver,gpt-4o-mini-2024-07-18,131,77,6.584999999999999e-05,eval
solver,gpt-4o-mini-2024-07-18,147,99,8.145e-05,eval
solver,gpt-4o-mini-2024-07-18,124,170,0.00012059999999999999,eval
solver,gpt-4o-mini-2024-07-18,137,135,0.00010155,eval
solver,gpt-4o-mini-2024-07-18,104,137,9.779999999999999e-05,eval
solver,gpt-4o-mini-2024-07-18,125,189,0.00013215,eval
solver,gpt-4o-mini-2024-07-18,147,58,5.684999999999999e-05,eval
solver,gpt-4o-mini-2024-07-18,183,77,7.364999999999999e-05,eval
solver,gpt-4o-mini-2024-07-18,119,165,0.00011685,eval
solver,gpt-4o-mini-2024-07-18,104,256,0.0001692,eval
solver,gpt-4o-mini-2024-07-18,137,282,0.00018975,eval
solver,gpt-4o-mini-2024-07-18,119,599,0.00037725,eval
solver,gpt-4o-mini-2024-07-18,152,61,5.940000000000001e-05,eval
solver,gpt-4o-mini-2024-07-18,100,374,0.00023940000000000002,eval
solver,gpt-4o-mini-2024-07-18,119,15,2.685e-05,eval
solver,gpt-4o-mini-2024-07-18,132,678,0.0004266,eval
solver,gpt-4o-mini-2024-07-18,116,331,0.000216,eval
solver,gpt-4o-mini-2024-07-18,121,421,0.00027075,eval
solver,gpt-4o-mini-2024-07-18,154,441,0.0002877,eval
solver,gpt-4o-mini-2024-07-18,137,258,0.00017535,eval
solver,gpt-4o-mini-2024-07-18,124,186,0.0001302,eval
solver,gpt-4o-mini-2024-07-18,117,7,2.175e-05,eval
solver,gpt-4o-mini-2024-07-18,126,456,0.00029249999999999995,eval
solver,gpt-4o-mini-2024-07-18,118,314,0.0002061,eval
solver,gpt-4o-mini-2024-07-18,114,547,0.0003453,eval
solver,gpt-4o-mini-2024-07-18,105,214,0.00014415,eval
solver,gpt-4o-mini-2024-07-18,111,84,6.705e-05,eval
solver,gpt-4o-mini-2024-07-18,112,167,0.000117,eval
solver,gpt-4o-mini-2024-07-18,174,55,5.909999999999999e-05,eval
solver,gpt-4o-mini-2024-07-18,138,257,0.00017489999999999997,eval
solver,gpt-4o-mini-2024-07-18,96,127,9.059999999999999e-05,eval
solver,gpt-4o-mini-2024-07-18,121,135,9.915000000000001e-05,eval
solver,gpt-4o-mini-2024-07-18,120,784,0.0004883999999999999,eval
solver,gpt-4o-mini-2024-07-18,119,15,2.685e-05,eval
solver,gpt-4o-mini-2024-07-18,114,193,0.0001329,eval
solver,gpt-4o-mini-2024-07-18,116,192,0.0001326,eval
solver,gpt-4o-mini-2024-07-18,159,6,2.7449999999999996e-05,eval
solver,gpt-4o-mini-2024-07-18,147,437,0.00028425,eval
solver,gpt-4o-mini-2024-07-18,119,55,5.0849999999999996e-05,eval
solver,gpt-4o-mini-2024-07-18,100,390,0.000249,eval
solver,gpt-4o-mini-2024-07-18,130,697,0.0004377,eval
solver,gpt-4o-mini-2024-07-18,126,190,0.0001329,eval
solver,gpt-4o-mini-2024-07-18,172,118,9.659999999999999e-05,eval
solver,gpt-4o-mini-2024-07-18,128,112,8.64e-05,eval
solver,gpt-4o-mini-2024-07-18,125,219,0.00015015000000000002,eval
solver,gpt-4o-mini-2024-07-18,103,678,0.00042225,eval
solver,gpt-4o-mini-2024-07-18,112,117,8.7e-05,eval
solver,gpt-4o-mini-2024-07-18,119,59,5.325e-05,eval
solver,gpt-4o-mini-2024-07-18,156,89,7.68e-05,eval
solver,gpt-4o-mini-2024-07-18,102,235,0.0001563,eval
solver,gpt-4o-mini-2024-07-18,110,36,3.809999999999999e-05,eval
solver,gpt-4o-mini-2024-07-18,116,48,4.62e-05,eval
solver,gpt-4o-mini-2024-07-18,105,22,2.895e-05,eval
solver,gpt-4o-mini-2024-07-18,127,34,3.9450000000000003e-05,eval
solver,gpt-4o-mini-2024-07-18,99,229,0.00015225,eval
solver,gpt-4o-mini-2024-07-18,105,407,0.00025995,eval
solver,gpt-4o-mini-2024-07-18,120,397,0.0002562,eval
solver,gpt-4o-mini-2024-07-18,114,338,0.00021989999999999998,eval
solver,gpt-4o-mini-2024-07-18,103,12,2.2649999999999998e-05,eval
solver,gpt-4o-mini-2024-07-18,100,36,3.6599999999999995e-05,eval
solver,gpt-4o-mini-2024-07-18,104,106,7.919999999999999e-05,eval
solver,gpt-4o-mini-2024-07-18,120,409,0.00026339999999999995,eval
solver,gpt-4o-mini-2024-07-18,132,607,0.000384,eval
solver,gpt-4o-mini-2024-07-18,135,358,0.00023505,eval
solver,gpt-4o-mini-2024-07-18,102,98,7.41e-05,eval
solver,gpt-4o-mini-2024-07-18,100,39,3.84e-05,eval
solver,gpt-4o-mini-2024-07-18,145,180,0.00012975,eval
solver,gpt-4o-mini-2024-07-18,123,294,0.00019485,eval
solver,gpt-4o-mini-2024-07-18,95,175,0.00011925,eval
solver,gpt-4o-mini-2024-07-18,117,273,0.00018135,eval
solver,gpt-4o-mini-2024-07-18,108,108,8.1e-05,eval
solver,gpt-4o-mini-2024-07-18,143,54,5.3849999999999994e-05,eval
solver,gpt-4o-mini-2024-07-18,169,139,0.00010874999999999999,eval
solver,gpt-4o-mini-2024-07-18,97,785,0.00048555,eval
solver,gpt-4o-mini-2024-07-18,109,16,2.5949999999999997e-05,eval
solver,gpt-4o-mini-2024-07-18,129,530,0.00033735000000000004,eval
solver,gpt-4o-mini-2024-07-18,123,315,0.00020745,eval
solver,gpt-4o-mini-2024-07-18,112,957,0.0005909999999999998,eval
solver,gpt-4o-mini-2024-07-18,105,658,0.00041055000000000003,eval
solver,gpt-4o-mini-2024-07-18,115,990,0.00061125,eval
solver,gpt-4o-mini-2024-07-18,145,326,0.00021735,eval
solver,gpt-4o-mini-2024-07-18,109,617,0.00038655,eval
solver,gpt-4o-mini-2024-07-18,117,323,0.00021135,eval
solver,gpt-4o-mini-2024-07-18,152,158,0.0001176,eval
solver,gpt-4o-mini-2024-07-18,127,406,0.00026264999999999996,eval
solver,gpt-4o-mini-2024-07-18,125,250,0.00016875,eval
solver,gpt-4o-mini-2024-07-18,114,411,0.0002637,eval
solver,gpt-4o-mini-2024-07-18,127,192,0.00013425,eval
solver,gpt-4o-mini-2024-07-18,120,46,4.56e-05,eval
solver,gpt-4o-mini-2024-07-18,138,580,0.00036869999999999996,eval
solver,gpt-4o-mini-2024-07-18,157,202,0.00014475,eval
solver,gpt-4o-mini-2024-07-18,109,401,0.00025695,eval
solver,gpt-4o-mini-2024-07-18,119,314,0.00020625,eval
solver,gpt-4o-mini-2024-07-18,110,276,0.00018209999999999998,eval
solver,gpt-4o-mini-2024-07-18,126,730,0.0004569,eval
solver,gpt-4o-mini-2024-07-18,105,39,3.9149999999999996e-05,eval
solver,gpt-4o-mini-2024-07-18,126,316,0.0002085,eval
solver,gpt-4o-mini-2024-07-18,133,197,0.00013814999999999997,eval
solver,gpt-4o-mini-2024-07-18,132,583,0.00036960000000000004,eval
solver,gpt-4o-mini-2024-07-18,135,1061,0.0006568500000000001,eval
solver,gpt-4o-mini-2024-07-18,166,33,4.47e-05,eval
solver,gpt-4o-mini-2024-07-18,115,299,0.00019665,eval
solver,gpt-4o-mini-2024-07-18,111,126,9.225e-05,eval
solver,gpt-4o-mini-2024-07-18,147,45,4.905e-05,eval
solver,gpt-4o-mini-2024-07-18,105,632,0.00039495,eval
solver,gpt-4o-mini-2024-07-18,113,57,5.114999999999999e-05,eval
solver,gpt-4o-mini-2024-07-18,128,35,4.02e-05,eval
solver,gpt-4o-mini-2024-07-18,117,336,0.00021915000000000001,eval
solver,gpt-4o-mini-2024-07-18,117,161,0.00011415,eval
solver,gpt-4o-mini-2024-07-18,119,102,7.905e-05,eval
solver,gpt-4o-mini-2024-07-18,114,573,0.00036090000000000004,eval
solver,gpt-4o-mini-2024-07-18,130,448,0.0002883,eval
solver,gpt-4o-mini-2024-07-18,118,130,9.570000000000001e-05,eval
solver,gpt-4o-mini-2024-07-18,158,377,0.0002499,eval
solver,gpt-4o-mini-2024-07-18,116,151,0.000108,eval
solver,gpt-4o-mini-2024-07-18,130,180,0.0001275,eval
solver,gpt-4o-mini-2024-07-18,120,375,0.000243,eval
solver,gpt-4o-mini-2024-07-18,99,521,0.00032744999999999996,eval
solver,gpt-4o-mini-2024-07-18,142,458,0.00029610000000000004,eval
solver,gpt-4o-mini-2024-07-18,125,293,0.00019454999999999999,eval
solver,gpt-4o-mini-2024-07-18,120,905,0.000561,eval
solver,gpt-4o-mini-2024-07-18,130,62,5.6699999999999996e-05,eval
solver,gpt-4o-mini-2024-07-18,113,393,0.00025275,eval
solver,gpt-4o-mini-2024-07-18,129,198,0.00013815,eval
solver,gpt-4o-mini-2024-07-18,117,64,5.5950000000000005e-05,eval
solver,gpt-4o-mini-2024-07-18,110,59,5.19e-05,eval
solver,gpt-4o-mini-2024-07-18,151,316,0.00021225,eval
