role,model,prompt_tokens,completion_tokens,cost_usd,purpose
solver,gpt-4o-mini-2024-07-18,100,4,1.74e-05,eval
solver,gpt-4o-mini-2024-07-18,246,4,3.93e-05,eval
solver,gpt-4o-mini-2024-07-18,119,4,2.0249999999999998e-05,eval
solver,gpt-4o-mini-2024-07-18,110,4,1.89e-05,eval
solver,gpt-4o-mini-2024-07-18,164,4,2.6999999999999996e-05,eval
solver,gpt-4o-mini-2024-07-18,177,4,2.895e-05,eval
solver,gpt-4o-mini-2024-07-18,210,4,3.39e-05,eval
solver,gpt-4o-mini-2024-07-18,201,4,3.255e-05,eval
solver,gpt-4o-mini-2024-07-18,184,4,2.9999999999999997e-05,eval
solver,gpt-4o-mini-2024-07-18,133,4,2.2349999999999998e-05,eval
solver,gpt-4o-mini-2024-07-18,118,4,2.0099999999999997e-05,eval
solver,gpt-4o-mini-2024-07-18,133,4,2.2349999999999998e-05,eval
solver,gpt-4o-mini-2024-07-18,106,153,0.00010769999999999999,eval
solver,gpt-4o-mini-2024-07-18,215,4,3.4649999999999995e-05,eval
solver,gpt-4o-mini-2024-07-18,190,226,0.0001641,eval
solver,gpt-4o-mini-2024-07-18,129,4,2.1749999999999997e-05,eval
solver,gpt-4o-mini-2024-07-18,125,4,2.115e-05,eval
solver,gpt-4o-mini-2024-07-18,211,4,3.4049999999999994e-05,eval
solver,gpt-4o-mini-2024-07-18,120,4,2.0399999999999998e-05,eval
solver,gpt-4o-mini-2024-07-18,207,4,3.344999999999999e-05,eval
solver,gpt-4o-mini-2024-07-18,119,4,2.0249999999999998e-05,eval
solver,gpt-4o-mini-2024-07-18,187,4,3.0449999999999998e-05,eval
solver,gpt-4o-mini-2024-07-18,104,4,1.8e-05,eval
solver,gpt-4o-mini-2024-07-18,229,4,3.675e-05,eval
solver,gpt-4o-mini-2024-07-18,108,4,1.8599999999999998e-05,eval
solver,gpt-4o-mini-2024-07-18,159,4,2.6249999999999998e-05,eval
solver,gpt-4o-mini-2024-07-18,127,4,2.145e-05,eval
solver,gpt-4o-mini-2024-07-18,123,4,2.085e-05,eval
solver,gpt-4o-mini-2024-07-18,130,4,2.1899999999999997e-05,eval
solver,gpt-4o-mini-2024-07-18,111,4,1.9049999999999995e-05,eval
solver,gpt-4o-mini-2024-07-18,190,4,3.09e-05,eval
solver,gpt-4o-mini-2024-07-18,99,4,1.725e-05,eval
solver,gpt-4o-mini-2024-07-18,142,4,2.37e-05,eval
solver,gpt-4o-mini-2024-07-18,117,4,1.995e-05,eval
solver,gpt-4o-mini-2024-07-18,184,4,2.9999999999999997e-05,eval
solver,gpt-4o-mini-2024-07-18,120,4,2.0399999999999998e-05,eval
solver,gpt-4o-mini-2024-07-18,118,4,2.0099999999999997e-05,eval
solver,gpt-4o-mini-2024-07-18,234,4,3.75e-05,eval
solver,gpt-4o-mini-2024-07-18,170,4,2.7899999999999997e-05,eval
solver,gpt-4o-mini-2024-07-18,166,4,2.7299999999999996e-05,eval
solver,gpt-4o-mini-2024-07-18,146,4,2.4299999999999998e-05,eval
solver,gpt-4o-mini-2024-07-18,116,4,1.9799999999999997e-05,eval
solver,gpt-4o-mini-2024-07-18,185,660,0.00042375,eval
solver,gpt-4o-mini-2024-07-18,122,4,2.07e-05,eval
solver,gpt-4o-mini-2024-07-18,116,4,1.9799999999999997e-05,eval
solver,gpt-4o-mini-2024-07-18,132,4,2.22e-05,eval
solver,gpt-4o-mini-2024-07-18,117,4,1.995e-05,eval
solver,gpt-4o-mini-2024-07-18,217,260,0.00018855,eval
solver,gpt-4o-mini-2024-07-18,125,4,2.115e-05,eval
solver,gpt-4o-mini-2024-07-18,176,4,2.88e-05,eval
solver,gpt-4o-mini-2024-07-18,145,4,2.4149999999999997e-05,eval
solver,gpt-4o-mini-2024-07-18,129,162,0.00011655,eval
solver,gpt-4o-mini-2024-07-18,151,4,2.5049999999999996e-05,eval
solver,gpt-4o-mini-2024-07-18,148,4,2.4599999999999998e-05,eval
solver,gpt-4o-mini-2024-07-18,86,4,1.53e-05,eval
solver,gpt-4o-mini-2024-07-18,139,4,2.3249999999999996e-05,eval
solver,gpt-4o-mini-2024-07-18,146,4,2.4299999999999998e-05,eval
solver,gpt-4o-mini-2024-07-18,99,214,0.00014325,eval
solver,gpt-4o-mini-2024-07-18,153,4,2.535e-05,eval
solver,gpt-4o-mini-2024-07-18,134,4,2.2499999999999998e-05,eval
solver,gpt-4o-mini-2024-07-18,120,4,2.0399999999999998e-05,eval
solver,gpt-4o-mini-2024-07-18,142,4,2.37e-05,eval
solver,gpt-4o-mini-2024-07-18,153,4,2.535e-05,eval
solver,gpt-4o-mini-2024-07-18,195,4,3.165e-05,eval
solver,gpt-4o-mini-2024-07-18,153,4,2.535e-05,eval
solver,gpt-4o-mini-2024-07-18,168,4,2.7599999999999997e-05,eval
solver,gpt-4o-mini-2024-07-18,209,4,3.375e-05,simple:baseline
solver,gpt-4o-mini-2024-07-18,105,4,1.8149999999999997e-05,simple:baseline
solver,gpt-4o-mini-2024-07-18,174,4,2.8499999999999995e-05,simple:baseline
solver,gpt-4o-mini-2024-07-18,102,4,1.77e-05,simple:baseline
solver,gpt-4o-mini-2024-07-18,189,4,3.0749999999999995e-05,simple:baseline
solver,gpt-4o-mini-2024-07-18,120,4,2.0399999999999998e-05,simple:baseline
solver,gpt-4o-mini-2024-07-18,199,4,3.225e-05,simple:baseline
solver,gpt-4o-mini-2024-07-18,109,4,1.8749999999999995e-05,simple:baseline
solver,gpt-4o-mini-2024-07-18,124,4,2.0999999999999995e-05,simple:baseline
solver,gpt-4o-mini-2024-07-18,219,4,3.525e-05,simple:baseline
solver,gpt-4o-mini-2024-07-18,196,4,3.18e-05,simple:baseline
solver,gpt-4o-mini-2024-07-18,112,4,1.92e-05,simple:baseline
solver,gpt-4o-mini-2024-07-18,137,4,2.295e-05,simple:baseline
solver,gpt-4o-mini-2024-07-18,129,4,2.1749999999999997e-05,simple:baseline
solver,gpt-4o-mini-2024-07-18,215,4,3.4649999999999995e-05,simple:baseline
solver,gpt-4o-mini-2024-07-18,120,4,2.0399999999999998e-05,simple:baseline
solver,gpt-4o-mini-2024-07-18,165,4,2.715e-05,simple:baseline
solver,gpt-4o-mini-2024-07-18,183,4,2.9849999999999997e-05,simple:baseline
solver,gpt-4o-mini-2024-07-18,110,4,1.89e-05,simple:baseline
solver,gpt-4o-mini-2024-07-18,113,391,0.00025154999999999996,simple:baseline
solver,gpt-4o-mini-2024-07-18,170,4,2.7899999999999997e-05,simple:baseline
solver,gpt-4o-mini-2024-07-18,115,4,1.965e-05,simple:baseline
solver,gpt-4o-mini-2024-07-18,165,4,2.715e-05,simple:baseline
solver,gpt-4o-mini-2024-07-18,206,4,3.3299999999999996e-05,simple:baseline
solver,gpt-4o-mini-2024-07-18,138,4,2.31e-05,simple:baseline
solver,gpt-4o-mini-2024-07-18,128,4,2.1599999999999996e-05,simple:baseline
solver,gpt-4o-mini-2024-07-18,120,4,2.0399999999999998e-05,simple:baseline
solver,gpt-4o-mini-2024-07-18,135,4,2.2649999999999998e-05,simple:baseline
solver,gpt-4o-mini-2024-07-18,170,4,2.7899999999999997e-05,simple:baseline
solver,gpt-4o-mini-2024-07-18,101,4,1.7549999999999996e-05,simple:baseline
solver,gpt-4o-mini-2024-07-18,159,4,2.6249999999999998e-05,simple:baseline
solver,gpt-4o-mini-2024-07-18,181,813,0.0005149499999999999,simple:baseline
solver,gpt-4o-mini-2024-07-18,153,4,2.535e-05,simple:baseline-val
solver,gpt-4o-mini-2024-07-18,131,4,2.2049999999999997e-05,simple:baseline-val
solver,gpt-4o-mini-2024-07-18,198,4,3.21e-05,simple:baseline-val
solver,gpt-4o-mini-2024-07-18,122,4,2.07e-05,simple:baseline-val
solver,gpt-4o-mini-2024-07-18,217,4,3.4949999999999996e-05,simple:baseline-val
solver,gpt-4o-mini-2024-07-18,114,4,1.9499999999999996e-05,simple:baseline-val
solver,gpt-4o-mini-2024-07-18,163,4,2.685e-05,simple:baseline-val
solver,gpt-4o-mini-2024-07-18,189,4,3.0749999999999995e-05,simple:baseline-val
solver,gpt-4o-mini-2024-07-18,107,4,1.8449999999999998e-05,simple:baseline-val
solver,gpt-4o-mini-2024-07-18,142,4,2.37e-05,simple:baseline-val
solver,gpt-4o-mini-2024-07-18,160,4,2.6399999999999998e-05,simple:baseline-val
solver,gpt-4o-mini-2024-07-18,220,4,3.54e-05,simple:baseline-val
solver,gpt-4o-mini-2024-07-18,102,4,1.77e-05,simple:baseline-val
solver,gpt-4o-mini-2024-07-18,174,4,2.8499999999999995e-05,simple:baseline-val
solver,gpt-4o-mini-2024-07-18,101,4,1.7549999999999996e-05,simple:baseline-val
