role,model,prompt_tokens,completion_tokens,cost_usd,purpose
solver,gpt-4.1-2025-04-14,137,591,0.005002,eval
solver,gpt-4.1-2025-04-14,178,1072,0.008932,eval
solver,gpt-4.1-2025-04-14,189,1425,0.011778,eval
solver,gpt-4.1-2025-04-14,197,1435,0.011874,eval
solver,gpt-4.1-2025-04-14,234,2142,0.017604,eval
solver,gpt-4.1-2025-04-14,311,4096,0.03339,eval
solver,gpt-4.1-2025-04-14,318,4096,0.033404,eval
solver,gpt-4.1-2025-04-14,129,591,0.004986,eval
solver,gpt-4.1-2025-04-14,346,1950,0.016292,eval
solver,gpt-4.1-2025-04-14,295,4096,0.033358,eval
solver,gpt-4.1-2025-04-14,342,1191,0.010212,eval
solver,gpt-4.1-2025-04-14,207,4096,0.033182,eval
solver,gpt-4.1-2025-04-14,177,4096,0.033122,eval
solver,gpt-4.1-2025-04-14,221,4096,0.03321,eval
solver,gpt-4.1-2025-04-14,311,1545,0.012982,eval
solver,gpt-4.1-2025-04-14,186,1159,0.009644,eval
solver,gpt-4.1-2025-04-14,219,810,0.006918,eval
solver,gpt-4.1-2025-04-14,191,4096,0.03315,eval
solver,gpt-4.1-2025-04-14,194,990,0.008308,eval
solver,gpt-4.1-2025-04-14,150,1311,0.010788,eval
solver,gpt-4.1-2025-04-14,208,932,0.007872,eval
solver,gpt-4.1-2025-04-14,276,1193,0.010096,eval
solver,gpt-4.1-2025-04-14,161,3999,0.032314,eval
solver,gpt-4.1-2025-04-14,162,4096,0.033092,eval
solver,gpt-4.1-2025-04-14,166,3249,0.026324,eval
solver,gpt-4.1-2025-04-14,150,2719,0.022052,eval
solver,gpt-4.1-2025-04-14,175,4096,0.033118,eval
solver,gpt-4.1-2025-04-14,196,4096,0.03316,eval
solver,gpt-4.1-2025-04-14,222,4096,0.033212,eval
solver,gpt-4.1-2025-04-14,167,3746,0.030302,eval
solver,gpt-4.1-2025-04-14,164,1956,0.015976,reflect:baseline
solver,gpt-4.1-2025-04-14,324,2860,0.023528,reflect:baseline
solver,gpt-4.1-2025-04-14,473,4096,0.033714,reflect:baseline
solver,gpt-4.1-2025-04-14,272,3038,0.024848,reflect:baseline
solver,gpt-4.1-2025-04-14,230,4096,0.033228,reflect:baseline
solver,gpt-4.1-2025-04-14,243,4096,0.033254,reflect:baseline
solver,gpt-4.1-2025-04-14,265,3935,0.03201,reflect:baseline
solver,gpt-4.1-2025-04-14,137,806,0.006722,reflect:baseline
solver,gpt-4.1-2025-04-14,230,976,0.008268,reflect:baseline
solver,gpt-4.1-2025-04-14,155,1474,0.012102,reflect:baseline
solver,gpt-4.1-2025-04-14,169,4096,0.033106,reflect:baseline
solver,gpt-4.1-2025-04-14,168,779,0.006568,reflect:baseline
solver,gpt-4.1-2025-04-14,205,4096,0.033178,reflect:baseline
solver,gpt-4.1-2025-04-14,168,1420,0.011696,reflect:baseline
solver,gpt-4.1-2025-04-14,250,4096,0.033268,reflect:baseline
solver,gpt-4.1-2025-04-14,163,4009,0.032398,reflect:baseline
solver,gpt-4.1-2025-04-14,231,3825,0.031062,reflect:baseline
solver,gpt-4.1-2025-04-14,184,907,0.007624,reflect:baseline
solver,gpt-4.1-2025-04-14,193,3049,0.024778,reflect:baseline
solver,gpt-4.1-2025-04-14,191,4096,0.03315,reflect:baseline
solver,gpt-4.1-2025-04-14,317,4096,0.033402,reflect:baseline
solver,gpt-4.1-2025-04-14,175,4096,0.033118,reflect:baseline
solver,gpt-4.1-2025-04-14,153,820,0.006866,reflect:baseline
solver,gpt-4.1-2025-04-14,405,4096,0.033578,reflect:baseline
solver,gpt-4.1-2025-04-14,159,3815,0.030838,reflect:baseline
solver,gpt-4.1-2025-04-14,154,1939,0.01582,reflect:baseline
solver,gpt-4.1-2025-04-14,260,4096,0.033288,reflect:baseline
solver,gpt-4.1-2025-04-14,181,4096,0.03313,reflect:baseline
solver,gpt-4.1-2025-04-14,255,4096,0.033278,reflect:baseline
solver,gpt-4.1-2025-04-14,165,4096,0.033098,reflect:baseline
solver,gpt-4.1-2025-04-14,257,3597,0.02929,reflect:baseline
solver,gpt-4.1-2025-04-14,196,4096,0.03316,reflect:baseline
solver,gpt-4.1-2025-04-14,142,831,0.006932,reflect:baseline
solver,gpt-4.1-2025-04-14,172,4096,0.033112,reflect:baseline
solver,gpt-4.1-2025-04-14,226,1891,0.01558,reflect:baseline
solver,gpt-4.1-2025-04-14,289,4096,0.033346,reflect:baseline
solver,gpt-4.1-2025-04-14,176,4096,0.03312,reflect:baseline
solver,gpt-4.1-2025-04-14,181,4096,0.03313,reflect:baseline
solver,gpt-4.1-2025-04-14,194,541,0.004716,reflect:baseline
solver,gpt-4.1-2025-04-14,155,4096,0.033078,reflect:baseline
solver,gpt-4.1-2025-04-14,252,4096,0.033272,reflect:baseline
solver,gpt-4.1-2025-04-14,228,4096,0.033224,reflect:baseline
solver,gpt-4.1-2025-04-14,180,3768,0.030504,reflect:baseline
solver,gpt-4.1-2025-04-14,181,2302,0.018778,reflect:baseline
solver,gpt-4.1-2025-04-14,152,4096,0.033072,reflect:baseline
solver,gpt-4.1-2025-04-14,182,4096,0.033132,reflect:baseline
solver,gpt-4.1-2025-04-14,196,2245,0.018352,reflect:baseline
solver,gpt-4.1-2025-04-14,196,612,0.005288,reflect:baseline
solver,gpt-4.1-2025-04-14,176,2358,0.019216,reflect:baseline
solver,gpt-4.1-2025-04-14,182,4096,0.033132,reflect:baseline
solver,gpt-4.1-2025-04-14,230,1343,0.011204,reflect:baseline
solver,gpt-4.1-2025-04-14,207,4096,0.033182,reflect:baseline
solver,gpt-4.1-2025-04-14,168,4096,0.033104,reflect:baseline
solver,gpt-4.1-2025-04-14,198,1387,0.011492,reflect:baseline
solver,gpt-4.1-2025-04-14,194,4096,0.033156,reflect:baseline
solver,gpt-4.1-2025-04-14,163,1524,0.012518,reflect:baseline
solver,gpt-4.1-2025-04-14,323,4096,0.033414,reflect:baseline
solver,gpt-4.1-2025-04-14,200,4096,0.033168,reflect:baseline
solver,gpt-4.1-2025-04-14,154,916,0.007636,reflect:baseline-val
solver,gpt-4.1-2025-04-14,243,1835,0.015166,reflect:baseline-val
solver,gpt-4.1-2025-04-14,178,1883,0.01542,reflect:baseline-val
solver,gpt-4.1-2025-04-14,302,2190,0.018124,reflect:baseline-val
