role,model,prompt_tokens,completion_tokens,cost_usd,purpose
solver,gpt-4.1-mini-2025-04-14,145,24,9.640000000000001e-05,eval
solver,gpt-4.1-mini-2025-04-14,220,86,0.00022559999999999998,eval
solver,gpt-4.1-mini-2025-04-14,218,80,0.0002152,eval
solver,gpt-4.1-mini-2025-04-14,284,136,0.00033120000000000003,eval
external,gpt-4.1-2025-04-14,118,150,0.001436,eval
external,gpt-4.1-2025-04-14,124,243,0.002192,eval
external,gpt-4.1-2025-04-14,62,400,0.003324,eval
solver,gpt-4.1-mini-2025-04-14,555,105,0.00039,eval
solver,gpt-4.1-mini-2025-04-14,453,138,0.000402,eval
external,gpt-4.1-2025-04-14,174,184,0.00182,eval
solver,gpt-4.1-mini-2025-04-14,609,166,0.0005092,eval
judge,gpt-5-2025-08-07,407,271,0.00321875,eval:judge
judge,gpt-5-2025-08-07,561,335,0.00405125,eval:judge
solver,gpt-4.1-mini-2025-04-14,575,359,0.0008043999999999999,eval
solver,gpt-4.1-mini-2025-04-14,426,213,0.0005112000000000001,eval
solver,gpt-4.1-mini-2025-04-14,3273,104,0.0014756,eval
external,gpt-4.1-2025-04-14,251,320,0.003062,eval
judge,gpt-5-2025-08-07,451,783,0.00839375,eval:judge
solver,gpt-4.1-mini-2025-04-14,470,115,0.000372,eval
judge,gpt-5-2025-08-07,873,719,0.00828125,eval:judge
solver,gpt-4.1-mini-2025-04-14,964,291,0.0008512000000000001,eval
solver,gpt-4.1-mini-2025-04-14,144,27,0.00010080000000000001,eval
external,gpt-4.1-2025-04-14,153,110,0.001186,eval
external,gpt-4.1-2025-04-14,142,761,0.006372,eval
solver,gpt-4.1-mini-2025-04-14,700,133,0.0004928,eval
external,gpt-4.1-2025-04-14,65,489,0.004042,eval
judge,gpt-5-2025-08-07,886,591,0.0070175,eval:judge
judge,gpt-5-2025-08-07,696,271,0.00358,eval:judge
solver,gpt-4.1-mini-2025-04-14,157,22,9.8e-05,eval
external,gpt-4.1-2025-04-14,60,35,0.0004,eval
solver,gpt-4.1-mini-2025-04-14,220,22,0.0001232,eval
solver,gpt-4.1-mini-2025-04-14,1323,125,0.0007292,eval
solver,gpt-4.1-mini-2025-04-14,665,420,0.000938,eval
judge,gpt-5-2025-08-07,198,335,0.0035975,eval:judge
solver,gpt-4.1-mini-2025-04-14,172,48,0.00014560000000000002,eval
judge,gpt-5-2025-08-07,1210,802,0.0095325,eval:judge
external,gpt-4.1-2025-04-14,86,319,0.002724,eval
external,gpt-4.1-2025-04-14,163,841,0.007054,eval
solver,gpt-4.1-mini-2025-04-14,398,282,0.0006104000000000001,eval
solver,gpt-4.1-mini-2025-04-14,545,297,0.0006932,eval
external,gpt-4.1-2025-04-14,320,481,0.004488,eval
solver,gpt-4.1-mini-2025-04-14,4143,2048,0.004934,eval
solver,gpt-4.1-mini-2025-04-14,2295,856,0.0022876000000000003,eval
judge,gpt-5-2025-08-07,654,335,0.0041675,eval:judge
solver,gpt-4.1-mini-2025-04-14,254,86,0.0002392,eval
solver,gpt-4.1-mini-2025-04-14,1167,486,0.0012444,eval
judge,gpt-5-2025-08-07,2538,399,0.0071625,eval:judge
external,gpt-4.1-2025-04-14,124,415,0.003568,eval
solver,gpt-4.1-mini-2025-04-14,595,271,0.0006716000000000001,eval
judge,gpt-5-2025-08-07,1141,890,0.01032625,eval:judge
solver,gpt-4.1-mini-2025-04-14,761,517,0.0011316000000000002,eval
judge,gpt-5-2025-08-07,6031,1492,0.02245875,eval:judge
external,gpt-4.1-2025-04-14,309,668,0.005962,eval
solver,gpt-4.1-mini-2025-04-14,798,321,0.0008328000000000001,eval
solver,gpt-4.1-mini-2025-04-14,3353,142,0.0015684000000000002,eval
external,gpt-4.1-2025-04-14,180,104,0.001192,eval
solver,gpt-4.1-mini-2025-04-14,3604,228,0.0018064,eval
solver,gpt-4.1-mini-2025-04-14,1539,641,0.0016412000000000002,eval
external,gpt-4.1-2025-04-14,359,1251,0.010726,eval
judge,gpt-5-2025-08-07,1266,1411,0.0156925,eval:judge
solver,gpt-4.1-mini-2025-04-14,161,37,0.0001236,eval
judge,gpt-5-2025-08-07,3737,961,0.01428125,eval:judge
judge,gpt-5-2025-08-07,1752,990,0.01209,eval:judge
solver,gpt-4.1-mini-2025-04-14,2375,1207,0.0028812,eval
external,gpt-4.1-2025-04-14,75,550,0.00455,eval
solver,gpt-4.1-mini-2025-04-14,8329,174,0.0036100000000000004,eval
solver,gpt-4.1-mini-2025-04-14,1803,398,0.001358,eval
solver,gpt-4.1-mini-2025-04-14,753,529,0.0011476000000000001,eval
external,gpt-4.1-2025-04-14,212,1326,0.011032,eval
judge,gpt-5-2025-08-07,2606,1435,0.0176075,eval:judge
judge,gpt-5-2025-08-07,1062,610,0.0074275,eval:judge
solver,gpt-4.1-mini-2025-04-14,135,8,6.68e-05,eval
external,gpt-4.1-2025-04-14,46,40,0.000412,eval
solver,gpt-4.1-mini-2025-04-14,141,29,0.0001028,eval
solver,gpt-4.1-mini-2025-04-14,189,43,0.0001444,eval
external,gpt-4.1-2025-04-14,436,1453,0.012496,eval
judge,gpt-5-2025-08-07,241,271,0.00301125,eval:judge
external,gpt-4.1-2025-04-14,67,352,0.00295,eval
solver,gpt-4.1-mini-2025-04-14,9835,1447,0.006249200000000001,eval
solver,gpt-4.1-mini-2025-04-14,426,211,0.000508,eval
external,gpt-4.1-2025-04-14,249,306,0.002946,eval
solver,gpt-4.1-mini-2025-04-14,528,412,0.0008704000000000001,eval
solver,gpt-4.1-mini-2025-04-14,3659,1129,0.00327,eval
solver,gpt-4.1-mini-2025-04-14,948,291,0.0008448,eval
judge,gpt-5-2025-08-07,923,335,0.00450375,eval:judge
solver,gpt-4.1-mini-2025-04-14,158,39,0.00012560000000000002,eval
judge,gpt-5-2025-08-07,886,463,0.0057375,eval:judge
judge,gpt-5-2025-08-07,9771,1381,0.02602375,eval:judge
solver,gpt-4.1-mini-2025-04-14,157,28,0.00010760000000000001,eval
external,gpt-4.1-2025-04-14,77,275,0.002354,eval
solver,gpt-4.1-mini-2025-04-14,154,35,0.0001176,eval
solver,gpt-4.1-mini-2025-04-14,477,134,0.00040520000000000004,eval
judge,gpt-5-2025-08-07,3244,1076,0.014815,eval:judge
external,gpt-4.1-2025-04-14,66,294,0.002484,eval
solver,gpt-4.1-mini-2025-04-14,296,171,0.000392,eval
external,gpt-4.1-2025-04-14,209,170,0.001778,eval
judge,gpt-5-2025-08-07,545,271,0.00339125,eval:judge
solver,gpt-4.1-mini-2025-04-14,485,273,0.0006307999999999999,eval
solver,gpt-4.1-mini-2025-04-14,642,160,0.0005128,eval
external,gpt-4.1-2025-04-14,73,998,0.00813,eval
solver,gpt-4.1-mini-2025-04-14,162,24,0.0001032,eval
external,gpt-4.1-2025-04-14,62,154,0.001356,eval
judge,gpt-5-2025-08-07,836,399,0.005035,eval:judge
solver,gpt-4.1-mini-2025-04-14,345,35,0.000194,eval
solver,gpt-4.1-mini-2025-04-14,141,12,7.560000000000001e-05,eval
external,gpt-4.1-2025-04-14,50,103,0.000924,eval
solver,gpt-4.1-mini-2025-04-14,261,74,0.00022280000000000002,eval
judge,gpt-5-2025-08-07,624,783,0.00861,eval:judge
solver,gpt-4.1-mini-2025-04-14,140,23,9.28e-05,eval
judge,gpt-5-2025-08-07,257,271,0.00303125,eval:judge
external,gpt-4.1-2025-04-14,61,82,0.000778,eval
solver,gpt-4.1-mini-2025-04-14,382,162,0.000412,eval
solver,gpt-4.1-mini-2025-04-14,251,70,0.0002124,eval
external,gpt-4.1-2025-04-14,200,160,0.00168,eval
solver,gpt-4.1-mini-2025-04-14,1193,1291,0.0025428,eval
judge,gpt-5-2025-08-07,302,1103,0.0114075,eval:judge
solver,gpt-4.1-mini-2025-04-14,709,228,0.0006484,eval
judge,gpt-5-2025-08-07,282,335,0.0037025,eval:judge
