role,model,prompt_tokens,completion_tokens,cost_usd,purpose
solver,claude-haiku-4-5-20251001,104,254,0.0,eval
solver,claude-haiku-4-5-20251001,130,359,0.0,eval
solver,claude-haiku-4-5-20251001,261,389,0.0,eval
solver,claude-haiku-4-5-20251001,116,310,0.0,eval
solver,claude-haiku-4-5-20251001,171,347,0.0,eval
solver,claude-haiku-4-5-20251001,186,347,0.0,eval
solver,claude-haiku-4-5-20251001,219,451,0.0,eval
solver,claude-haiku-4-5-20251001,224,355,0.0,eval
solver,claude-haiku-4-5-20251001,201,359,0.0,eval
solver,claude-haiku-4-5-20251001,200,406,0.0,eval
solver,claude-haiku-4-5-20251001,147,405,0.0,eval
solver,claude-haiku-4-5-20251001,113,256,0.0,eval
solver,claude-haiku-4-5-20251001,124,312,0.0,eval
solver,claude-haiku-4-5-20251001,231,394,0.0,eval
solver,claude-haiku-4-5-20251001,138,344,0.0,eval
solver,claude-haiku-4-5-20251001,138,285,0.0,eval
solver,claude-haiku-4-5-20251001,126,260,0.0,eval
solver,claude-haiku-4-5-20251001,227,343,0.0,eval
solver,claude-haiku-4-5-20251001,132,402,0.0,eval
solver,claude-haiku-4-5-20251001,130,322,0.0,eval
solver,claude-haiku-4-5-20251001,218,391,0.0,eval
solver,claude-haiku-4-5-20251001,196,365,0.0,eval
solver,claude-haiku-4-5-20251001,105,247,0.0,eval
solver,claude-haiku-4-5-20251001,246,407,0.0,eval
solver,claude-haiku-4-5-20251001,170,520,0.0,eval
solver,claude-haiku-4-5-20251001,113,331,0.0,eval
solver,claude-haiku-4-5-20251001,135,373,0.0,eval
solver,claude-haiku-4-5-20251001,134,342,0.0,eval
solver,claude-haiku-4-5-20251001,138,334,0.0,eval
solver,claude-haiku-4-5-20251001,115,284,0.0,eval
solver,claude-haiku-4-5-20251001,107,242,0.0,eval
solver,claude-haiku-4-5-20251001,206,413,0.0,eval
solver,claude-haiku-4-5-20251001,201,533,0.0,eval
solver,claude-haiku-4-5-20251001,148,351,0.0,eval
solver,claude-haiku-4-5-20251001,124,364,0.0,eval
solver,claude-haiku-4-5-20251001,192,399,0.0,eval
solver,claude-haiku-4-5-20251001,129,322,0.0,eval
solver,claude-haiku-4-5-20251001,124,336,0.0,eval
solver,claude-haiku-4-5-20251001,180,351,0.0,eval
solver,claude-haiku-4-5-20251001,246,406,0.0,eval
solver,claude-haiku-4-5-20251001,174,403,0.0,eval
solver,claude-haiku-4-5-20251001,152,367,0.0,eval
solver,claude-haiku-4-5-20251001,124,267,0.0,eval
solver,claude-haiku-4-5-20251001,126,335,0.0,eval
solver,claude-haiku-4-5-20251001,244,618,0.0,eval
solver,claude-haiku-4-5-20251001,127,278,0.0,eval
solver,claude-haiku-4-5-20251001,129,225,0.0,eval
solver,claude-haiku-4-5-20251001,139,298,0.0,eval
solver,claude-haiku-4-5-20251001,138,339,0.0,eval
solver,claude-haiku-4-5-20251001,127,234,0.0,eval
solver,claude-haiku-4-5-20251001,184,413,0.0,eval
solver,claude-haiku-4-5-20251001,150,329,0.0,eval
solver,claude-haiku-4-5-20251001,150,299,0.0,eval
solver,claude-haiku-4-5-20251001,161,377,0.0,eval
solver,claude-haiku-4-5-20251001,103,269,0.0,eval
solver,claude-haiku-4-5-20251001,149,363,0.0,eval
solver,claude-haiku-4-5-20251001,89,258,0.0,eval
solver,claude-haiku-4-5-20251001,164,239,0.0,eval
solver,claude-haiku-4-5-20251001,154,338,0.0,eval
solver,claude-haiku-4-5-20251001,145,351,0.0,eval
solver,claude-haiku-4-5-20251001,147,329,0.0,eval
solver,claude-haiku-4-5-20251001,126,308,0.0,eval
solver,claude-haiku-4-5-20251001,207,288,0.0,eval
solver,claude-haiku-4-5-20251001,161,360,0.0,eval
solver,claude-haiku-4-5-20251001,158,370,0.0,eval
solver,claude-haiku-4-5-20251001,179,401,0.0,eval
solver,claude-haiku-4-5-20251001,114,174,0.0,reflect:baseline
solver,claude-haiku-4-5-20251001,147,284,0.0,reflect:baseline
solver,claude-haiku-4-5-20251001,176,282,0.0,reflect:baseline
solver,claude-haiku-4-5-20251001,134,385,0.0,reflect:baseline
solver,claude-haiku-4-5-20251001,125,314,0.0,reflect:baseline
solver,claude-haiku-4-5-20251001,119,341,0.0,reflect:baseline
solver,claude-haiku-4-5-20251001,202,480,0.0,reflect:baseline
solver,claude-haiku-4-5-20251001,117,394,0.0,reflect:baseline
solver,claude-haiku-4-5-20251001,188,323,0.0,reflect:baseline
solver,claude-haiku-4-5-20251001,122,283,0.0,reflect:baseline
solver,claude-haiku-4-5-20251001,150,330,0.0,reflect:baseline
solver,claude-haiku-4-5-20251001,124,339,0.0,reflect:baseline
solver,claude-haiku-4-5-20251001,130,719,0.0,reflect:baseline
solver,claude-haiku-4-5-20251001,196,310,0.0,reflect:baseline
solver,claude-haiku-4-5-20251001,146,359,0.0,reflect:baseline
solver,claude-haiku-4-5-20251001,196,300,0.0,reflect:baseline
solver,claude-haiku-4-5-20251001,230,330,0.0,reflect:baseline
solver,claude-haiku-4-5-20251001,128,330,0.0,reflect:baseline
solver,claude-haiku-4-5-20251001,113,302,0.0,reflect:baseline
solver,claude-haiku-4-5-20251001,171,334,0.0,reflect:baseline
solver,claude-haiku-4-5-20251001,207,423,0.0,reflect:baseline
solver,claude-haiku-4-5-20251001,183,302,0.0,reflect:baseline
solver,claude-haiku-4-5-20251001,117,278,0.0,reflect:baseline
solver,claude-haiku-4-5-20251001,170,353,0.0,reflect:baseline
solver,claude-haiku-4-5-20251001,133,343,0.0,reflect:baseline
solver,claude-haiku-4-5-20251001,104,254,0.0,eval
solver,claude-haiku-4-5-20251001,130,359,0.0,eval
solver,claude-haiku-4-5-20251001,261,389,0.0,eval
solver,claude-haiku-4-5-20251001,116,324,0.0,eval
solver,claude-haiku-4-5-20251001,171,347,0.0,eval
solver,claude-haiku-4-5-20251001,186,347,0.0,eval
solver,claude-haiku-4-5-20251001,219,451,0.0,eval
solver,claude-haiku-4-5-20251001,224,355,0.0,eval
solver,claude-haiku-4-5-20251001,201,359,0.0,eval
solver,claude-haiku-4-5-20251001,200,408,0.0,eval
solver,claude-haiku-4-5-20251001,147,405,0.0,eval
solver,claude-haiku-4-5-20251001,113,256,0.0,eval
solver,claude-haiku-4-5-20251001,124,321,0.0,eval
solver,claude-haiku-4-5-20251001,138,344,0.0,eval
solver,claude-haiku-4-5-20251001,231,394,0.0,eval
solver,claude-haiku-4-5-20251001,138,285,0.0,eval
solver,claude-haiku-4-5-20251001,227,343,0.0,eval
solver,claude-haiku-4-5-20251001,132,402,0.0,eval
solver,claude-haiku-4-5-20251001,126,260,0.0,eval
solver,claude-haiku-4-5-20251001,218,391,0.0,eval
solver,claude-haiku-4-5-20251001,130,322,0.0,eval
solver,claude-haiku-4-5-20251001,196,365,0.0,eval
solver,claude-haiku-4-5-20251001,105,247,0.0,eval
solver,claude-haiku-4-5-20251001,246,407,0.0,eval
solver,claude-haiku-4-5-20251001,170,520,0.0,eval
solver,claude-haiku-4-5-20251001,113,331,0.0,eval
solver,claude-haiku-4-5-20251001,135,373,0.0,eval
solver,claude-haiku-4-5-20251001,138,339,0.0,eval
solver,claude-haiku-4-5-20251001,134,342,0.0,eval
solver,claude-haiku-4-5-20251001,115,271,0.0,eval
solver,claude-haiku-4-5-20251001,201,565,0.0,eval
solver,claude-haiku-4-5-20251001,107,196,0.0,eval
solver,claude-haiku-4-5-20251001,206,413,0.0,eval
solver,claude-haiku-4-5-20251001,148,351,0.0,eval
solver,claude-haiku-4-5-20251001,124,364,0.0,eval
solver,claude-haiku-4-5-20251001,192,399,0.0,eval
solver,claude-haiku-4-5-20251001,129,378,0.0,eval
solver,claude-haiku-4-5-20251001,124,336,0.0,eval
solver,claude-haiku-4-5-20251001,180,351,0.0,eval
solver,claude-haiku-4-5-20251001,246,406,0.0,eval
solver,claude-haiku-4-5-20251001,174,403,0.0,eval
solver,claude-haiku-4-5-20251001,152,367,0.0,eval
solver,claude-haiku-4-5-20251001,124,267,0.0,eval
solver,claude-haiku-4-5-20251001,126,335,0.0,eval
solver,claude-haiku-4-5-20251001,244,618,0.0,eval
solver,claude-haiku-4-5-20251001,127,278,0.0,eval
solver,claude-haiku-4-5-20251001,129,225,0.0,eval
solver,claude-haiku-4-5-20251001,139,298,0.0,eval
solver,claude-haiku-4-5-20251001,138,333,0.0,eval
solver,claude-haiku-4-5-20251001,184,413,0.0,eval
solver,claude-haiku-4-5-20251001,127,244,0.0,eval
solver,claude-haiku-4-5-20251001,150,329,0.0,eval
solver,claude-haiku-4-5-20251001,150,299,0.0,eval
solver,claude-haiku-4-5-20251001,161,373,0.0,eval
solver,claude-haiku-4-5-20251001,103,269,0.0,eval
solver,claude-haiku-4-5-20251001,89,270,0.0,eval
solver,claude-haiku-4-5-20251001,149,343,0.0,eval
solver,claude-haiku-4-5-20251001,164,239,0.0,eval
solver,claude-haiku-4-5-20251001,154,338,0.0,eval
solver,claude-haiku-4-5-20251001,145,351,0.0,eval
solver,claude-haiku-4-5-20251001,147,329,0.0,eval
solver,claude-haiku-4-5-20251001,126,308,0.0,eval
solver,claude-haiku-4-5-20251001,158,366,0.0,eval
solver,claude-haiku-4-5-20251001,207,288,0.0,eval
solver,claude-haiku-4-5-20251001,161,377,0.0,eval
solver,claude-haiku-4-5-20251001,179,401,0.0,eval
