role,model,prompt_tokens,completion_tokens,cost_usd,purpose
solver,gpt-4o-mini-2024-07-18,169,430,0.00028335000000000003,eval
solver,gpt-4o-mini-2024-07-18,145,539,0.00034514999999999996,eval
solver,gpt-4o-mini-2024-07-18,169,917,0.00057555,eval
solver,gpt-4o-mini-2024-07-18,226,458,0.00030869999999999997,eval
solver,gpt-4o-mini-2024-07-18,136,396,0.000258,eval
solver,gpt-4o-mini-2024-07-18,180,459,0.0003024,eval
solver,gpt-4o-mini-2024-07-18,190,1189,0.0007419,eval
solver,gpt-4o-mini-2024-07-18,212,675,0.0004368,eval
solver,gpt-4o-mini-2024-07-18,136,263,0.0001782,eval
solver,gpt-4o-mini-2024-07-18,156,733,0.0004632,eval
solver,gpt-4o-mini-2024-07-18,165,265,0.00018375,eval
solver,gpt-4o-mini-2024-07-18,184,998,0.0006263999999999999,eval
solver,gpt-4o-mini-2024-07-18,153,571,0.00036554999999999997,eval
solver,gpt-4o-mini-2024-07-18,157,838,0.0005263499999999999,eval
solver,gpt-4o-mini-2024-07-18,183,472,0.00031065,eval
solver,gpt-4o-mini-2024-07-18,188,573,0.000372,eval
solver,gpt-4o-mini-2024-07-18,165,551,0.00035535,eval
solver,gpt-4o-mini-2024-07-18,179,246,0.00017444999999999998,eval
solver,gpt-4o-mini-2024-07-18,176,406,0.00027,eval
solver,gpt-4o-mini-2024-07-18,197,386,0.00026115,eval
solver,gpt-4o-mini-2024-07-18,145,526,0.00033735,eval
solver,gpt-4o-mini-2024-07-18,171,699,0.00044504999999999995,eval
solver,gpt-4o-mini-2024-07-18,138,465,0.00029969999999999997,eval
solver,gpt-4o-mini-2024-07-18,130,1477,0.0009057,eval
solver,gpt-4o-mini-2024-07-18,176,644,0.00041279999999999995,eval
solver,gpt-4o-mini-2024-07-18,145,427,0.00027795,eval
solver,gpt-4o-mini-2024-07-18,156,434,0.00028379999999999996,eval
solver,gpt-4o-mini-2024-07-18,146,517,0.00033209999999999994,eval
solver,gpt-4o-mini-2024-07-18,151,702,0.00044385,eval
solver,gpt-4o-mini-2024-07-18,211,353,0.00024344999999999998,eval
solver,gpt-4o-mini-2024-07-18,171,391,0.00026025,eval
solver,gpt-4o-mini-2024-07-18,147,602,0.00038325,eval
solver,gpt-4o-mini-2024-07-18,154,424,0.0002775,eval
solver,gpt-4o-mini-2024-07-18,187,800,0.00050805,eval
solver,gpt-4o-mini-2024-07-18,162,573,0.0003681,eval
solver,gpt-4o-mini-2024-07-18,202,364,0.0002487,eval
solver,gpt-4o-mini-2024-07-18,179,488,0.00031965000000000004,eval
solver,gpt-4o-mini-2024-07-18,218,858,0.0005475,eval
solver,gpt-4o-mini-2024-07-18,217,640,0.00041655,eval
solver,gpt-4o-mini-2024-07-18,191,613,0.00039645,eval
solver,gpt-4o-mini-2024-07-18,205,660,0.00042675,eval
solver,gpt-4o-mini-2024-07-18,158,438,0.0002865,eval
solver,gpt-4o-mini-2024-07-18,130,483,0.00030930000000000004,eval
solver,gpt-4o-mini-2024-07-18,152,534,0.0003432,eval
solver,gpt-4o-mini-2024-07-18,175,679,0.00043365,eval
solver,gpt-4o-mini-2024-07-18,158,474,0.00030809999999999995,eval
solver,gpt-4o-mini-2024-07-18,181,620,0.00039914999999999997,eval
solver,gpt-4o-mini-2024-07-18,147,489,0.00031545,eval
solver,gpt-4o-mini-2024-07-18,178,2048,0.0012555,eval
solver,gpt-4o-mini-2024-07-18,147,751,0.00047264999999999997,eval
solver,gpt-4o-mini-2024-07-18,226,369,0.0002553,eval
solver,gpt-4o-mini-2024-07-18,169,449,0.00029475,eval
solver,gpt-4o-mini-2024-07-18,130,541,0.00034409999999999996,eval
solver,gpt-4o-mini-2024-07-18,236,892,0.0005705999999999999,eval
solver,gpt-4o-mini-2024-07-18,152,269,0.0001842,eval
solver,gpt-4o-mini-2024-07-18,166,869,0.0005463,eval
solver,gpt-4o-mini-2024-07-18,124,522,0.0003318,eval
solver,gpt-4o-mini-2024-07-18,181,382,0.00025634999999999997,eval
solver,gpt-4o-mini-2024-07-18,134,417,0.0002703,eval
solver,gpt-4o-mini-2024-07-18,157,993,0.00061935,eval
solver,gpt-4o-mini-2024-07-18,152,593,0.00037860000000000004,eval
solver,gpt-4o-mini-2024-07-18,210,479,0.0003189,eval
solver,gpt-4o-mini-2024-07-18,192,392,0.000264,eval
solver,gpt-4o-mini-2024-07-18,164,1215,0.0007536,eval
solver,gpt-4o-mini-2024-07-18,132,684,0.0004302,eval
solver,gpt-4o-mini-2024-07-18,144,419,0.000273,eval
solver,gpt-4o-mini-2024-07-18,128,452,0.00029039999999999996,simple:baseline
solver,gpt-4o-mini-2024-07-18,158,483,0.0003135,simple:baseline
solver,gpt-4o-mini-2024-07-18,201,1030,0.00064815,simple:baseline
solver,gpt-4o-mini-2024-07-18,144,504,0.000324,simple:baseline
solver,gpt-4o-mini-2024-07-18,131,720,0.00045165,simple:baseline
solver,gpt-4o-mini-2024-07-18,167,733,0.00046485,simple:baseline
solver,gpt-4o-mini-2024-07-18,228,938,0.000597,simple:baseline
solver,gpt-4o-mini-2024-07-18,175,1217,0.00075645,simple:baseline
solver,gpt-4o-mini-2024-07-18,245,569,0.00037815,simple:baseline
solver,gpt-4o-mini-2024-07-18,164,608,0.00038940000000000003,simple:baseline
solver,gpt-4o-mini-2024-07-18,180,431,0.00028559999999999995,simple:baseline
solver,gpt-4o-mini-2024-07-18,193,411,0.00027555,simple:baseline
solver,gpt-4o-mini-2024-07-18,231,408,0.00027945,simple:baseline
solver,gpt-4o-mini-2024-07-18,144,479,0.000309,simple:baseline
solver,gpt-4o-mini-2024-07-18,190,510,0.0003345,simple:baseline
solver,gpt-4o-mini-2024-07-18,182,262,0.0001845,simple:baseline
solver,gpt-4o-mini-2024-07-18,161,993,0.00061995,simple:baseline
solver,gpt-4o-mini-2024-07-18,181,427,0.00028335,simple:baseline
solver,gpt-4o-mini-2024-07-18,118,697,0.00043589999999999997,simple:baseline
solver,gpt-4o-mini-2024-07-18,157,721,0.00045615,simple:baseline
solver,gpt-4o-mini-2024-07-18,129,556,0.00035295,simple:baseline
solver,gpt-4o-mini-2024-07-18,185,890,0.00056175,simple:baseline
solver,gpt-4o-mini-2024-07-18,145,495,0.00031875,simple:baseline
solver,gpt-4o-mini-2024-07-18,140,182,0.0001302,simple:baseline
solver,gpt-4o-mini-2024-07-18,176,867,0.0005466,simple:baseline
solver,gpt-4o-mini-2024-07-18,200,643,0.0004158,simple:baseline
solver,gpt-4o-mini-2024-07-18,169,425,0.00028035,simple:baseline
solver,gpt-4o-mini-2024-07-18,184,364,0.000246,simple:baseline
solver,gpt-4o-mini-2024-07-18,140,643,0.0004068,simple:baseline
solver,gpt-4o-mini-2024-07-18,196,592,0.00038459999999999997,simple:baseline
solver,gpt-4o-mini-2024-07-18,132,724,0.0004542,simple:baseline
solver,gpt-4o-mini-2024-07-18,166,246,0.0001725,simple:baseline
solver,gpt-4o-mini-2024-07-18,129,388,0.00025215,simple:baseline-val
solver,gpt-4o-mini-2024-07-18,157,487,0.00031575,simple:baseline-val
solver,gpt-4o-mini-2024-07-18,194,636,0.0004107,simple:baseline-val
solver,gpt-4o-mini-2024-07-18,144,476,0.0003072,simple:baseline-val
solver,gpt-4o-mini-2024-07-18,208,701,0.0004518,simple:baseline-val
solver,gpt-4o-mini-2024-07-18,127,540,0.00034305,simple:baseline-val
solver,gpt-4o-mini-2024-07-18,173,300,0.00020595,simple:baseline-val
solver,gpt-4o-mini-2024-07-18,133,412,0.00026714999999999996,simple:baseline-val
solver,gpt-4o-mini-2024-07-18,257,536,0.00036015,simple:baseline-val
solver,gpt-4o-mini-2024-07-18,197,656,0.00042314999999999996,simple:baseline-val
solver,gpt-4o-mini-2024-07-18,148,958,0.000597,simple:baseline-val
solver,gpt-4o-mini-2024-07-18,135,539,0.00034365,simple:baseline-val
solver,gpt-4o-mini-2024-07-18,166,312,0.0002121,simple:baseline-val
solver,gpt-4o-mini-2024-07-18,166,441,0.00028949999999999994,simple:baseline-val
solver,gpt-4o-mini-2024-07-18,214,378,0.00025889999999999995,simple:baseline-val
solver,gpt-4o-mini-2024-07-18,159,296,0.00020145,simple:baseline-val
solver,gpt-4o-mini-2024-07-18,172,441,0.00029039999999999996,simple:baseline-val
solver,gpt-4o-mini-2024-07-18,170,538,0.0003483,simple:baseline-val
optimizer,gpt-4.1-2025-04-14,6924,928,0.021272,simple:rewrite-r1
solver,gpt-4o-mini-2024-07-18,974,467,0.00042629999999999995,simple:round1
solver,gpt-4o-mini-2024-07-18,1004,598,0.0005094,simple:round1
solver,gpt-4o-mini-2024-07-18,990,592,0.0005036999999999999,simple:round1
solver,gpt-4o-mini-2024-07-18,977,836,0.00064815,simple:round1
solver,gpt-4o-mini-2024-07-18,1047,2048,0.0013858499999999999,simple:round1
solver,gpt-4o-mini-2024-07-18,1013,790,0.00062595,simple:round1
solver,gpt-4o-mini-2024-07-18,1074,936,0.0007227000000000001,simple:round1
solver,gpt-4o-mini-2024-07-18,1091,711,0.00059025,simple:round1
solver,gpt-4o-mini-2024-07-18,1021,1247,0.0009013499999999999,simple:round1
solver,gpt-4o-mini-2024-07-18,1026,462,0.0004311,simple:round1
solver,gpt-4o-mini-2024-07-18,1039,576,0.00050145,simple:round1
solver,gpt-4o-mini-2024-07-18,1010,795,0.0006285,simple:round1
solver,gpt-4o-mini-2024-07-18,1077,664,0.0005599499999999999,simple:round1
solver,gpt-4o-mini-2024-07-18,990,402,0.0003897,simple:round1
solver,gpt-4o-mini-2024-07-18,1028,326,0.00034979999999999994,simple:round1
solver,gpt-4o-mini-2024-07-18,1036,556,0.000489,simple:round1
solver,gpt-4o-mini-2024-07-18,1007,1093,0.0008068499999999999,simple:round1
solver,gpt-4o-mini-2024-07-18,964,697,0.0005627999999999999,simple:round1
solver,gpt-4o-mini-2024-07-18,1027,457,0.00042825,simple:round1
solver,gpt-4o-mini-2024-07-18,1003,736,0.00059205,simple:round1
solver,gpt-4o-mini-2024-07-18,975,658,0.00054105,simple:round1
solver,gpt-4o-mini-2024-07-18,991,769,0.00061005,simple:round1
solver,gpt-4o-mini-2024-07-18,1031,931,0.00071325,simple:round1
solver,gpt-4o-mini-2024-07-18,986,193,0.0002637,simple:round1
solver,gpt-4o-mini-2024-07-18,1046,876,0.0006825,simple:round1
solver,gpt-4o-mini-2024-07-18,1015,487,0.00044445,simple:round1
solver,gpt-4o-mini-2024-07-18,1022,1012,0.0007604999999999999,simple:round1
solver,gpt-4o-mini-2024-07-18,1030,546,0.00048209999999999995,simple:round1
solver,gpt-4o-mini-2024-07-18,986,549,0.00047729999999999995,simple:round1
solver,gpt-4o-mini-2024-07-18,978,583,0.0004965,simple:round1
solver,gpt-4o-mini-2024-07-18,1012,339,0.0003552,simple:round1
solver,gpt-4o-mini-2024-07-18,1042,869,0.0006776999999999999,simple:round1
solver,gpt-4o-mini-2024-07-18,975,398,0.00038504999999999995,simple:round1-val
solver,gpt-4o-mini-2024-07-18,1003,617,0.00052065,simple:round1-val
solver,gpt-4o-mini-2024-07-18,1040,656,0.0005495999999999999,simple:round1-val
solver,gpt-4o-mini-2024-07-18,990,477,0.0004347,simple:round1-val
solver,gpt-4o-mini-2024-07-18,973,659,0.0005413499999999999,simple:round1-val
solver,gpt-4o-mini-2024-07-18,1054,791,0.0006326999999999999,simple:round1-val
solver,gpt-4o-mini-2024-07-18,979,474,0.00043125,simple:round1-val
solver,gpt-4o-mini-2024-07-18,1019,444,0.00041925,simple:round1-val
solver,gpt-4o-mini-2024-07-18,1043,709,0.0005818499999999999,simple:round1-val
solver,gpt-4o-mini-2024-07-18,994,1179,0.0008565,simple:round1-val
solver,gpt-4o-mini-2024-07-18,1103,919,0.0007168499999999999,simple:round1-val
solver,gpt-4o-mini-2024-07-18,1012,396,0.0003894,simple:round1-val
solver,gpt-4o-mini-2024-07-18,1012,467,0.000432,simple:round1-val
solver,gpt-4o-mini-2024-07-18,981,538,0.00046995000000000007,simple:round1-val
solver,gpt-4o-mini-2024-07-18,1060,361,0.0003756,simple:round1-val
solver,gpt-4o-mini-2024-07-18,1005,446,0.00041834999999999995,simple:round1-val
solver,gpt-4o-mini-2024-07-18,1018,576,0.0004982999999999999,simple:round1-val
solver,gpt-4o-mini-2024-07-18,1016,485,0.0004434,simple:round1-val
optimizer,gpt-4.1-2025-04-14,8425,1465,0.02857,simple:rewrite-r2
solver,gpt-4o-mini-2024-07-18,1541,418,0.0004819499999999999,simple:round2
solver,gpt-4o-mini-2024-07-18,1511,514,0.0005350499999999999,simple:round2
solver,gpt-4o-mini-2024-07-18,1584,1093,0.0008933999999999999,simple:round2
solver,gpt-4o-mini-2024-07-18,1527,627,0.00060525,simple:round2
solver,gpt-4o-mini-2024-07-18,1514,810,0.0007131,simple:round2
solver,gpt-4o-mini-2024-07-18,1550,674,0.0006369,simple:round2
solver,gpt-4o-mini-2024-07-18,1611,1067,0.0008818499999999999,simple:round2
solver,gpt-4o-mini-2024-07-18,1558,1181,0.0009423,simple:round2
solver,gpt-4o-mini-2024-07-18,1628,775,0.0007092,simple:round2
solver,gpt-4o-mini-2024-07-18,1563,471,0.0005170499999999999,simple:round2
solver,gpt-4o-mini-2024-07-18,1576,543,0.0005622,simple:round2
solver,gpt-4o-mini-2024-07-18,1547,891,0.00076665,simple:round2
solver,gpt-4o-mini-2024-07-18,1614,595,0.0005991,simple:round2
solver,gpt-4o-mini-2024-07-18,1527,404,0.00047144999999999994,simple:round2
solver,gpt-4o-mini-2024-07-18,1565,330,0.00043275,simple:round2
solver,gpt-4o-mini-2024-07-18,1573,566,0.00057555,simple:round2
solver,gpt-4o-mini-2024-07-18,1544,1254,0.000984,simple:round2
solver,gpt-4o-mini-2024-07-18,1564,442,0.0004998,simple:round2
solver,gpt-4o-mini-2024-07-18,1501,697,0.00064335,simple:round2
solver,gpt-4o-mini-2024-07-18,1540,682,0.0006402000000000001,simple:round2
solver,gpt-4o-mini-2024-07-18,1512,621,0.0005993999999999999,simple:round2
solver,gpt-4o-mini-2024-07-18,1568,913,0.000783,simple:round2
solver,gpt-4o-mini-2024-07-18,1528,873,0.000753,simple:round2
solver,gpt-4o-mini-2024-07-18,1523,230,0.00036645,simple:round2
solver,gpt-4o-mini-2024-07-18,1583,637,0.00061965,simple:round2
solver,gpt-4o-mini-2024-07-18,1559,946,0.00080145,simple:round2
solver,gpt-4o-mini-2024-07-18,1567,527,0.00055125,simple:round2
solver,gpt-4o-mini-2024-07-18,1552,522,0.000546,simple:round2
solver,gpt-4o-mini-2024-07-18,1523,563,0.00056625,simple:round2
solver,gpt-4o-mini-2024-07-18,1549,384,0.00046275,simple:round2
solver,gpt-4o-mini-2024-07-18,1515,718,0.00065805,simple:round2
solver,gpt-4o-mini-2024-07-18,1579,871,0.0007594500000000001,simple:round2
solver,gpt-4o-mini-2024-07-18,1512,390,0.0004608,simple:round2-val
solver,gpt-4o-mini-2024-07-18,1577,659,0.0006319499999999999,simple:round2-val
solver,gpt-4o-mini-2024-07-18,1540,821,0.0007235999999999999,simple:round2-val
