role,model,prompt_tokens,completion_tokens,cost_usd,purpose
solver,gpt-4o-mini-2024-07-18,411,93,0.00011745,eval
solver,gpt-4o-mini-2024-07-18,409,117,0.00013155,eval
solver,gpt-4o-mini-2024-07-18,415,128,0.00013905000000000002,eval
solver,gpt-4o-mini-2024-07-18,408,163,0.000159,eval
solver,gpt-4o-mini-2024-07-18,411,173,0.00016544999999999998,eval
solver,gpt-4o-mini-2024-07-18,407,165,0.00016005000000000001,eval
solver,gpt-4o-mini-2024-07-18,403,107,0.00012465,eval
solver,gpt-4o-mini-2024-07-18,404,160,0.00015659999999999998,eval
solver,gpt-4o-mini-2024-07-18,408,133,0.000141,eval
solver,gpt-4o-mini-2024-07-18,403,133,0.00014025,eval
solver,gpt-4o-mini-2024-07-18,412,128,0.00013859999999999998,eval
solver,gpt-4o-mini-2024-07-18,419,127,0.00013905000000000002,eval
solver,gpt-4o-mini-2024-07-18,413,118,0.00013275,eval
solver,gpt-4o-mini-2024-07-18,406,112,0.0001281,eval
solver,gpt-4o-mini-2024-07-18,406,129,0.00013829999999999997,eval
solver,gpt-4o-mini-2024-07-18,403,127,0.00013665000000000001,eval
solver,gpt-4o-mini-2024-07-18,421,91,0.00011775,eval
solver,gpt-4o-mini-2024-07-18,403,138,0.00014325,eval
solver,gpt-4o-mini-2024-07-18,409,77,0.00010754999999999999,eval
solver,gpt-4o-mini-2024-07-18,408,157,0.0001554,eval
solver,gpt-4o-mini-2024-07-18,410,140,0.0001455,eval
solver,gpt-4o-mini-2024-07-18,410,102,0.0001227,eval
solver,gpt-4o-mini-2024-07-18,409,112,0.00012855,eval
solver,gpt-4o-mini-2024-07-18,413,127,0.00013815,eval
solver,gpt-4o-mini-2024-07-18,406,92,0.00011609999999999999,eval
solver,gpt-4o-mini-2024-07-18,408,82,0.00011039999999999999,eval
solver,gpt-4o-mini-2024-07-18,417,101,0.00012314999999999998,eval
solver,gpt-4o-mini-2024-07-18,408,158,0.000156,eval
solver,gpt-4o-mini-2024-07-18,414,153,0.00015389999999999997,eval
solver,gpt-4o-mini-2024-07-18,411,177,0.00016785,eval
solver,gpt-4o-mini-2024-07-18,414,141,0.0001467,eval
solver,gpt-4o-mini-2024-07-18,410,82,0.0001107,eval
solver,gpt-4o-mini-2024-07-18,407,141,0.00014565,eval
solver,gpt-4o-mini-2024-07-18,408,71,0.0001038,eval
solver,gpt-4o-mini-2024-07-18,406,156,0.0001545,eval
solver,gpt-4o-mini-2024-07-18,420,169,0.00016439999999999998,eval
solver,gpt-4o-mini-2024-07-18,409,115,0.00013035,eval
solver,gpt-4o-mini-2024-07-18,405,80,0.00010875,eval
solver,gpt-4o-mini-2024-07-18,414,154,0.0001545,eval
solver,gpt-4o-mini-2024-07-18,420,90,0.000117,eval
solver,gpt-4o-mini-2024-07-18,414,82,0.00011129999999999998,eval
solver,gpt-4o-mini-2024-07-18,422,85,0.0001143,eval
solver,gpt-4o-mini-2024-07-18,413,149,0.00015135,eval
solver,gpt-4o-mini-2024-07-18,408,147,0.0001494,eval
solver,gpt-4o-mini-2024-07-18,410,80,0.0001095,eval
solver,gpt-4o-mini-2024-07-18,405,72,0.00010394999999999999,eval
solver,gpt-4o-mini-2024-07-18,416,151,0.000153,eval
solver,gpt-4o-mini-2024-07-18,412,105,0.0001248,eval
solver,gpt-4o-mini-2024-07-18,403,83,0.00011025,eval
solver,gpt-4o-mini-2024-07-18,435,199,0.00018465,eval
solver,gpt-4o-mini-2024-07-18,412,182,0.000171,eval
solver,gpt-4o-mini-2024-07-18,422,180,0.00017130000000000002,eval
solver,gpt-4o-mini-2024-07-18,405,168,0.00016155000000000002,eval
solver,gpt-4o-mini-2024-07-18,416,168,0.00016319999999999998,eval
solver,gpt-4o-mini-2024-07-18,416,185,0.0001734,eval
solver,gpt-4o-mini-2024-07-18,408,84,0.00011159999999999999,eval
solver,gpt-4o-mini-2024-07-18,413,192,0.00017714999999999997,eval
solver,gpt-4o-mini-2024-07-18,408,231,0.00019979999999999998,eval
solver,gpt-4o-mini-2024-07-18,424,178,0.00017039999999999997,eval
solver,gpt-4o-mini-2024-07-18,415,78,0.00010905,simple:baseline
solver,gpt-4o-mini-2024-07-18,408,89,0.0001146,simple:baseline
solver,gpt-4o-mini-2024-07-18,413,87,0.00011415,simple:baseline
solver,gpt-4o-mini-2024-07-18,420,124,0.00013739999999999998,simple:baseline
solver,gpt-4o-mini-2024-07-18,407,158,0.00015585,simple:baseline
solver,gpt-4o-mini-2024-07-18,409,73,0.00010515,simple:baseline
solver,gpt-4o-mini-2024-07-18,405,93,0.00011655,simple:baseline
solver,gpt-4o-mini-2024-07-18,414,112,0.0001293,simple:baseline
solver,gpt-4o-mini-2024-07-18,412,116,0.00013139999999999997,simple:baseline
solver,gpt-4o-mini-2024-07-18,419,158,0.00015764999999999998,simple:baseline
solver,gpt-4o-mini-2024-07-18,425,120,0.00013575,simple:baseline
solver,gpt-4o-mini-2024-07-18,406,69,0.00010229999999999999,simple:baseline
solver,gpt-4o-mini-2024-07-18,410,77,0.00010769999999999999,simple:baseline
solver,gpt-4o-mini-2024-07-18,407,70,0.00010305,simple:baseline
solver,gpt-4o-mini-2024-07-18,438,98,0.0001245,simple:baseline
solver,gpt-4o-mini-2024-07-18,407,218,0.00019184999999999997,simple:baseline
solver,gpt-4o-mini-2024-07-18,410,158,0.0001563,simple:baseline
solver,gpt-4o-mini-2024-07-18,413,149,0.00015135,simple:baseline
solver,gpt-4o-mini-2024-07-18,413,121,0.00013455,simple:baseline
solver,gpt-4o-mini-2024-07-18,414,128,0.0001389,simple:baseline
solver,gpt-4o-mini-2024-07-18,418,71,0.0001053,simple:baseline
solver,gpt-4o-mini-2024-07-18,408,157,0.0001554,simple:baseline
solver,gpt-4o-mini-2024-07-18,405,89,0.00011415000000000001,simple:baseline
solver,gpt-4o-mini-2024-07-18,418,118,0.0001335,simple:baseline
solver,gpt-4o-mini-2024-07-18,420,178,0.0001698,simple:baseline
solver,gpt-4o-mini-2024-07-18,413,221,0.00019454999999999999,simple:baseline
solver,gpt-4o-mini-2024-07-18,435,133,0.00014505,simple:baseline
solver,gpt-4o-mini-2024-07-18,421,191,0.00017775,simple:baseline
solver,gpt-4o-mini-2024-07-18,412,173,0.0001656,simple:baseline
solver,gpt-4o-mini-2024-07-18,409,82,0.00011054999999999998,simple:baseline
solver,gpt-4o-mini-2024-07-18,413,156,0.00015554999999999999,simple:baseline
solver,gpt-4o-mini-2024-07-18,415,117,0.00013245,simple:baseline
solver,gpt-4o-mini-2024-07-18,436,136,0.000147,simple:baseline
solver,gpt-4o-mini-2024-07-18,413,80,0.00010994999999999999,simple:baseline
solver,gpt-4o-mini-2024-07-18,412,94,0.00011819999999999999,simple:baseline
solver,gpt-4o-mini-2024-07-18,420,198,0.0001818,simple:baseline
solver,gpt-4o-mini-2024-07-18,417,133,0.00014235,simple:baseline
solver,gpt-4o-mini-2024-07-18,405,74,0.00010515000000000001,simple:baseline
solver,gpt-4o-mini-2024-07-18,417,122,0.00013575,simple:baseline
solver,gpt-4o-mini-2024-07-18,414,148,0.00015089999999999998,simple:baseline
optimizer,gpt-4.1-2025-04-14,3084,725,0.011968,simple:rewrite
solver,gpt-4o-mini-2024-07-18,765,89,0.00016815,simple:current
solver,gpt-4o-mini-2024-07-18,780,97,0.00017519999999999998,simple:current
solver,gpt-4o-mini-2024-07-18,775,77,0.00016245,simple:current
solver,gpt-4o-mini-2024-07-18,769,101,0.00017595,simple:current
solver,gpt-4o-mini-2024-07-18,767,129,0.00019245,simple:current
solver,gpt-4o-mini-2024-07-18,768,105,0.0001782,simple:current
solver,gpt-4o-mini-2024-07-18,773,98,0.00017475,simple:current
solver,gpt-4o-mini-2024-07-18,774,138,0.00019889999999999998,simple:current
solver,gpt-4o-mini-2024-07-18,766,64,0.00015329999999999999,simple:current
solver,gpt-4o-mini-2024-07-18,772,86,0.0001674,simple:current
solver,gpt-4o-mini-2024-07-18,785,109,0.00018314999999999998,simple:current
