role,model,prompt_tokens,completion_tokens,cost_usd,purpose
solver,gpt-4o-mini-2024-07-18,131,263,0.00017744999999999998,eval
solver,gpt-4o-mini-2024-07-18,107,366,0.00023565,eval
solver,gpt-4o-mini-2024-07-18,188,402,0.0002694,eval
solver,gpt-4o-mini-2024-07-18,98,4,1.71e-05,eval
solver,gpt-4o-mini-2024-07-18,131,818,0.00051045,eval
solver,gpt-4o-mini-2024-07-18,142,402,0.0002625,eval
solver,gpt-4o-mini-2024-07-18,174,546,0.0003537,eval
solver,gpt-4o-mini-2024-07-18,98,4,1.71e-05,eval
solver,gpt-4o-mini-2024-07-18,152,1004,0.0006251999999999999,eval
solver,gpt-4o-mini-2024-07-18,127,4,2.145e-05,eval
solver,gpt-4o-mini-2024-07-18,118,671,0.00042029999999999997,eval
solver,gpt-4o-mini-2024-07-18,146,739,0.0004653,eval
solver,gpt-4o-mini-2024-07-18,162,545,0.00035130000000000003,simple:baseline
solver,gpt-4o-mini-2024-07-18,145,181,0.00013035,simple:baseline
solver,gpt-4o-mini-2024-07-18,91,374,0.00023805,simple:baseline
solver,gpt-4o-mini-2024-07-18,126,525,0.0003339,simple:baseline
solver,gpt-4o-mini-2024-07-18,96,4,1.68e-05,simple:baseline
solver,gpt-4o-mini-2024-07-18,107,361,0.00023265000000000002,simple:baseline
solver,gpt-4o-mini-2024-07-18,109,387,0.00024855,simple:baseline
solver,gpt-4o-mini-2024-07-18,92,722,0.000447,simple:baseline
solver,gpt-4o-mini-2024-07-18,164,250,0.0001746,simple:baseline
solver,gpt-4o-mini-2024-07-18,86,290,0.00018690000000000002,simple:baseline
solver,gpt-4o-mini-2024-07-18,107,551,0.00034665,simple:baseline
solver,gpt-4o-mini-2024-07-18,190,860,0.0005445,simple:baseline
solver,gpt-4o-mini-2024-07-18,137,1016,0.00063015,simple:baseline
solver,gpt-4o-mini-2024-07-18,114,385,0.0002481,simple:baseline-val
solver,gpt-4o-mini-2024-07-18,108,427,0.00027239999999999995,simple:baseline-val
solver,gpt-4o-mini-2024-07-18,131,4,2.2049999999999997e-05,simple:baseline-val
solver,gpt-4o-mini-2024-07-18,141,256,0.00017475,simple:baseline-val
solver,gpt-4o-mini-2024-07-18,147,716,0.00045165,simple:baseline-val
solver,gpt-4o-mini-2024-07-18,120,334,0.0002184,simple:baseline-val
solver,gpt-4o-mini-2024-07-18,119,644,0.00040425,simple:baseline-val
optimizer,gpt-5-2025-08-07,4116,3871,0.043855,simple:rewrite-r1
solver,gpt-4o-mini-2024-07-18,763,4,0.00011685000000000001,simple:round1
solver,gpt-4o-mini-2024-07-18,709,4,0.00010875,simple:round1
solver,gpt-4o-mini-2024-07-18,710,4,0.0001089,simple:round1
solver,gpt-4o-mini-2024-07-18,714,4,0.0001095,simple:round1
solver,gpt-4o-mini-2024-07-18,725,4,0.00011115,simple:round1
solver,gpt-4o-mini-2024-07-18,744,641,0.0004961999999999999,simple:round1
solver,gpt-4o-mini-2024-07-18,725,4,0.00011115,simple:round1
solver,gpt-4o-mini-2024-07-18,780,521,0.0004296,simple:round1
solver,gpt-4o-mini-2024-07-18,727,428,0.00036585000000000003,simple:round1
solver,gpt-4o-mini-2024-07-18,782,259,0.0002727,simple:round1
solver,gpt-4o-mini-2024-07-18,704,281,0.0002742,simple:round1
solver,gpt-4o-mini-2024-07-18,755,742,0.00055845,simple:round1
solver,gpt-4o-mini-2024-07-18,808,838,0.000624,simple:round1
solver,gpt-4o-mini-2024-07-18,732,191,0.00022439999999999998,simple:round1-val
solver,gpt-4o-mini-2024-07-18,726,248,0.0002577,simple:round1-val
solver,gpt-4o-mini-2024-07-18,749,4,0.00011475,simple:round1-val
