role,model,prompt_tokens,completion_tokens,cost_usd,purpose
solver,gpt-4o-mini-2024-07-18,131,262,0.00017685,eval
solver,gpt-4o-mini-2024-07-18,107,473,0.00029985,eval
solver,gpt-4o-mini-2024-07-18,188,410,0.0002742,eval
solver,gpt-4o-mini-2024-07-18,98,4,1.71e-05,eval
solver,gpt-4o-mini-2024-07-18,131,768,0.00048044999999999994,eval
solver,gpt-4o-mini-2024-07-18,142,402,0.0002625,eval
solver,gpt-4o-mini-2024-07-18,174,612,0.0003933,eval
solver,gpt-4o-mini-2024-07-18,98,4,1.71e-05,eval
solver,gpt-4o-mini-2024-07-18,152,879,0.0005501999999999999,eval
solver,gpt-4o-mini-2024-07-18,127,4,2.145e-05,eval
solver,gpt-4o-mini-2024-07-18,118,542,0.0003429,eval
solver,gpt-4o-mini-2024-07-18,146,653,0.00041369999999999997,eval
solver,gpt-4o-mini-2024-07-18,115,440,0.00028125,eval
solver,gpt-4o-mini-2024-07-18,119,713,0.00044565,eval
solver,gpt-4o-mini-2024-07-18,145,221,0.00015434999999999998,eval
solver,gpt-4o-mini-2024-07-18,141,228,0.00015795,eval
solver,gpt-4o-mini-2024-07-18,150,565,0.0003615,eval
solver,gpt-4o-mini-2024-07-18,138,314,0.0002091,eval
solver,gpt-4o-mini-2024-07-18,127,462,0.00029625,eval
solver,gpt-4o-mini-2024-07-18,159,280,0.00019185,eval
solver,gpt-4o-mini-2024-07-18,92,713,0.0004416,eval
solver,gpt-4o-mini-2024-07-18,107,554,0.00034845,eval
solver,gpt-4o-mini-2024-07-18,133,638,0.00040275,eval
solver,gpt-4o-mini-2024-07-18,138,333,0.00022049999999999997,eval
solver,gpt-4o-mini-2024-07-18,100,386,0.0002466,eval
solver,gpt-4o-mini-2024-07-18,107,300,0.00019605000000000002,eval
solver,gpt-4o-mini-2024-07-18,118,397,0.0002559,eval
solver,gpt-4o-mini-2024-07-18,113,589,0.00037035,eval
solver,gpt-4o-mini-2024-07-18,108,283,0.00018599999999999997,eval
solver,gpt-4o-mini-2024-07-18,173,292,0.00020114999999999998,eval
solver,gpt-4o-mini-2024-07-18,109,456,0.00028995,eval
solver,gpt-4o-mini-2024-07-18,133,300,0.00019994999999999998,eval
solver,gpt-4o-mini-2024-07-18,116,376,0.000243,eval
solver,gpt-4o-mini-2024-07-18,141,233,0.00016094999999999998,eval
solver,gpt-4o-mini-2024-07-18,124,558,0.0003534,eval
solver,gpt-4o-mini-2024-07-18,149,779,0.00048975,eval
solver,gpt-4o-mini-2024-07-18,164,230,0.0001626,eval
solver,gpt-4o-mini-2024-07-18,153,229,0.00016035,eval
solver,gpt-4o-mini-2024-07-18,179,577,0.00037305,eval
solver,gpt-4o-mini-2024-07-18,180,923,0.0005807999999999999,eval
solver,gpt-4o-mini-2024-07-18,120,334,0.0002184,eval
solver,gpt-4o-mini-2024-07-18,167,500,0.00032505,eval
solver,gpt-4o-mini-2024-07-18,137,426,0.00027614999999999996,eval
solver,gpt-4o-mini-2024-07-18,92,696,0.00043139999999999997,eval
solver,gpt-4o-mini-2024-07-18,114,377,0.00024329999999999998,eval
solver,gpt-4o-mini-2024-07-18,120,366,0.0002376,eval
solver,gpt-4o-mini-2024-07-18,143,532,0.00034064999999999996,eval
solver,gpt-4o-mini-2024-07-18,109,332,0.00021554999999999998,eval
solver,gpt-4o-mini-2024-07-18,188,264,0.00018659999999999998,eval
solver,gpt-4o-mini-2024-07-18,109,555,0.00034935,eval
solver,gpt-4o-mini-2024-07-18,131,310,0.00020565,eval
solver,gpt-4o-mini-2024-07-18,92,4,1.62e-05,eval
solver,gpt-4o-mini-2024-07-18,140,2048,0.0012498,eval
solver,gpt-4o-mini-2024-07-18,198,612,0.0003969,eval
solver,gpt-4o-mini-2024-07-18,114,224,0.0001515,eval
solver,gpt-4o-mini-2024-07-18,86,292,0.0001881,eval
solver,gpt-4o-mini-2024-07-18,143,177,0.00012765,eval
solver,gpt-4o-mini-2024-07-18,96,4,1.68e-05,eval
solver,gpt-4o-mini-2024-07-18,128,835,0.0005202000000000001,eval
solver,gpt-4o-mini-2024-07-18,114,507,0.0003213,eval
solver,gpt-4o-mini-2024-07-18,119,909,0.00056325,eval
solver,gpt-4o-mini-2024-07-18,154,4,2.5499999999999996e-05,eval
solver,gpt-4o-mini-2024-07-18,172,342,0.000231,eval
solver,gpt-4o-mini-2024-07-18,126,933,0.0005786999999999999,eval
solver,gpt-4o-mini-2024-07-18,106,387,0.0002481,eval
solver,gpt-4o-mini-2024-07-18,94,488,0.00030690000000000003,eval
solver,gpt-4o-mini-2024-07-18,134,189,0.0001335,simple:baseline
solver,gpt-4o-mini-2024-07-18,176,314,0.00021480000000000002,simple:baseline
solver,gpt-4o-mini-2024-07-18,106,407,0.0002601,simple:baseline
solver,gpt-4o-mini-2024-07-18,128,403,0.000261,simple:baseline
solver,gpt-4o-mini-2024-07-18,155,4,2.565e-05,simple:baseline
solver,gpt-4o-mini-2024-07-18,106,338,0.00021869999999999998,simple:baseline
solver,gpt-4o-mini-2024-07-18,135,4,2.2649999999999998e-05,simple:baseline
solver,gpt-4o-mini-2024-07-18,193,217,0.00015914999999999997,simple:baseline
solver,gpt-4o-mini-2024-07-18,119,656,0.00041145,simple:baseline
solver,gpt-4o-mini-2024-07-18,147,751,0.00047264999999999997,simple:baseline
solver,gpt-4o-mini-2024-07-18,158,603,0.0003855,simple:baseline
solver,gpt-4o-mini-2024-07-18,91,398,0.00025245,simple:baseline
solver,gpt-4o-mini-2024-07-18,146,4,2.4299999999999998e-05,simple:baseline
solver,gpt-4o-mini-2024-07-18,94,544,0.0003405,simple:baseline
solver,gpt-4o-mini-2024-07-18,143,4,2.3849999999999997e-05,simple:baseline
solver,gpt-4o-mini-2024-07-18,91,501,0.00031424999999999997,simple:baseline
solver,gpt-4o-mini-2024-07-18,170,494,0.00032189999999999996,simple:baseline
solver,gpt-4o-mini-2024-07-18,128,4,2.1599999999999996e-05,simple:baseline
solver,gpt-4o-mini-2024-07-18,107,548,0.00034485,simple:baseline
solver,gpt-4o-mini-2024-07-18,121,4,2.0549999999999998e-05,simple:baseline
solver,gpt-4o-mini-2024-07-18,123,1007,0.00062265,simple:baseline
solver,gpt-4o-mini-2024-07-18,156,496,0.00032099999999999994,simple:baseline
solver,gpt-4o-mini-2024-07-18,110,677,0.0004227,simple:baseline
solver,gpt-4o-mini-2024-07-18,102,316,0.0002049,simple:baseline
solver,gpt-4o-mini-2024-07-18,137,1049,0.0006499499999999999,simple:baseline
solver,gpt-4o-mini-2024-07-18,93,777,0.00048015,simple:baseline
solver,gpt-4o-mini-2024-07-18,163,989,0.00061785,simple:baseline
solver,gpt-4o-mini-2024-07-18,152,482,0.000312,simple:baseline
solver,gpt-4o-mini-2024-07-18,128,4,2.1599999999999996e-05,simple:baseline
solver,gpt-4o-mini-2024-07-18,129,626,0.00039495,simple:baseline
solver,gpt-4o-mini-2024-07-18,159,598,0.00038265000000000006,simple:baseline
solver,gpt-4o-mini-2024-07-18,207,526,0.00034665,simple:baseline
solver,gpt-4o-mini-2024-07-18,106,4,1.8299999999999998e-05,simple:baseline-val
solver,gpt-4o-mini-2024-07-18,120,434,0.0002784,simple:baseline-val
solver,gpt-4o-mini-2024-07-18,162,591,0.0003789,simple:baseline-val
solver,gpt-4o-mini-2024-07-18,138,801,0.0005013,simple:baseline-val
solver,gpt-4o-mini-2024-07-18,142,337,0.0002235,simple:baseline-val
solver,gpt-4o-mini-2024-07-18,144,4,2.3999999999999997e-05,simple:baseline-val
solver,gpt-4o-mini-2024-07-18,126,712,0.00044609999999999995,simple:baseline-val
solver,gpt-4o-mini-2024-07-18,132,479,0.0003072,simple:baseline-val
solver,gpt-4o-mini-2024-07-18,190,845,0.0005355,simple:baseline-val
solver,gpt-4o-mini-2024-07-18,89,556,0.00034695,simple:baseline-val
solver,gpt-4o-mini-2024-07-18,90,323,0.00020729999999999997,simple:baseline-val
solver,gpt-4o-mini-2024-07-18,102,121,8.79e-05,simple:baseline-val
solver,gpt-4o-mini-2024-07-18,97,491,0.00030914999999999995,simple:baseline-val
solver,gpt-4o-mini-2024-07-18,80,509,0.00031739999999999996,simple:baseline-val
solver,gpt-4o-mini-2024-07-18,95,4,1.6649999999999998e-05,simple:baseline-val
solver,gpt-4o-mini-2024-07-18,131,4,2.2049999999999997e-05,simple:baseline-val
solver,gpt-4o-mini-2024-07-18,119,339,0.00022125,simple:baseline-val
solver,gpt-4o-mini-2024-07-18,219,568,0.00037365000000000006,simple:baseline-val
optimizer,gpt-4.1-2025-04-14,6190,590,0.0171,simple:rewrite-r1
solver,gpt-4o-mini-2024-07-18,722,365,0.0003273,simple:round1
solver,gpt-4o-mini-2024-07-18,652,471,0.0003804,simple:round1
solver,gpt-4o-mini-2024-07-18,680,597,0.00046019999999999996,simple:round1
solver,gpt-4o-mini-2024-07-18,674,593,0.0004569,simple:round1
solver,gpt-4o-mini-2024-07-18,652,483,0.00038760000000000004,simple:round1
solver,gpt-4o-mini-2024-07-18,701,455,0.00037815,simple:round1
solver,gpt-4o-mini-2024-07-18,693,924,0.00065835,simple:round1
solver,gpt-4o-mini-2024-07-18,665,768,0.0005605499999999999,simple:round1
solver,gpt-4o-mini-2024-07-18,681,417,0.00035234999999999997,simple:round1
solver,gpt-4o-mini-2024-07-18,739,638,0.00049365,simple:round1
solver,gpt-4o-mini-2024-07-18,637,409,0.00034094999999999997,simple:round1
solver,gpt-4o-mini-2024-07-18,704,832,0.0006048,simple:round1
solver,gpt-4o-mini-2024-07-18,640,794,0.0005723999999999999,simple:round1
solver,gpt-4o-mini-2024-07-18,692,541,0.00042839999999999995,simple:round1
solver,gpt-4o-mini-2024-07-18,716,740,0.0005514,simple:round1
solver,gpt-4o-mini-2024-07-18,689,370,0.00032535,simple:round1
solver,gpt-4o-mini-2024-07-18,637,633,0.00047535000000000003,simple:round1
solver,gpt-4o-mini-2024-07-18,674,352,0.00031229999999999995,simple:round1
solver,gpt-4o-mini-2024-07-18,653,774,0.00056235,simple:round1
solver,gpt-4o-mini-2024-07-18,669,1231,0.0008389500000000001,simple:round1
solver,gpt-4o-mini-2024-07-18,667,436,0.00036165,simple:round1
solver,gpt-4o-mini-2024-07-18,656,776,0.000564,simple:round1
solver,gpt-4o-mini-2024-07-18,702,666,0.0005049,simple:round1
solver,gpt-4o-mini-2024-07-18,648,626,0.00047279999999999995,simple:round1
solver,gpt-4o-mini-2024-07-18,639,816,0.00058545,simple:round1
solver,gpt-4o-mini-2024-07-18,683,1209,0.00082785,simple:round1
solver,gpt-4o-mini-2024-07-18,675,795,0.00057825,simple:round1
solver,gpt-4o-mini-2024-07-18,698,561,0.00044129999999999994,simple:round1
solver,gpt-4o-mini-2024-07-18,709,1149,0.00079575,simple:round1
solver,gpt-4o-mini-2024-07-18,674,444,0.0003675,simple:round1
solver,gpt-4o-mini-2024-07-18,705,660,0.00050175,simple:round1
solver,gpt-4o-mini-2024-07-18,753,983,0.00070275,simple:round1
solver,gpt-4o-mini-2024-07-18,652,388,0.00033059999999999996,simple:round1-val
solver,gpt-4o-mini-2024-07-18,708,812,0.0005934,simple:round1-val
solver,gpt-4o-mini-2024-07-18,684,975,0.0006876,simple:round1-val
solver,gpt-4o-mini-2024-07-18,666,516,0.0004094999999999999,simple:round1-val
solver,gpt-4o-mini-2024-07-18,688,462,0.0003804,simple:round1-val
solver,gpt-4o-mini-2024-07-18,690,337,0.0003057,simple:round1-val
solver,gpt-4o-mini-2024-07-18,678,606,0.0004653,simple:round1-val
solver,gpt-4o-mini-2024-07-18,672,1061,0.0007373999999999999,simple:round1-val
solver,gpt-4o-mini-2024-07-18,736,900,0.0006504,simple:round1-val
solver,gpt-4o-mini-2024-07-18,635,667,0.00049545,simple:round1-val
solver,gpt-4o-mini-2024-07-18,636,413,0.0003432,simple:round1-val
solver,gpt-4o-mini-2024-07-18,648,204,0.0002196,simple:round1-val
solver,gpt-4o-mini-2024-07-18,643,531,0.00041505,simple:round1-val
solver,gpt-4o-mini-2024-07-18,626,678,0.0005007,simple:round1-val
solver,gpt-4o-mini-2024-07-18,665,518,0.00041055000000000003,simple:round1-val
solver,gpt-4o-mini-2024-07-18,765,652,0.00050595,simple:round1-val
solver,gpt-4o-mini-2024-07-18,641,486,0.00038774999999999997,simple:round1-val
solver,gpt-4o-mini-2024-07-18,677,492,0.00039675,simple:round1-val
optimizer,gpt-4.1-2025-04-14,9008,823,0.0246,simple:rewrite-r2
solver,gpt-4o-mini-2024-07-18,955,365,0.00036225,simple:round2
solver,gpt-4o-mini-2024-07-18,913,485,0.00042794999999999997,simple:round2
solver,gpt-4o-mini-2024-07-18,885,513,0.00044055,simple:round2
solver,gpt-4o-mini-2024-07-18,907,511,0.00044265,simple:round2
solver,gpt-4o-mini-2024-07-18,885,512,0.00043995,simple:round2
solver,gpt-4o-mini-2024-07-18,926,883,0.0006686999999999999,simple:round2
solver,gpt-4o-mini-2024-07-18,934,502,0.00044129999999999994,simple:round2
solver,gpt-4o-mini-2024-07-18,914,410,0.00038310000000000004,simple:round2
solver,gpt-4o-mini-2024-07-18,898,715,0.0005637000000000001,simple:round2
solver,gpt-4o-mini-2024-07-18,972,633,0.0005256,simple:round2
solver,gpt-4o-mini-2024-07-18,870,390,0.0003645,simple:round2
solver,gpt-4o-mini-2024-07-18,937,857,0.0006547499999999998,simple:round2
solver,gpt-4o-mini-2024-07-18,873,680,0.0005389500000000001,simple:round2
solver,gpt-4o-mini-2024-07-18,949,766,0.00060195,simple:round2
solver,gpt-4o-mini-2024-07-18,925,608,0.00050355,simple:round2
solver,gpt-4o-mini-2024-07-18,870,535,0.0004515,simple:round2
solver,gpt-4o-mini-2024-07-18,922,480,0.00042629999999999995,simple:round2
solver,gpt-4o-mini-2024-07-18,907,378,0.00036284999999999996,simple:round2
solver,gpt-4o-mini-2024-07-18,886,808,0.0006176999999999999,simple:round2
solver,gpt-4o-mini-2024-07-18,902,1158,0.0008301,simple:round2
solver,gpt-4o-mini-2024-07-18,900,433,0.0003948,simple:round2
solver,gpt-4o-mini-2024-07-18,889,1010,0.0007393500000000001,simple:round2
solver,gpt-4o-mini-2024-07-18,935,674,0.0005446499999999999,simple:round2
solver,gpt-4o-mini-2024-07-18,872,907,0.0006749999999999999,simple:round2
solver,gpt-4o-mini-2024-07-18,881,643,0.0005179500000000001,simple:round2
solver,gpt-4o-mini-2024-07-18,908,798,0.000615,simple:round2
solver,gpt-4o-mini-2024-07-18,942,1263,0.0008990999999999999,simple:round2
solver,gpt-4o-mini-2024-07-18,916,1333,0.0009371999999999999,simple:round2
solver,gpt-4o-mini-2024-07-18,931,562,0.00047685,simple:round2
solver,gpt-4o-mini-2024-07-18,907,393,0.00037184999999999996,simple:round2
solver,gpt-4o-mini-2024-07-18,938,713,0.0005685,simple:round2
solver,gpt-4o-mini-2024-07-18,986,1009,0.0007532999999999999,simple:round2
solver,gpt-4o-mini-2024-07-18,885,513,0.00044055,simple:round2-val
solver,gpt-4o-mini-2024-07-18,941,889,0.00067455,simple:round2-val
solver,gpt-4o-mini-2024-07-18,899,425,0.00038985,simple:round2-val
solver,gpt-4o-mini-2024-07-18,921,489,0.00043154999999999995,simple:round2-val
solver,gpt-4o-mini-2024-07-18,917,980,0.0007255499999999999,simple:round2-val
solver,gpt-4o-mini-2024-07-18,923,422,0.00039164999999999995,simple:round2-val
solver,gpt-4o-mini-2024-07-18,911,463,0.00041445000000000007,simple:round2-val
solver,gpt-4o-mini-2024-07-18,905,792,0.0006109500000000001,simple:round2-val
solver,gpt-4o-mini-2024-07-18,869,445,0.00039735000000000004,simple:round2-val
solver,gpt-4o-mini-2024-07-18,969,957,0.00071955,simple:round2-val
solver,gpt-4o-mini-2024-07-18,868,643,0.000516,simple:round2-val
solver,gpt-4o-mini-2024-07-18,881,204,0.00025455000000000003,simple:round2-val
solver,gpt-4o-mini-2024-07-18,876,529,0.00044879999999999996,simple:round2-val
solver,gpt-4o-mini-2024-07-18,859,707,0.0005530499999999999,simple:round2-val
