role,model,prompt_tokens,completion_tokens,cost_usd,purpose
solver,gpt-4.1-mini-2025-04-14,230,16,0.0001176,eval
solver,gpt-4.1-mini-2025-04-14,244,42,0.00016480000000000002,eval
solver,gpt-4.1-mini-2025-04-14,248,244,0.0004896,eval
solver,gpt-4.1-mini-2025-04-14,229,75,0.00021160000000000002,eval
solver,gpt-4.1-mini-2025-04-14,221,228,0.00045320000000000007,eval
solver,gpt-4.1-mini-2025-04-14,234,329,0.00062,eval
solver,gpt-4.1-mini-2025-04-14,421,266,0.000594,eval
solver,gpt-4.1-mini-2025-04-14,297,70,0.0002308,eval
solver,gpt-4.1-mini-2025-04-14,272,44,0.00017920000000000002,eval
solver,gpt-4.1-mini-2025-04-14,309,87,0.0002628,eval
solver,gpt-4.1-mini-2025-04-14,272,504,0.0009152,eval
solver,gpt-4.1-mini-2025-04-14,307,285,0.0005788,eval
solver,gpt-4.1-mini-2025-04-14,319,878,0.0015324000000000002,eval
solver,gpt-4.1-mini-2025-04-14,225,327,0.0006132,eval
solver,gpt-4.1-mini-2025-04-14,303,605,0.0010892,eval
solver,gpt-4.1-mini-2025-04-14,241,3,0.00010120000000000001,eval
solver,gpt-4.1-mini-2025-04-14,240,226,0.0004576,eval
solver,gpt-4.1-mini-2025-04-14,257,75,0.00022280000000000002,eval
solver,gpt-4.1-mini-2025-04-14,265,88,0.00024680000000000004,eval
solver,gpt-4.1-mini-2025-04-14,239,165,0.0003596,eval
solver,gpt-4.1-mini-2025-04-14,257,2,0.00010600000000000002,eval
solver,gpt-4.1-mini-2025-04-14,271,137,0.00032760000000000005,eval
solver,gpt-4.1-mini-2025-04-14,327,350,0.0006908,eval
solver,gpt-4.1-mini-2025-04-14,226,220,0.00044239999999999997,eval
solver,gpt-4.1-mini-2025-04-14,248,194,0.00040960000000000004,eval
solver,gpt-4.1-mini-2025-04-14,274,168,0.00037840000000000004,eval
solver,gpt-4.1-mini-2025-04-14,212,26,0.0001264,eval
solver,gpt-4.1-mini-2025-04-14,239,317,0.0006028,eval
solver,gpt-4.1-mini-2025-04-14,232,510,0.0009088,eval
solver,gpt-4.1-mini-2025-04-14,299,223,0.00047640000000000003,eval
solver,gpt-4.1-mini-2025-04-14,249,79,0.000226,eval
solver,gpt-4.1-mini-2025-04-14,248,341,0.0006448000000000001,eval
solver,gpt-4.1-mini-2025-04-14,214,303,0.0005704,eval
solver,gpt-4.1-mini-2025-04-14,319,360,0.0007036,eval
solver,gpt-4.1-mini-2025-04-14,272,341,0.0006544000000000001,eval
solver,gpt-4.1-mini-2025-04-14,215,32,0.0001372,eval
solver,gpt-4.1-mini-2025-04-14,328,189,0.0004336,eval
solver,gpt-4.1-mini-2025-04-14,271,267,0.0005356,eval
