role,model,prompt_tokens,completion_tokens,cost_usd,purpose
solver,gpt-4o-mini-2024-07-18,148,156,0.0001158,eval
solver,gpt-4o-mini-2024-07-18,151,203,0.00014445,eval
solver,gpt-4o-mini-2024-07-18,139,154,0.00011324999999999999,eval
solver,gpt-4o-mini-2024-07-18,169,199,0.00014475,eval
solver,gpt-4o-mini-2024-07-18,140,137,0.0001032,eval
solver,gpt-4o-mini-2024-07-18,143,194,0.00013785,eval
solver,gpt-4o-mini-2024-07-18,136,151,0.000111,eval
solver,gpt-4o-mini-2024-07-18,154,196,0.00014069999999999998,eval
solver,gpt-4o-mini-2024-07-18,139,139,0.00010424999999999999,eval
solver,gpt-4o-mini-2024-07-18,166,162,0.00012209999999999999,eval
solver,gpt-4o-mini-2024-07-18,155,166,0.00012285,eval
solver,gpt-4o-mini-2024-07-18,172,159,0.00012119999999999999,eval
solver,gpt-4o-mini-2024-07-18,133,140,0.00010395,eval
solver,gpt-4o-mini-2024-07-18,206,211,0.0001575,eval
solver,gpt-4o-mini-2024-07-18,168,188,0.000138,eval
solver,gpt-4o-mini-2024-07-18,123,131,9.705e-05,eval
solver,gpt-4o-mini-2024-07-18,137,160,0.00011655,eval
solver,gpt-4o-mini-2024-07-18,144,181,0.0001302,eval
solver,gpt-4o-mini-2024-07-18,161,182,0.00013335,eval
solver,gpt-4o-mini-2024-07-18,152,219,0.0001542,eval
solver,gpt-4o-mini-2024-07-18,156,182,0.0001326,eval
solver,gpt-4o-mini-2024-07-18,174,188,0.00013890000000000002,eval
solver,gpt-4o-mini-2024-07-18,152,186,0.00013440000000000001,eval
solver,gpt-4o-mini-2024-07-18,160,157,0.0001182,eval
solver,gpt-4o-mini-2024-07-18,148,153,0.000114,eval
solver,gpt-4o-mini-2024-07-18,140,165,0.00012,eval
solver,gpt-4o-mini-2024-07-18,191,211,0.00015525,eval
solver,gpt-4o-mini-2024-07-18,138,159,0.00011609999999999999,eval
solver,gpt-4o-mini-2024-07-18,152,142,0.000108,eval
solver,gpt-4o-mini-2024-07-18,165,175,0.00012975,eval
solver,gpt-4o-mini-2024-07-18,169,196,0.00014294999999999998,eval
solver,gpt-4o-mini-2024-07-18,143,179,0.00012885,eval
solver,gpt-4o-mini-2024-07-18,154,162,0.0001203,eval
solver,gpt-4o-mini-2024-07-18,181,187,0.00013935,eval
solver,gpt-4o-mini-2024-07-18,164,165,0.0001236,eval
solver,gpt-4o-mini-2024-07-18,137,157,0.00011475,eval
solver,gpt-4o-mini-2024-07-18,143,154,0.00011384999999999999,eval
solver,gpt-4o-mini-2024-07-18,147,173,0.00012585,eval
solver,gpt-4o-mini-2024-07-18,129,142,0.00010455,eval
solver,gpt-4o-mini-2024-07-18,146,174,0.00012629999999999998,eval
solver,gpt-4o-mini-2024-07-18,136,156,0.000114,eval
solver,gpt-4o-mini-2024-07-18,128,188,0.000132,eval
solver,gpt-4o-mini-2024-07-18,167,173,0.00012885,eval
solver,gpt-4o-mini-2024-07-18,201,228,0.00016695,eval
solver,gpt-4o-mini-2024-07-18,179,187,0.00013905000000000002,eval
solver,gpt-4o-mini-2024-07-18,183,206,0.00015104999999999999,eval
solver,gpt-4o-mini-2024-07-18,132,170,0.00012179999999999999,eval
solver,gpt-4o-mini-2024-07-18,131,168,0.00012044999999999999,eval
solver,gpt-4o-mini-2024-07-18,170,197,0.0001437,eval
solver,gpt-4o-mini-2024-07-18,125,126,9.434999999999999e-05,eval
solver,gpt-4o-mini-2024-07-18,217,184,0.00014294999999999998,eval
solver,gpt-4o-mini-2024-07-18,142,191,0.0001359,eval
solver,gpt-4o-mini-2024-07-18,130,120,9.15e-05,eval
solver,gpt-4o-mini-2024-07-18,157,147,0.00011175,eval
solver,gpt-4o-mini-2024-07-18,158,170,0.0001257,eval
solver,gpt-4o-mini-2024-07-18,150,171,0.0001251,eval
solver,gpt-4o-mini-2024-07-18,133,147,0.00010815,eval
solver,gpt-4o-mini-2024-07-18,173,256,0.00017954999999999997,eval
solver,gpt-4o-mini-2024-07-18,178,211,0.00015329999999999999,eval
solver,gpt-4o-mini-2024-07-18,137,144,0.00010694999999999998,eval
solver,gpt-4o-mini-2024-07-18,204,156,0.00012419999999999998,eval
solver,gpt-4o-mini-2024-07-18,193,194,0.00014534999999999998,eval
solver,gpt-4o-mini-2024-07-18,146,175,0.0001269,eval
solver,gpt-4o-mini-2024-07-18,152,179,0.0001302,eval
solver,gpt-4o-mini-2024-07-18,167,157,0.00011925,eval
solver,gpt-4o-mini-2024-07-18,123,124,9.285e-05,eval
solver,gpt-4o-mini-2024-07-18,162,132,0.0001035,eval
solver,gpt-4o-mini-2024-07-18,178,214,0.0001551,eval
solver,gpt-4o-mini-2024-07-18,159,164,0.00012225,eval
solver,gpt-4o-mini-2024-07-18,167,218,0.00015585,eval
solver,gpt-4o-mini-2024-07-18,140,187,0.00013319999999999999,eval
solver,gpt-4o-mini-2024-07-18,177,212,0.00015375,eval
solver,gpt-4o-mini-2024-07-18,131,131,9.825e-05,eval
solver,gpt-4o-mini-2024-07-18,158,191,0.00013829999999999997,eval
solver,gpt-4o-mini-2024-07-18,165,220,0.00015675,eval
solver,gpt-4o-mini-2024-07-18,167,185,0.00013605,eval
solver,gpt-4o-mini-2024-07-18,183,157,0.00012165,eval
solver,gpt-4o-mini-2024-07-18,132,157,0.000114,eval
solver,gpt-4o-mini-2024-07-18,136,155,0.0001134,eval
solver,gpt-4o-mini-2024-07-18,158,181,0.0001323,eval
solver,gpt-4o-mini-2024-07-18,130,175,0.0001245,eval
solver,gpt-4o-mini-2024-07-18,192,208,0.0001536,eval
solver,gpt-4o-mini-2024-07-18,170,177,0.00013169999999999998,eval
solver,gpt-4o-mini-2024-07-18,122,120,9.03e-05,eval
solver,gpt-4o-mini-2024-07-18,172,176,0.0001314,eval
solver,gpt-4o-mini-2024-07-18,134,156,0.00011369999999999999,eval
solver,gpt-4o-mini-2024-07-18,131,148,0.00010845,eval
