role,model,prompt_tokens,completion_tokens,cost_usd,purpose
solver,gpt-4o-mini-2024-07-18,1164,31,0.00019319999999999998,round-eval
solver,gpt-4o-mini-2024-07-18,1237,62,0.00022274999999999997,round-eval
solver,gpt-4o-mini-2024-07-18,1239,89,0.00023925,round-eval
solver,gpt-4o-mini-2024-07-18,1303,138,0.00027825,round-eval
external,gpt-4.1-2025-04-14,99,121,0.001166,round-eval
external,gpt-4.1-2025-04-14,126,99,0.001044,round-eval
external,gpt-4.1-2025-04-14,175,189,0.001862,round-eval
external,gpt-4.1-2025-04-14,68,152,0.001352,round-eval
solver,gpt-4o-mini-2024-07-18,412,86,0.0001134,round-eval
solver,gpt-4o-mini-2024-07-18,614,148,0.00018089999999999998,round-eval
solver,gpt-4o-mini-2024-07-18,404,146,0.0001482,round-eval
solver,gpt-4o-mini-2024-07-18,332,125,0.0001248,round-eval
judge,gpt-5-2025-08-07,387,528,0.00576375,round-eval:judge
judge,gpt-5-2025-08-07,568,400,0.00471,round-eval:judge
judge,gpt-5-2025-08-07,638,592,0.0067175,round-eval:judge
judge,gpt-5-2025-08-07,432,754,0.00808,round-eval:judge
solver,gpt-4o-mini-2024-07-18,4292,10,0.0006498,round-eval
solver,gpt-4o-mini-2024-07-18,1445,255,0.00036975,round-eval
solver,gpt-4o-mini-2024-07-18,1163,23,0.00018825,round-eval
external,gpt-4.1-2025-04-14,47,29,0.000326,round-eval
solver,gpt-4o-mini-2024-07-18,3315,29,0.00051465,round-eval
external,gpt-4.1-2025-04-14,60,58,0.000584,round-eval
external,gpt-4.1-2025-04-14,292,320,0.003144,round-eval
solver,gpt-4o-mini-2024-07-18,1489,373,0.00044715,round-eval
solver,gpt-4o-mini-2024-07-18,228,82,8.34e-05,round-eval
external,gpt-4.1-2025-04-14,410,137,0.001916,round-eval
solver,gpt-4o-mini-2024-07-18,1004,289,0.000324,round-eval
judge,gpt-5-2025-08-07,4011,336,0.00837375,round-eval:judge
solver,gpt-4o-mini-2024-07-18,1176,22,0.0001896,round-eval
external,gpt-4.1-2025-04-14,59,90,0.000838,round-eval
judge,gpt-5-2025-08-07,883,272,0.00382375,round-eval:judge
solver,gpt-4o-mini-2024-07-18,983,639,0.0005308499999999999,round-eval
judge,gpt-5-2025-08-07,871,455,0.00563875,round-eval:judge
solver,gpt-4o-mini-2024-07-18,273,81,8.955e-05,round-eval
solver,gpt-4o-mini-2024-07-18,1191,52,0.00020985,round-eval
judge,gpt-5-2025-08-07,1201,310,0.00460125,round-eval:judge
external,gpt-4.1-2025-04-14,89,320,0.002738,round-eval
solver,gpt-4o-mini-2024-07-18,2342,655,0.0007442999999999999,round-eval
judge,gpt-5-2025-08-07,256,528,0.0056,round-eval:judge
solver,gpt-4o-mini-2024-07-18,1417,385,0.00044354999999999997,round-eval
solver,gpt-4o-mini-2024-07-18,1273,91,0.00024555,round-eval
solver,gpt-4o-mini-2024-07-18,548,331,0.0002808,round-eval
external,gpt-4.1-2025-04-14,422,561,0.005332,round-eval
external,gpt-4.1-2025-04-14,692,739,0.007296,round-eval
external,gpt-4.1-2025-04-14,128,479,0.004088,round-eval
judge,gpt-5-2025-08-07,687,464,0.00549875,round-eval:judge
solver,gpt-4o-mini-2024-07-18,1348,515,0.0005112,round-eval
solver,gpt-4o-mini-2024-07-18,2721,700,0.0008281499999999999,round-eval
solver,gpt-4o-mini-2024-07-18,828,508,0.000429,round-eval
solver,gpt-4o-mini-2024-07-18,1614,463,0.0005199,round-eval
external,gpt-4.1-2025-04-14,500,207,0.002656,round-eval
judge,gpt-5-2025-08-07,2381,336,0.00633625,round-eval:judge
judge,gpt-5-2025-08-07,1169,1374,0.01520125,round-eval:judge
solver,gpt-4o-mini-2024-07-18,1268,463,0.000468,round-eval
solver,gpt-4o-mini-2024-07-18,1817,487,0.00056475,round-eval
solver,gpt-4o-mini-2024-07-18,4372,186,0.0007674,round-eval
external,gpt-4.1-2025-04-14,223,232,0.002302,round-eval
judge,gpt-5-2025-08-07,1573,656,0.00852625,round-eval:judge
judge,gpt-5-2025-08-07,1256,1375,0.01532,round-eval:judge
solver,gpt-4o-mini-2024-07-18,3774,187,0.0006783000000000001,round-eval
solver,gpt-4o-mini-2024-07-18,1180,49,0.0002064,round-eval
external,gpt-4.1-2025-04-14,524,1096,0.009816,round-eval
solver,gpt-4o-mini-2024-07-18,2822,464,0.0007017000000000001,round-eval
external,gpt-4.1-2025-04-14,86,574,0.004764,round-eval
judge,gpt-5-2025-08-07,3695,811,0.01272875,round-eval:judge
solver,gpt-4o-mini-2024-07-18,2384,1051,0.0009882,round-eval
solver,gpt-4o-mini-2024-07-18,787,455,0.00039105,round-eval
external,gpt-4.1-2025-04-14,501,936,0.00849,round-eval
solver,gpt-4o-mini-2024-07-18,3206,857,0.0009950999999999998,round-eval
judge,gpt-5-2025-08-07,987,720,0.00843375,round-eval:judge
solver,gpt-4o-mini-2024-07-18,9348,1173,0.002106,round-eval
solver,gpt-4o-mini-2024-07-18,1154,11,0.00017969999999999998,round-eval
external,gpt-4.1-2025-04-14,48,39,0.000408,round-eval
solver,gpt-4o-mini-2024-07-18,189,40,5.234999999999999e-05,round-eval
judge,gpt-5-2025-08-07,2449,1556,0.01862125,round-eval:judge
