role,model,prompt_tokens,completion_tokens,cost_usd,purpose
solver,gpt-4.1-mini-2025-04-14,211,3,8.92e-05,eval
solver,gpt-4.1-mini-2025-04-14,328,3,0.00013600000000000003,eval
solver,gpt-4.1-mini-2025-04-14,483,85,0.00032920000000000003,eval
solver,gpt-4.1-mini-2025-04-14,277,172,0.000386,eval
solver,gpt-4.1-mini-2025-04-14,312,181,0.00041440000000000004,eval
solver,gpt-4.1-mini-2025-04-14,255,3,0.0001068,eval
solver,gpt-4.1-mini-2025-04-14,408,3,0.00016800000000000002,eval
solver,gpt-4.1-mini-2025-04-14,270,281,0.0005576,eval
solver,gpt-4.1-mini-2025-04-14,194,172,0.0003528,eval
solver,gpt-4.1-mini-2025-04-14,197,238,0.0004596,eval
solver,gpt-4.1-mini-2025-04-14,515,3,0.0002108,eval
solver,gpt-4.1-mini-2025-04-14,261,130,0.0003124,eval
solver,gpt-4.1-mini-2025-04-14,187,3,7.96e-05,eval
solver,gpt-4.1-mini-2025-04-14,425,254,0.0005764000000000001,eval
solver,gpt-4.1-mini-2025-04-14,368,211,0.0004848000000000001,eval
solver,gpt-4.1-mini-2025-04-14,208,157,0.00033440000000000005,eval
solver,gpt-4.1-mini-2025-04-14,267,426,0.0007884000000000001,eval
solver,gpt-4.1-mini-2025-04-14,372,449,0.0008672,eval
solver,gpt-4.1-mini-2025-04-14,579,284,0.000686,eval
solver,gpt-4.1-mini-2025-04-14,306,376,0.000724,eval
solver,gpt-4.1-mini-2025-04-14,211,101,0.000246,eval
solver,gpt-4.1-mini-2025-04-14,268,262,0.0005264000000000001,eval
solver,gpt-4.1-mini-2025-04-14,101,132,0.00025160000000000004,eval
solver,gpt-4.1-mini-2025-04-14,197,292,0.000546,eval
solver,gpt-4.1-mini-2025-04-14,272,327,0.000632,eval
solver,gpt-4.1-mini-2025-04-14,180,181,0.0003616,eval
solver,gpt-4.1-mini-2025-04-14,297,435,0.0008148,eval
solver,gpt-4.1-mini-2025-04-14,240,225,0.000456,eval
solver,gpt-4.1-mini,0,0,0.0,eval
solver,gpt-4.1-mini-2025-04-14,351,3,0.0001452,eval
solver,gpt-4.1-mini-2025-04-14,256,351,0.000664,eval
solver,gpt-4.1-mini-2025-04-14,310,157,0.00037520000000000007,eval
solver,gpt-4.1-mini-2025-04-14,108,69,0.00015360000000000002,eval
solver,gpt-4.1-mini,0,0,0.0,eval
solver,gpt-4.1-mini-2025-04-14,268,3,0.000112,eval
