role,model,prompt_tokens,completion_tokens,cost_usd,purpose
solver,claude-haiku-4-5-20251001,153,37,0.0,eval
solver,claude-haiku-4-5-20251001,231,59,0.0,eval
solver,claude-haiku-4-5-20251001,236,126,0.0,eval
solver,claude-haiku-4-5-20251001,297,167,0.0,eval
external,gpt-4.1-2025-04-14,150,104,0.001132,eval
external,gpt-4.1-2025-04-14,90,145,0.00134,eval
external,gpt-4.1-2025-04-14,203,205,0.002046,eval
solver,claude-haiku-4-5-20251001,457,168,0.0,eval
solver,claude-haiku-4-5-20251001,680,170,0.0,eval
external,gpt-4.1-2025-04-14,70,383,0.003204,eval
solver,claude-haiku-4-5-20251001,480,396,0.0,eval
solver,claude-haiku-4-5-20251001,616,421,0.0,eval
judge,gpt-5-2025-08-07,576,400,0.00472,eval:judge
judge,gpt-5-2025-08-07,443,500,0.00555375,eval:judge
solver,claude-haiku-4-5-20251001,451,223,0.0,eval
judge,gpt-5-2025-08-07,646,528,0.0060875,eval:judge
solver,claude-haiku-4-5-20251001,3798,156,0.0,eval
solver,claude-haiku-4-5-20251001,501,250,0.0,eval
external,gpt-4.1-2025-04-14,164,94,0.00108,eval
external,gpt-4.1-2025-04-14,240,264,0.002592,eval
solver,claude-haiku-4-5-20251001,4064,177,0.0,eval
judge,gpt-5-2025-08-07,888,806,0.00917,eval:judge
solver,claude-haiku-4-5-20251001,966,345,0.0,eval
solver,claude-haiku-4-5-20251001,153,29,0.0,eval
external,gpt-4.1-2025-04-14,263,456,0.004174,eval
judge,gpt-5-2025-08-07,905,400,0.00513125,eval:judge
judge,gpt-5-2025-08-07,4127,336,0.00851875,eval:judge
solver,claude-haiku-4-5-20251001,1264,420,0.0,eval
solver,claude-haiku-4-5-20251001,168,28,0.0,eval
external,gpt-4.1-2025-04-14,61,67,0.000658,eval
external,gpt-4.1-2025-04-14,62,665,0.005444,eval
judge,gpt-5-2025-08-07,942,303,0.0042075,eval:judge
solver,claude-haiku-4-5-20251001,272,158,0.0,eval
solver,claude-haiku-4-5-20251001,1414,318,0.0,eval
solver,claude-haiku-4-5-20251001,223,80,0.0,eval
solver,claude-haiku-4-5-20251001,949,324,0.0,eval
external,gpt-4.1-2025-04-14,76,351,0.00296,eval
judge,gpt-5-2025-08-07,1087,373,0.00508875,eval:judge
judge,gpt-5-2025-08-07,308,1104,0.011425,eval:judge
solver,claude-haiku-4-5-20251001,1032,728,0.0,eval
external,gpt-4.1-2025-04-14,317,1364,0.011546,eval
solver,claude-haiku-4-5-20251001,275,126,0.0,eval
solver,claude-haiku-4-5-20251001,460,488,0.0,eval
judge,gpt-5-2025-08-07,715,528,0.00617375,eval:judge
external,gpt-4.1-2025-04-14,153,476,0.004114,eval
external,gpt-4.1-2025-04-14,442,590,0.005604,eval
solver,claude-haiku-4-5-20251001,636,348,0.0,eval
external,gpt-4.1-2025-04-14,350,306,0.003148,eval
solver,claude-haiku-4-5-20251001,946,648,0.0,eval
solver,claude-haiku-4-5-20251001,1655,785,0.0,eval
judge,gpt-5-2025-08-07,1304,720,0.00883,eval:judge
solver,claude-haiku-4-5-20251001,3338,2048,0.0,eval
judge,gpt-5-2025-08-07,1291,784,0.00945375,eval:judge
solver,claude-haiku-4-5-20251001,3623,96,0.0,eval
solver,claude-haiku-4-5-20251001,1332,906,0.0,eval
solver,claude-haiku-4-5-20251001,857,441,0.0,eval
external,gpt-4.1-2025-04-14,120,180,0.00168,eval
judge,gpt-5-2025-08-07,3462,927,0.0135975,eval:judge
judge,gpt-5-2025-08-07,1918,592,0.0083175,eval:judge
solver,claude-haiku-4-5-20251001,177,41,0.0,eval
solver,claude-haiku-4-5-20251001,3915,525,0.0,eval
external,gpt-4.1-2025-04-14,425,1157,0.010106,eval
solver,claude-haiku-4-5-20251001,2012,336,0.0,eval
external,gpt-4.1-2025-04-14,71,646,0.00531,eval
external,gpt-4.1-2025-04-14,334,1252,0.010684,eval
solver,claude-haiku-4-5-20251001,990,482,0.0,eval
judge,gpt-5-2025-08-07,3970,1354,0.0185025,eval:judge
solver,claude-haiku-4-5-20251001,2690,1737,0.0,eval
solver,claude-haiku-4-5-20251001,9948,361,0.0,eval
judge,gpt-5-2025-08-07,940,795,0.009125,eval:judge
solver,claude-haiku-4-5-20251001,3691,1534,0.0,eval
solver,claude-haiku-4-5-20251001,144,12,0.0,eval
external,gpt-4.1-2025-04-14,46,50,0.000492,eval
external,gpt-4.1-2025-04-14,349,399,0.00389,eval
solver,claude-haiku-4-5-20251001,210,69,0.0,eval
judge,gpt-5-2025-08-07,261,208,0.00240625,eval:judge
judge,gpt-5-2025-08-07,2896,1217,0.01579,eval:judge
solver,claude-haiku-4-5-20251001,148,44,0.0,eval
external,gpt-4.1-2025-04-14,76,20,0.000312,eval
solver,claude-haiku-4-5-20251001,451,250,0.0,eval
solver,claude-haiku-4-5-20251001,10762,841,0.0,eval
judge,gpt-5-2025-08-07,3513,1360,0.01799125,eval:judge
external,gpt-4.1-2025-04-14,259,278,0.002742,eval
solver,claude-haiku-4-5-20251001,168,33,0.0,eval
solver,claude-haiku-4-5-20251001,215,374,0.0,eval
solver,claude-haiku-4-5-20251001,1011,381,0.0,eval
external,gpt-4.1-2025-04-14,65,308,0.002594,eval
solver,claude-haiku-4-5-20251001,538,333,0.0,eval
judge,gpt-5-2025-08-07,937,592,0.00709125,eval:judge
solver,claude-haiku-4-5-20251001,164,41,0.0,eval
judge,gpt-5-2025-08-07,864,867,0.00975,eval:judge
judge,gpt-5-2025-08-07,712,208,0.00297,eval:judge
solver,claude-haiku-4-5-20251001,164,43,0.0,eval
judge,gpt-5-2025-08-07,9048,1176,0.02307,eval:judge
solver,claude-haiku-4-5-20251001,172,37,0.0,eval
solver,claude-haiku-4-5-20251001,324,252,0.0,eval
external,gpt-4.1-2025-04-14,72,81,0.000792,eval
external,gpt-4.1-2025-04-14,75,310,0.00263,eval
solver,claude-haiku-4-5-20251001,305,90,0.0,eval
external,gpt-4.1-2025-04-14,74,624,0.00514,eval
external,gpt-4.1-2025-04-14,206,661,0.0057,eval
solver,claude-haiku-4-5-20251001,548,363,0.0,eval
judge,gpt-5-2025-08-07,295,272,0.00308875,eval:judge
solver,claude-haiku-4-5-20251001,150,18,0.0,eval
external,gpt-4.1-2025-04-14,51,112,0.000998,eval
solver,claude-haiku-4-5-20251001,960,771,0.0,eval
solver,claude-haiku-4-5-20251001,310,120,0.0,eval
solver,claude-haiku-4-5-20251001,1527,952,0.0,eval
judge,gpt-5-2025-08-07,885,821,0.00931625,eval:judge
solver,claude-haiku-4-5-20251001,148,16,0.0,eval
judge,gpt-5-2025-08-07,1122,208,0.0034825,eval:judge
external,gpt-4.1-2025-04-14,50,70,0.00066,eval
solver,claude-haiku-4-5-20251001,416,259,0.0,eval
solver,claude-haiku-4-5-20251001,243,162,0.0,eval
judge,gpt-5-2025-08-07,1525,784,0.00974625,eval:judge
external,gpt-4.1-2025-04-14,271,184,0.002014,eval
solver,claude-haiku-4-5-20251001,156,25,0.0,eval
judge,gpt-5-2025-08-07,332,1123,0.011645,eval:judge
solver,claude-haiku-4-5-20251001,908,266,0.0,eval
solver,claude-haiku-4-5-20251001,295,109,0.0,eval
judge,gpt-5-2025-08-07,357,592,0.00636625,eval:judge
external,gpt-4.1-2025-04-14,60,337,0.002816,eval
solver,claude-haiku-4-5-20251001,405,218,0.0,eval
external,gpt-4.1-2025-04-14,138,229,0.002108,eval
solver,claude-haiku-4-5-20251001,554,345,0.0,eval
judge,gpt-5-2025-08-07,958,872,0.0099175,eval:judge
solver,claude-haiku-4-5-20251001,664,320,0.0,eval
solver,claude-haiku-4-5-20251001,190,58,0.0,eval
external,gpt-4.1-2025-04-14,242,444,0.004036,eval
external,gpt-4.1-2025-04-14,84,50,0.000568,eval
solver,claude-haiku-4-5-20251001,315,69,0.0,eval
solver,claude-haiku-4-5-20251001,1124,410,0.0,eval
judge,gpt-5-2025-08-07,740,528,0.006205,eval:judge
judge,gpt-5-2025-08-07,516,678,0.007425,eval:judge
solver,claude-haiku-4-5-20251001,212,54,0.0,eval
solver,claude-haiku-4-5-20251001,309,87,0.0,eval
external,gpt-4.1-2025-04-14,114,37,0.000524,eval
external,gpt-4.1-2025-04-14,87,112,0.00107,eval
solver,claude-haiku-4-5-20251001,438,111,0.0,eval
solver,claude-haiku-4-5-20251001,393,143,0.0,eval
judge,gpt-5-2025-08-07,453,1040,0.01096625,eval:judge
judge,gpt-5,0,0,0.0,eval:judge
solver,claude-haiku-4-5-20251001,2510,219,0.0,eval
solver,claude-haiku-4-5-20251001,280,128,0.0,eval
judge,gpt-5-2025-08-07,445,656,0.00711625,eval:judge
judge,gpt-5-2025-08-07,1011,1085,0.01211375,eval:judge
external,gpt-4.1-2025-04-14,226,226,0.00226,eval
solver,claude-haiku-4-5-20251001,423,262,0.0,eval
solver,claude-haiku-4-5-20251001,290,196,0.0,eval
external,gpt-4.1-2025-04-14,288,299,0.002968,eval
solver,claude-haiku-4-5-20251001,2985,219,0.0,eval
external,gpt-4.1-2025-04-14,157,417,0.00365,eval
external,gpt-4.1-2025-04-14,208,223,0.0022,eval
solver,claude-haiku-4-5-20251001,1005,284,0.0,eval
solver,claude-haiku-4-5-20251001,879,330,0.0,eval
solver,claude-haiku-4-5-20251001,731,338,0.0,eval
judge,gpt-5,0,0,0.0,eval:judge
judge,gpt-5-2025-08-07,967,656,0.00776875,eval:judge
judge,gpt-5-2025-08-07,733,722,0.00813625,eval:judge
judge,gpt-5-2025-08-07,773,784,0.00880625,eval:judge
solver,claude-haiku-4-5-20251001,196,44,0.0,reflect:baseline
solver,claude-haiku-4-5-20251001,231,93,0.0,reflect:baseline
solver,claude-haiku-4-5-20251001,257,94,0.0,reflect:baseline
solver,claude-haiku-4-5-20251001,1620,209,0.0,reflect:baseline
external,gpt-4.1-2025-04-14,123,152,0.001462,reflect:baseline
external,gpt-4.1-2025-04-14,76,134,0.001224,reflect:baseline
external,gpt-4.1-2025-04-14,115,478,0.004054,reflect:baseline
solver,claude-haiku-4-5-20251001,523,173,0.0,reflect:baseline
solver,claude-haiku-4-5-20251001,386,166,0.0,reflect:baseline
solver,claude-haiku-4-5-20251001,872,569,0.0,reflect:baseline
external,gpt-4.1-2025-04-14,237,1211,0.010162,reflect:baseline
judge,gpt-5-2025-08-07,622,1040,0.0111775,reflect:baseline:judge
judge,gpt-5-2025-08-07,1413,464,0.00640625,reflect:baseline:judge
solver,claude-haiku-4-5-20251001,207,107,0.0,reflect:baseline
judge,gpt-5-2025-08-07,392,1040,0.01089,reflect:baseline:judge
external,gpt-4.1-2025-04-14,129,137,0.001354,reflect:baseline
solver,claude-haiku-4-5-20251001,2466,435,0.0,reflect:baseline
solver,claude-haiku-4-5-20251001,540,270,0.0,reflect:baseline
solver,claude-haiku-4-5-20251001,463,107,0.0,reflect:baseline
external,gpt-4.1-2025-04-14,292,284,0.002856,reflect:baseline
external,gpt-4.1-2025-04-14,409,445,0.004378,reflect:baseline
solver,claude-haiku-4-5-20251001,1114,405,0.0,reflect:baseline
judge,gpt-5-2025-08-07,398,272,0.0032175,reflect:baseline:judge
solver,claude-haiku-4-5-20251001,3236,1813,0.0,reflect:baseline
