role,model,prompt_tokens,completion_tokens,cost_usd,purpose
solver,claude-haiku-4-5-20251001,146,642,0.0,eval
solver,claude-haiku-4-5-20251001,189,1000,0.0,eval
solver,claude-haiku-4-5-20251001,201,1297,0.0,eval
solver,claude-haiku-4-5-20251001,330,1586,0.0,eval
solver,claude-haiku-4-5-20251001,187,1130,0.0,eval
solver,claude-haiku-4-5-20251001,264,1530,0.0,eval
solver,claude-haiku-4-5-20251001,338,1528,0.0,eval
solver,claude-haiku-4-5-20251001,223,1557,0.0,eval
solver,claude-haiku-4-5-20251001,213,1103,0.0,eval
solver,claude-haiku-4-5-20251001,358,1279,0.0,eval
solver,claude-haiku-4-5-20251001,207,1313,0.0,eval
solver,claude-haiku-4-5-20251001,136,628,0.0,eval
solver,claude-haiku-4-5-20251001,402,1377,0.0,eval
solver,claude-haiku-4-5-20251001,249,1074,0.0,eval
solver,claude-haiku-4-5-20251001,347,1044,0.0,eval
solver,claude-haiku-4-5-20251001,170,1483,0.0,eval
solver,claude-haiku-4-5-20251001,196,995,0.0,eval
solver,claude-haiku-4-5-20251001,187,1054,0.0,eval
solver,claude-haiku-4-5-20251001,375,1511,0.0,eval
solver,claude-haiku-4-5-20251001,181,1290,0.0,eval
solver,claude-haiku-4-5-20251001,246,1230,0.0,eval
solver,claude-haiku-4-5-20251001,217,805,0.0,eval
solver,claude-haiku-4-5-20251001,161,1404,0.0,eval
solver,claude-haiku-4-5-20251001,219,1457,0.0,eval
solver,claude-haiku-4-5-20251001,219,1046,0.0,eval
solver,claude-haiku-4-5-20251001,237,1501,0.0,eval
solver,claude-haiku-4-5-20251001,169,1043,0.0,eval
solver,claude-haiku-4-5-20251001,174,1286,0.0,eval
solver,claude-haiku-4-5-20251001,304,1098,0.0,eval
solver,claude-haiku-4-5-20251001,158,1206,0.0,eval
solver,claude-haiku-4-5-20251001,272,1197,0.0,reflect:baseline
solver,claude-haiku-4-5-20251001,252,1359,0.0,reflect:baseline
solver,claude-haiku-4-5-20251001,175,1007,0.0,reflect:baseline
solver,claude-haiku-4-5-20251001,294,1240,0.0,reflect:baseline
solver,claude-haiku-4-5-20251001,358,1331,0.0,reflect:baseline
solver,claude-haiku-4-5-20251001,226,1323,0.0,reflect:baseline
solver,claude-haiku-4-5-20251001,292,1393,0.0,reflect:baseline
solver,claude-haiku-4-5-20251001,512,1310,0.0,reflect:baseline
solver,claude-haiku-4-5-20251001,246,1147,0.0,reflect:baseline
