role,model,prompt_tokens,completion_tokens,cost_usd,purpose
solver,claude-haiku-4-5-20251001,68,214,0.0,eval
solver,claude-haiku-4-5-20251001,70,242,0.0,eval
solver,claude-haiku-4-5-20251001,77,305,0.0,eval
solver,claude-haiku-4-5-20251001,71,148,0.0,eval
solver,claude-haiku-4-5-20251001,64,252,0.0,eval
solver,claude-haiku-4-5-20251001,67,128,0.0,eval
solver,claude-haiku-4-5-20251001,73,283,0.0,eval
solver,claude-haiku-4-5-20251001,64,189,0.0,eval
solver,claude-haiku-4-5-20251001,79,154,0.0,eval
solver,claude-haiku-4-5-20251001,65,312,0.0,eval
solver,claude-haiku-4-5-20251001,68,268,0.0,eval
solver,claude-haiku-4-5-20251001,65,148,0.0,eval
solver,claude-haiku-4-5-20251001,82,273,0.0,eval
solver,claude-haiku-4-5-20251001,68,173,0.0,eval
solver,claude-haiku-4-5-20251001,75,271,0.0,eval
solver,claude-haiku-4-5-20251001,67,229,0.0,eval
solver,claude-haiku-4-5-20251001,69,244,0.0,eval
solver,claude-haiku-4-5-20251001,64,200,0.0,eval
solver,claude-haiku-4-5-20251001,64,195,0.0,eval
solver,claude-haiku-4-5-20251001,73,188,0.0,eval
solver,claude-haiku-4-5-20251001,83,278,0.0,eval
solver,claude-haiku-4-5-20251001,70,278,0.0,eval
solver,claude-haiku-4-5-20251001,69,217,0.0,eval
solver,claude-haiku-4-5-20251001,72,209,0.0,eval
solver,claude-haiku-4-5-20251001,70,233,0.0,eval
solver,claude-haiku-4-5-20251001,73,213,0.0,eval
solver,claude-haiku-4-5-20251001,79,271,0.0,eval
solver,claude-haiku-4-5-20251001,66,318,0.0,eval
solver,claude-haiku-4-5-20251001,74,233,0.0,eval
solver,claude-haiku-4-5-20251001,74,203,0.0,eval
solver,claude-haiku-4-5-20251001,74,166,0.0,eval
solver,claude-haiku-4-5-20251001,68,240,0.0,eval
solver,claude-haiku-4-5-20251001,70,195,0.0,eval
solver,claude-haiku-4-5-20251001,68,164,0.0,eval
solver,claude-haiku-4-5-20251001,81,215,0.0,eval
solver,claude-haiku-4-5-20251001,72,216,0.0,eval
solver,claude-haiku-4-5-20251001,80,192,0.0,eval
solver,claude-haiku-4-5-20251001,77,251,0.0,eval
solver,claude-haiku-4-5-20251001,68,186,0.0,eval
solver,claude-haiku-4-5-20251001,72,251,0.0,eval
solver,claude-haiku-4-5-20251001,65,173,0.0,eval
solver,claude-haiku-4-5-20251001,85,239,0.0,eval
solver,claude-haiku-4-5-20251001,75,242,0.0,eval
solver,claude-haiku-4-5-20251001,70,246,0.0,eval
solver,claude-haiku-4-5-20251001,74,240,0.0,eval
solver,claude-haiku-4-5-20251001,95,243,0.0,eval
solver,claude-haiku-4-5-20251001,71,227,0.0,eval
solver,claude-haiku-4-5-20251001,86,197,0.0,eval
solver,claude-haiku-4-5-20251001,76,207,0.0,eval
solver,claude-haiku-4-5-20251001,66,193,0.0,eval
solver,claude-haiku-4-5-20251001,84,211,0.0,eval
solver,claude-haiku-4-5-20251001,74,176,0.0,eval
solver,claude-haiku-4-5-20251001,67,120,0.0,eval
solver,claude-haiku-4-5-20251001,65,227,0.0,eval
solver,claude-haiku-4-5-20251001,78,175,0.0,eval
solver,claude-haiku-4-5-20251001,64,107,0.0,eval
solver,claude-haiku-4-5-20251001,73,208,0.0,eval
solver,claude-haiku-4-5-20251001,76,236,0.0,eval
solver,claude-haiku-4-5-20251001,75,185,0.0,eval
solver,claude-haiku-4-5-20251001,72,258,0.0,eval
solver,claude-haiku-4-5-20251001,85,255,0.0,eval
solver,claude-haiku-4-5-20251001,68,222,0.0,eval
solver,claude-haiku-4-5-20251001,70,189,0.0,eval
solver,claude-haiku-4-5-20251001,79,178,0.0,eval
solver,claude-haiku-4-5-20251001,67,151,0.0,simple:baseline
solver,claude-haiku-4-5-20251001,68,208,0.0,simple:baseline
solver,claude-haiku-4-5-20251001,79,238,0.0,simple:baseline
solver,claude-haiku-4-5-20251001,83,211,0.0,simple:baseline
solver,claude-haiku-4-5-20251001,80,259,0.0,simple:baseline
solver,claude-haiku-4-5-20251001,75,192,0.0,simple:baseline
solver,claude-haiku-4-5-20251001,73,202,0.0,simple:baseline
solver,claude-haiku-4-5-20251001,100,220,0.0,simple:baseline
solver,claude-haiku-4-5-20251001,71,220,0.0,simple:baseline
solver,claude-haiku-4-5-20251001,74,198,0.0,simple:baseline
solver,claude-haiku-4-5-20251001,72,203,0.0,simple:baseline
solver,claude-haiku-4-5-20251001,99,272,0.0,simple:baseline
solver,claude-haiku-4-5-20251001,82,222,0.0,simple:baseline
solver,claude-haiku-4-5-20251001,66,196,0.0,simple:baseline
solver,claude-haiku-4-5-20251001,74,234,0.0,simple:baseline
solver,claude-haiku-4-5-20251001,72,211,0.0,simple:baseline
solver,claude-haiku-4-5-20251001,70,203,0.0,simple:baseline
solver,claude-haiku-4-5-20251001,100,218,0.0,simple:baseline
solver,claude-haiku-4-5-20251001,73,154,0.0,simple:baseline
solver,claude-haiku-4-5-20251001,75,211,0.0,simple:baseline
solver,claude-haiku-4-5-20251001,73,207,0.0,simple:baseline
solver,claude-haiku-4-5-20251001,86,211,0.0,simple:baseline
solver,claude-haiku-4-5-20251001,80,221,0.0,simple:baseline
solver,claude-haiku-4-5-20251001,73,200,0.0,simple:baseline
solver,claude-haiku-4-5-20251001,67,211,0.0,simple:baseline
solver,claude-haiku-4-5-20251001,77,216,0.0,simple:baseline
solver,claude-haiku-4-5-20251001,67,120,0.0,simple:baseline
solver,claude-haiku-4-5-20251001,74,110,0.0,simple:baseline
solver,claude-haiku-4-5-20251001,68,156,0.0,simple:baseline
solver,claude-haiku-4-5-20251001,81,186,0.0,simple:baseline
optimizer,gpt-5-2025-08-07,3624,4164,0.04617,simple:rewrite-r1
solver,claude-haiku-4-5-20251001,891,328,0.0,simple:round1
solver,claude-haiku-4-5-20251001,903,417,0.0,simple:round1
solver,claude-haiku-4-5-20251001,892,429,0.0,simple:round1
solver,claude-haiku-4-5-20251001,904,316,0.0,simple:round1
solver,claude-haiku-4-5-20251001,907,410,0.0,simple:round1
solver,claude-haiku-4-5-20251001,899,346,0.0,simple:round1
solver,claude-haiku-4-5-20251001,897,296,0.0,simple:round1
solver,claude-haiku-4-5-20251001,895,245,0.0,simple:round1
solver,claude-haiku-4-5-20251001,924,294,0.0,simple:round1
solver,claude-haiku-4-5-20251001,898,251,0.0,simple:round1
solver,claude-haiku-4-5-20251001,896,284,0.0,simple:round1
solver,claude-haiku-4-5-20251001,923,361,0.0,simple:round1
solver,claude-haiku-4-5-20251001,906,331,0.0,simple:round1
