role,model,prompt_tokens,completion_tokens,cost_usd,purpose
solver,claude-haiku-4-5-20251001,147,244,0.0,eval
solver,claude-haiku-4-5-20251001,151,238,0.0,eval
solver,claude-haiku-4-5-20251001,154,260,0.0,eval
solver,claude-haiku-4-5-20251001,147,253,0.0,eval
solver,claude-haiku-4-5-20251001,153,262,0.0,eval
solver,claude-haiku-4-5-20251001,160,246,0.0,eval
solver,claude-haiku-4-5-20251001,156,339,0.0,eval
solver,claude-haiku-4-5-20251001,150,335,0.0,eval
solver,claude-haiku-4-5-20251001,162,239,0.0,eval
solver,claude-haiku-4-5-20251001,151,247,0.0,eval
solver,claude-haiku-4-5-20251001,147,235,0.0,eval
solver,claude-haiku-4-5-20251001,150,274,0.0,eval
solver,claude-haiku-4-5-20251001,158,282,0.0,eval
solver,claude-haiku-4-5-20251001,148,354,0.0,eval
solver,claude-haiku-4-5-20251001,147,287,0.0,eval
solver,claude-haiku-4-5-20251001,152,329,0.0,eval
solver,claude-haiku-4-5-20251001,153,227,0.0,eval
solver,claude-haiku-4-5-20251001,152,280,0.0,eval
solver,claude-haiku-4-5-20251001,155,257,0.0,eval
solver,claude-haiku-4-5-20251001,156,316,0.0,eval
solver,claude-haiku-4-5-20251001,153,280,0.0,eval
solver,claude-haiku-4-5-20251001,149,257,0.0,eval
solver,claude-haiku-4-5-20251001,162,323,0.0,eval
solver,claude-haiku-4-5-20251001,157,261,0.0,eval
solver,claude-haiku-4-5-20251001,157,250,0.0,eval
solver,claude-haiku-4-5-20251001,151,254,0.0,eval
solver,claude-haiku-4-5-20251001,155,219,0.0,eval
solver,claude-haiku-4-5-20251001,163,296,0.0,eval
solver,claude-haiku-4-5-20251001,160,283,0.0,eval
solver,claude-haiku-4-5-20251001,148,211,0.0,eval
solver,claude-haiku-4-5-20251001,155,276,0.0,eval
solver,claude-haiku-4-5-20251001,168,238,0.0,eval
solver,claude-haiku-4-5-20251001,151,270,0.0,eval
solver,claude-haiku-4-5-20251001,158,310,0.0,eval
solver,claude-haiku-4-5-20251001,153,272,0.0,eval
solver,claude-haiku-4-5-20251001,157,226,0.0,eval
solver,claude-haiku-4-5-20251001,154,197,0.0,eval
solver,claude-haiku-4-5-20251001,178,237,0.0,eval
solver,claude-haiku-4-5-20251001,149,233,0.0,eval
solver,claude-haiku-4-5-20251001,169,295,0.0,eval
solver,claude-haiku-4-5-20251001,159,248,0.0,eval
solver,claude-haiku-4-5-20251001,167,227,0.0,eval
solver,claude-haiku-4-5-20251001,148,270,0.0,eval
solver,claude-haiku-4-5-20251001,159,239,0.0,eval
solver,claude-haiku-4-5-20251001,147,221,0.0,eval
solver,claude-haiku-4-5-20251001,161,282,0.0,eval
solver,claude-haiku-4-5-20251001,155,218,0.0,eval
solver,claude-haiku-4-5-20251001,168,265,0.0,eval
solver,claude-haiku-4-5-20251001,158,321,0.0,eval
solver,claude-haiku-4-5-20251001,154,258,0.0,reflect:baseline
solver,claude-haiku-4-5-20251001,162,258,0.0,reflect:baseline
solver,claude-haiku-4-5-20251001,183,280,0.0,reflect:baseline
solver,claude-haiku-4-5-20251001,163,260,0.0,reflect:baseline
solver,claude-haiku-4-5-20251001,166,272,0.0,reflect:baseline
solver,claude-haiku-4-5-20251001,151,292,0.0,reflect:baseline
solver,claude-haiku-4-5-20251001,156,292,0.0,reflect:baseline
solver,claude-haiku-4-5-20251001,160,318,0.0,reflect:baseline
solver,claude-haiku-4-5-20251001,157,236,0.0,reflect:baseline
solver,claude-haiku-4-5-20251001,159,286,0.0,reflect:baseline
solver,claude-haiku-4-5-20251001,149,231,0.0,reflect:baseline
solver,claude-haiku-4-5-20251001,163,252,0.0,reflect:baseline
solver,claude-haiku-4-5-20251001,158,302,0.0,reflect:baseline
solver,claude-haiku-4-5-20251001,153,275,0.0,reflect:baseline
solver,claude-haiku-4-5-20251001,155,336,0.0,reflect:baseline
solver,claude-haiku-4-5-20251001,182,324,0.0,reflect:baseline
solver,claude-haiku-4-5-20251001,150,216,0.0,reflect:baseline
solver,claude-haiku-4-5-20251001,150,276,0.0,reflect:baseline
solver,claude-haiku-4-5-20251001,153,263,0.0,reflect:baseline
solver,claude-haiku-4-5-20251001,158,270,0.0,reflect:baseline
solver,claude-haiku-4-5-20251001,157,267,0.0,reflect:baseline
solver,claude-haiku-4-5-20251001,151,231,0.0,reflect:baseline
solver,claude-haiku-4-5-20251001,151,221,0.0,reflect:baseline
solver,claude-haiku-4-5-20251001,157,377,0.0,reflect:baseline
solver,claude-haiku-4-5-20251001,162,229,0.0,reflect:baseline
solver,claude-haiku-4-5-20251001,157,228,0.0,reflect:baseline-val
solver,claude-haiku-4-5-20251001,156,269,0.0,reflect:baseline-val
solver,claude-haiku-4-5-20251001,151,236,0.0,reflect:baseline-val
solver,claude-haiku-4-5-20251001,158,261,0.0,reflect:baseline-val
solver,claude-haiku-4-5-20251001,148,291,0.0,reflect:baseline-val
solver,claude-haiku-4-5-20251001,150,279,0.0,reflect:baseline-val
solver,claude-haiku-4-5-20251001,166,281,0.0,reflect:baseline-val
solver,claude-haiku-4-5-20251001,165,287,0.0,reflect:baseline-val
solver,claude-haiku-4-5-20251001,155,222,0.0,reflect:baseline-val
solver,claude-haiku-4-5-20251001,151,238,0.0,reflect:baseline-val
solver,claude-haiku-4-5-20251001,169,244,0.0,reflect:baseline-val
solver,claude-haiku-4-5-20251001,164,255,0.0,reflect:baseline-val
solver,claude-haiku-4-5-20251001,156,214,0.0,reflect:baseline-val
solver,claude-haiku-4-5-20251001,160,264,0.0,reflect:baseline-val
solver,claude-haiku-4-5-20251001,157,314,0.0,reflect:baseline-val
solver,claude-haiku-4-5-20251001,165,331,0.0,reflect:baseline-val
solver,claude-haiku-4-5-20251001,162,221,0.0,reflect:baseline-val
solver,claude-haiku-4-5-20251001,183,236,0.0,reflect:baseline-val
solver,claude-haiku-4-5-20251001,156,231,0.0,reflect:baseline-val
solver,claude-haiku-4-5-20251001,156,228,0.0,reflect:baseline-val
solver,claude-haiku-4-5-20251001,153,246,0.0,reflect:baseline-val
solver,claude-haiku-4-5-20251001,150,236,0.0,reflect:baseline-val
solver,claude-haiku-4-5-20251001,157,236,0.0,reflect:baseline-val
solver,claude-haiku-4-5-20251001,156,327,0.0,reflect:baseline-val
solver,claude-haiku-4-5-20251001,164,281,0.0,reflect:baseline-val
optimizer,gpt-5-2025-08-07,3241,3173,0.03578125,reflect:rewrite-r1
solver,claude-haiku-4-5-20251001,550,327,0.0,reflect:round1
solver,claude-haiku-4-5-20251001,553,303,0.0,reflect:round1
solver,claude-haiku-4-5-20251001,544,306,0.0,reflect:round1
solver,claude-haiku-4-5-20251001,573,296,0.0,reflect:round1
solver,claude-haiku-4-5-20251001,556,326,0.0,reflect:round1
solver,claude-haiku-4-5-20251001,546,342,0.0,reflect:round1
solver,claude-haiku-4-5-20251001,541,350,0.0,reflect:round1
solver,claude-haiku-4-5-20251001,552,371,0.0,reflect:round1
solver,claude-haiku-4-5-20251001,549,256,0.0,reflect:round1
solver,claude-haiku-4-5-20251001,543,216,0.0,reflect:round1
solver,claude-haiku-4-5-20251001,548,275,0.0,reflect:round1
solver,claude-haiku-4-5-20251001,545,291,0.0,reflect:round1
solver,claude-haiku-4-5-20251001,547,317,0.0,reflect:round1
solver,claude-haiku-4-5-20251001,572,336,0.0,reflect:round1
