role,model,prompt_tokens,completion_tokens,cost_usd,purpose
solver,mock-solver,112,14,0.0,eval
solver,mock-solver,112,14,0.0,eval
solver,mock-solver,112,14,0.0,eval
solver,mock-solver,112,14,0.0,eval
solver,mock-solver,112,14,0.0,eval
solver,mock-solver,112,14,0.0,eval
solver,mock-solver,112,14,0.0,eval
solver,mock-solver,112,14,0.0,eval
solver,mock-solver,112,14,0.0,eval
solver,mock-solver,112,14,0.0,eval
solver,mock-solver,112,14,0.0,eval
solver,mock-solver,112,14,0.0,eval
solver,mock-solver,112,14,0.0,eval
solver,mock-solver,112,14,0.0,eval
solver,mock-solver,112,14,0.0,eval
solver,mock-solver,112,14,0.0,eval
solver,mock-solver,112,14,0.0,eval
solver,mock-solver,112,14,0.0,eval
solver,mock-solver,112,14,0.0,eval
solver,mock-solver,112,14,0.0,eval
solver,mock-solver,112,14,0.0,simple:baseline
solver,mock-solver,112,14,0.0,simple:baseline
solver,mock-solver,112,14,0.0,simple:baseline
solver,mock-solver,112,14,0.0,simple:baseline
solver,mock-solver,112,14,0.0,simple:baseline
solver,mock-solver,112,14,0.0,simple:baseline
solver,mock-solver,112,14,0.0,simple:baseline
solver,mock-solver,112,14,0.0,simple:baseline
solver,mock-solver,112,14,0.0,simple:baseline
solver,mock-solver,112,14,0.0,simple:baseline
solver,mock-solver,112,14,0.0,simple:baseline
solver,mock-solver,112,14,0.0,simple:baseline
solver,mock-solver,112,14,0.0,simple:baseline
solver,mock-solver,112,14,0.0,simple:baseline
solver,mock-solver,112,14,0.0,simple:baseline
solver,mock-solver,112,14,0.0,simple:baseline
solver,mock-solver,112,14,0.0,simple:baseline
solver,mock-solver,112,14,0.0,simple:baseline
solver,mock-solver,112,14,0.0,simple:baseline
solver,mock-solver,112,14,0.0,simple:baseline
solver,mock-solver,112,14,0.0,simple:baseline
solver,mock-solver,112,14,0.0,simple:baseline
solver,mock-solver,112,14,0.0,simple:baseline
solver,mock-solver,112,14,0.0,simple:baseline
solver,mock-solver,112,14,0.0,simple:baseline
solver,mock-solver,112,14,0.0,simple:baseline
solver,mock-solver,112,14,0.0,simple:baseline-val
solver,mock-solver,112,14,0.0,simple:baseline-val
solver,mock-solver,112,14,0.0,simple:baseline-val
solver,mock-solver,112,14,0.0,simple:baseline-val
solver,mock-solver,112,14,0.0,simple:baseline-val
solver,mock-solver,112,14,0.0,simple:baseline-val
solver,mock-solver,112,14,0.0,simple:baseline-val
