role,model,prompt_tokens,completion_tokens,cost_usd,purpose
solver,gpt-4.1-mini-2025-04-14,93,3,4.2e-05,eval
solver,gpt-4.1-mini-2025-04-14,195,3,8.28e-05,eval
solver,gpt-4.1-mini-2025-04-14,93,3,4.2e-05,eval
solver,gpt-4.1-mini-2025-04-14,82,3,3.7600000000000006e-05,eval
solver,gpt-4.1-mini-2025-04-14,106,3,4.72e-05,eval
solver,gpt-4.1-mini-2025-04-14,99,3,4.440000000000001e-05,eval
solver,gpt-4.1-mini-2025-04-14,114,3,5.0400000000000005e-05,eval
solver,gpt-4.1-mini-2025-04-14,85,3,3.8799999999999994e-05,eval
solver,gpt-4.1-mini-2025-04-14,106,3,4.72e-05,eval
solver,gpt-4.1-mini-2025-04-14,105,3,4.68e-05,eval
solver,gpt-4.1-mini-2025-04-14,89,3,4.0400000000000006e-05,eval
solver,gpt-4.1-mini-2025-04-14,86,3,3.9200000000000004e-05,eval
solver,gpt-4.1-mini-2025-04-14,84,3,3.8400000000000005e-05,eval
solver,gpt-4.1-mini-2025-04-14,108,3,4.8e-05,eval
solver,gpt-4.1-mini-2025-04-14,87,3,3.960000000000001e-05,eval
solver,gpt-4.1-mini-2025-04-14,99,3,4.440000000000001e-05,eval
solver,gpt-4.1-mini-2025-04-14,95,3,4.28e-05,eval
solver,gpt-4.1-mini-2025-04-14,100,3,4.48e-05,eval
solver,gpt-4.1-mini-2025-04-14,88,3,4e-05,eval
solver,gpt-4.1-mini-2025-04-14,101,3,4.52e-05,eval
solver,gpt-4.1-mini-2025-04-14,112,3,4.9600000000000006e-05,eval
solver,gpt-4.1-mini-2025-04-14,110,3,4.88e-05,eval
solver,gpt-4.1-mini-2025-04-14,102,3,4.560000000000001e-05,eval
solver,gpt-4.1-mini-2025-04-14,98,3,4.4e-05,eval
solver,gpt-4.1-mini-2025-04-14,109,3,4.8400000000000004e-05,eval
solver,gpt-4.1-mini-2025-04-14,91,3,4.1200000000000005e-05,eval
solver,gpt-4.1-mini-2025-04-14,105,3,4.68e-05,eval
solver,gpt-4.1-mini-2025-04-14,99,3,4.440000000000001e-05,eval
solver,gpt-4.1-mini-2025-04-14,197,3,8.360000000000001e-05,eval
solver,gpt-4.1-mini-2025-04-14,110,3,4.88e-05,eval
solver,gpt-4.1-mini-2025-04-14,90,3,4.0799999999999996e-05,eval
solver,gpt-4.1-mini-2025-04-14,121,3,5.3200000000000006e-05,eval
solver,gpt-4.1-mini-2025-04-14,102,3,4.560000000000001e-05,eval
solver,gpt-4.1-mini-2025-04-14,127,3,5.560000000000001e-05,eval
solver,gpt-4.1-mini-2025-04-14,109,3,4.8400000000000004e-05,eval
solver,gpt-4.1-mini-2025-04-14,111,3,4.92e-05,eval
solver,gpt-4.1-mini-2025-04-14,87,3,3.960000000000001e-05,eval
solver,gpt-4.1-mini-2025-04-14,123,3,5.4e-05,eval
solver,gpt-4.1-mini-2025-04-14,180,3,7.68e-05,eval
solver,gpt-4.1-mini-2025-04-14,115,3,5.0799999999999995e-05,eval
solver,gpt-4.1-mini-2025-04-14,96,3,4.32e-05,eval
solver,gpt-4.1-mini-2025-04-14,116,3,5.1200000000000004e-05,eval
solver,gpt-4.1-mini-2025-04-14,87,3,3.960000000000001e-05,eval
solver,gpt-4.1-mini-2025-04-14,85,3,3.8799999999999994e-05,eval
