role,model,prompt_tokens,completion_tokens,cost_usd,purpose
solver,gpt-4o-mini-2024-07-18,141,70,6.315e-05,eval
solver,gpt-4o-mini-2024-07-18,147,85,7.305e-05,eval
solver,gpt-4o-mini-2024-07-18,140,83,7.08e-05,eval
solver,gpt-4o-mini-2024-07-18,143,70,6.345e-05,eval
solver,gpt-4o-mini-2024-07-18,136,66,6e-05,eval
solver,gpt-4o-mini-2024-07-18,143,84,7.185e-05,eval
solver,gpt-4o-mini-2024-07-18,139,71,6.345e-05,eval
solver,gpt-4o-mini-2024-07-18,135,59,5.565e-05,eval
solver,gpt-4o-mini-2024-07-18,135,63,5.8049999999999995e-05,eval
solver,gpt-4o-mini-2024-07-18,144,72,6.48e-05,eval
solver,gpt-4o-mini-2024-07-18,151,76,6.825e-05,eval
solver,gpt-4o-mini-2024-07-18,140,99,8.04e-05,eval
solver,gpt-4o-mini-2024-07-18,145,91,7.635e-05,eval
solver,gpt-4o-mini-2024-07-18,138,76,6.63e-05,eval
solver,gpt-4o-mini-2024-07-18,140,83,7.08e-05,eval
solver,gpt-4o-mini-2024-07-18,138,75,6.57e-05,eval
solver,gpt-4o-mini-2024-07-18,135,70,6.225e-05,eval
solver,gpt-4o-mini-2024-07-18,135,70,6.225e-05,eval
solver,gpt-4o-mini-2024-07-18,142,88,7.41e-05,eval
solver,gpt-4o-mini-2024-07-18,153,74,6.735e-05,eval
solver,gpt-4o-mini-2024-07-18,141,108,8.594999999999999e-05,eval
solver,gpt-4o-mini-2024-07-18,141,58,5.595e-05,eval
solver,gpt-4o-mini-2024-07-18,142,63,5.909999999999999e-05,eval
solver,gpt-4o-mini-2024-07-18,140,74,6.54e-05,eval
solver,gpt-4o-mini-2024-07-18,145,63,5.955e-05,eval
solver,gpt-4o-mini-2024-07-18,149,83,7.214999999999999e-05,eval
solver,gpt-4o-mini-2024-07-18,138,89,7.41e-05,eval
solver,gpt-4o-mini-2024-07-18,146,61,5.85e-05,eval
solver,gpt-4o-mini-2024-07-18,143,68,6.225e-05,eval
solver,gpt-4o-mini-2024-07-18,140,66,6.06e-05,eval
solver,gpt-4o-mini-2024-07-18,146,74,6.63e-05,eval
solver,gpt-4o-mini-2024-07-18,142,82,7.05e-05,eval
solver,gpt-4o-mini-2024-07-18,139,62,5.8049999999999995e-05,eval
solver,gpt-4o-mini-2024-07-18,138,67,6.089999999999999e-05,eval
solver,gpt-4o-mini-2024-07-18,146,68,6.269999999999999e-05,eval
solver,gpt-4o-mini-2024-07-18,152,83,7.259999999999999e-05,eval
solver,gpt-4o-mini-2024-07-18,140,65,6e-05,eval
solver,gpt-4o-mini-2024-07-18,152,69,6.42e-05,eval
solver,gpt-4o-mini-2024-07-18,137,65,5.955e-05,eval
solver,gpt-4o-mini-2024-07-18,141,60,5.715e-05,eval
solver,gpt-4o-mini-2024-07-18,145,63,5.955e-05,eval
solver,gpt-4o-mini-2024-07-18,140,53,5.2799999999999996e-05,eval
solver,gpt-4o-mini-2024-07-18,146,70,6.39e-05,eval
solver,gpt-4o-mini-2024-07-18,167,78,7.185e-05,eval
solver,gpt-4o-mini-2024-07-18,154,71,6.57e-05,eval
solver,gpt-4o-mini-2024-07-18,142,78,6.809999999999999e-05,eval
solver,gpt-4o-mini-2024-07-18,148,52,5.34e-05,eval
solver,gpt-4o-mini-2024-07-18,137,67,6.075e-05,eval
solver,gpt-4o-mini-2024-07-18,154,78,6.989999999999999e-05,eval
solver,gpt-4o-mini-2024-07-18,144,71,6.42e-05,eval
solver,gpt-4o-mini-2024-07-18,148,62,5.9399999999999994e-05,eval
solver,gpt-4o-mini-2024-07-18,137,60,5.655e-05,eval
solver,gpt-4o-mini-2024-07-18,135,60,5.625e-05,eval
solver,gpt-4o-mini-2024-07-18,148,73,6.6e-05,eval
solver,gpt-4o-mini-2024-07-18,145,67,6.195e-05,eval
solver,gpt-4o-mini-2024-07-18,144,90,7.56e-05,eval
solver,gpt-4o-mini-2024-07-18,156,76,6.9e-05,eval
solver,gpt-4o-mini-2024-07-18,140,67,6.12e-05,eval
solver,gpt-4o-mini-2024-07-18,140,58,5.5799999999999994e-05,eval
