role,model,prompt_tokens,completion_tokens,cost_usd,purpose
solver,claude-haiku-4-5-20251001,147,246,0.0,eval
solver,claude-haiku-4-5-20251001,151,267,0.0,eval
solver,claude-haiku-4-5-20251001,154,260,0.0,eval
solver,claude-haiku-4-5-20251001,153,286,0.0,eval
solver,claude-haiku-4-5-20251001,160,246,0.0,eval
solver,claude-haiku-4-5-20251001,147,253,0.0,eval
solver,claude-haiku-4-5-20251001,150,335,0.0,eval
solver,claude-haiku-4-5-20251001,156,389,0.0,eval
solver,claude-haiku-4-5-20251001,151,232,0.0,eval
solver,claude-haiku-4-5-20251001,162,239,0.0,eval
solver,claude-haiku-4-5-20251001,150,274,0.0,eval
solver,claude-haiku-4-5-20251001,147,235,0.0,eval
solver,claude-haiku-4-5-20251001,158,282,0.0,eval
solver,claude-haiku-4-5-20251001,148,354,0.0,eval
solver,claude-haiku-4-5-20251001,152,329,0.0,eval
solver,claude-haiku-4-5-20251001,147,287,0.0,eval
solver,claude-haiku-4-5-20251001,153,239,0.0,eval
solver,claude-haiku-4-5-20251001,152,284,0.0,eval
solver,claude-haiku-4-5-20251001,156,270,0.0,eval
solver,claude-haiku-4-5-20251001,155,257,0.0,eval
solver,claude-haiku-4-5-20251001,153,280,0.0,eval
solver,claude-haiku-4-5-20251001,149,257,0.0,eval
solver,claude-haiku-4-5-20251001,162,323,0.0,eval
solver,claude-haiku-4-5-20251001,157,250,0.0,eval
solver,claude-haiku-4-5-20251001,157,261,0.0,eval
solver,claude-haiku-4-5-20251001,151,256,0.0,eval
solver,claude-haiku-4-5-20251001,155,219,0.0,eval
solver,claude-haiku-4-5-20251001,163,268,0.0,eval
solver,claude-haiku-4-5-20251001,160,280,0.0,eval
solver,claude-haiku-4-5-20251001,148,211,0.0,eval
solver,claude-haiku-4-5-20251001,168,237,0.0,eval
solver,claude-haiku-4-5-20251001,151,270,0.0,eval
solver,claude-haiku-4-5-20251001,155,279,0.0,eval
solver,claude-haiku-4-5-20251001,157,226,0.0,eval
solver,claude-haiku-4-5-20251001,158,310,0.0,eval
solver,claude-haiku-4-5-20251001,153,272,0.0,eval
solver,claude-haiku-4-5-20251001,154,197,0.0,eval
solver,claude-haiku-4-5-20251001,178,228,0.0,eval
solver,claude-haiku-4-5-20251001,169,303,0.0,eval
solver,claude-haiku-4-5-20251001,159,248,0.0,eval
solver,claude-haiku-4-5-20251001,149,233,0.0,eval
solver,claude-haiku-4-5-20251001,167,227,0.0,eval
