role,model,prompt_tokens,completion_tokens,cost_usd,purpose
solver,claude-haiku-4-5-20251001,113,742,0.0,eval
solver,claude-haiku-4-5-20251001,144,769,0.0,eval
solver,claude-haiku-4-5-20251001,136,764,0.0,eval
solver,claude-haiku-4-5-20251001,205,374,0.0,eval
solver,claude-haiku-4-5-20251001,104,311,0.0,eval
solver,claude-haiku-4-5-20251001,164,867,0.0,eval
solver,claude-haiku-4-5-20251001,185,420,0.0,eval
solver,claude-haiku-4-5-20251001,145,835,0.0,eval
solver,claude-haiku-4-5-20251001,123,491,0.0,eval
solver,claude-haiku-4-5-20251001,152,732,0.0,eval
solver,claude-haiku-4-5-20251001,101,388,0.0,eval
solver,claude-haiku-4-5-20251001,133,447,0.0,eval
solver,claude-haiku-4-5-20251001,126,546,0.0,eval
solver,claude-haiku-4-5-20251001,123,727,0.0,eval
solver,claude-haiku-4-5-20251001,156,590,0.0,eval
solver,claude-haiku-4-5-20251001,156,654,0.0,eval
solver,claude-haiku-4-5-20251001,136,497,0.0,eval
solver,claude-haiku-4-5-20251001,143,369,0.0,eval
solver,claude-haiku-4-5-20251001,178,649,0.0,eval
solver,claude-haiku-4-5-20251001,114,450,0.0,eval
solver,claude-haiku-4-5-20251001,148,923,0.0,eval
solver,claude-haiku-4-5-20251001,104,418,0.0,eval
solver,claude-haiku-4-5-20251001,139,537,0.0,eval
solver,claude-haiku-4-5-20251001,95,1040,0.0,eval
solver,claude-haiku-4-5-20251001,120,458,0.0,eval
solver,claude-haiku-4-5-20251001,112,430,0.0,eval
solver,claude-haiku-4-5-20251001,122,233,0.0,eval
solver,claude-haiku-4-5-20251001,147,843,0.0,eval
solver,claude-haiku-4-5-20251001,118,383,0.0,eval
solver,claude-haiku-4-5-20251001,115,411,0.0,eval
solver,claude-haiku-4-5-20251001,190,569,0.0,eval
solver,claude-haiku-4-5-20251001,156,362,0.0,eval
solver,claude-haiku-4-5-20251001,142,646,0.0,eval
solver,claude-haiku-4-5-20251001,133,578,0.0,eval
solver,claude-haiku-4-5-20251001,119,538,0.0,eval
solver,claude-haiku-4-5-20251001,157,737,0.0,eval
solver,claude-haiku-4-5-20251001,172,477,0.0,eval
solver,claude-haiku-4-5-20251001,186,707,0.0,eval
solver,claude-haiku-4-5-20251001,191,890,0.0,eval
solver,claude-haiku-4-5-20251001,162,1135,0.0,eval
solver,claude-haiku-4-5-20251001,184,508,0.0,eval
solver,claude-haiku-4-5-20251001,128,542,0.0,eval
solver,claude-haiku-4-5-20251001,94,509,0.0,eval
solver,claude-haiku-4-5-20251001,151,812,0.0,eval
solver,claude-haiku-4-5-20251001,117,440,0.0,eval
solver,claude-haiku-4-5-20251001,122,266,0.0,eval
solver,claude-haiku-4-5-20251001,146,1241,0.0,eval
solver,claude-haiku-4-5-20251001,150,579,0.0,eval
solver,claude-haiku-4-5-20251001,116,630,0.0,eval
solver,claude-haiku-4-5-20251001,115,533,0.0,eval
solver,claude-haiku-4-5-20251001,212,524,0.0,eval
solver,claude-haiku-4-5-20251001,136,780,0.0,eval
solver,claude-haiku-4-5-20251001,199,900,0.0,eval
solver,claude-haiku-4-5-20251001,118,293,0.0,eval
solver,claude-haiku-4-5-20251001,94,587,0.0,eval
solver,claude-haiku-4-5-20251001,130,594,0.0,eval
solver,claude-haiku-4-5-20251001,91,488,0.0,eval
solver,claude-haiku-4-5-20251001,150,320,0.0,eval
solver,claude-haiku-4-5-20251001,125,662,0.0,eval
solver,claude-haiku-4-5-20251001,100,358,0.0,eval
solver,claude-haiku-4-5-20251001,123,385,0.0,eval
solver,claude-haiku-4-5-20251001,187,482,0.0,eval
solver,claude-haiku-4-5-20251001,130,1377,0.0,eval
solver,claude-haiku-4-5-20251001,109,421,0.0,eval
solver,claude-haiku-4-5-20251001,160,554,0.0,eval
solver,claude-haiku-4-5-20251001,98,621,0.0,eval
solver,claude-haiku-4-5-20251001,108,471,0.0,reflect:baseline
solver,claude-haiku-4-5-20251001,185,706,0.0,reflect:baseline
solver,claude-haiku-4-5-20251001,136,426,0.0,reflect:baseline
solver,claude-haiku-4-5-20251001,143,1059,0.0,reflect:baseline
solver,claude-haiku-4-5-20251001,152,551,0.0,reflect:baseline
solver,claude-haiku-4-5-20251001,125,441,0.0,reflect:baseline
solver,claude-haiku-4-5-20251001,108,561,0.0,reflect:baseline
solver,claude-haiku-4-5-20251001,164,463,0.0,reflect:baseline
solver,claude-haiku-4-5-20251001,145,457,0.0,reflect:baseline
solver,claude-haiku-4-5-20251001,161,498,0.0,reflect:baseline
solver,claude-haiku-4-5-20251001,209,747,0.0,reflect:baseline
solver,claude-haiku-4-5-20251001,93,299,0.0,reflect:baseline
solver,claude-haiku-4-5-20251001,97,687,0.0,reflect:baseline
solver,claude-haiku-4-5-20251001,96,383,0.0,reflect:baseline
solver,claude-haiku-4-5-20251001,183,644,0.0,reflect:baseline
solver,claude-haiku-4-5-20251001,160,490,0.0,reflect:baseline
solver,claude-haiku-4-5-20251001,112,344,0.0,reflect:baseline
solver,claude-haiku-4-5-20251001,159,437,0.0,reflect:baseline
solver,claude-haiku-4-5-20251001,127,806,0.0,reflect:baseline
solver,claude-haiku-4-5-20251001,139,336,0.0,reflect:baseline
solver,claude-haiku-4-5-20251001,125,544,0.0,reflect:baseline
solver,claude-haiku-4-5-20251001,116,767,0.0,reflect:baseline
solver,claude-haiku-4-5-20251001,176,473,0.0,reflect:baseline
solver,claude-haiku-4-5-20251001,107,498,0.0,reflect:baseline
solver,claude-haiku-4-5-20251001,98,839,0.0,reflect:baseline
solver,claude-haiku-4-5-20251001,144,769,0.0,eval
solver,claude-haiku-4-5-20251001,113,949,0.0,eval
solver,claude-haiku-4-5-20251001,136,764,0.0,eval
solver,claude-haiku-4-5-20251001,104,311,0.0,eval
solver,claude-haiku-4-5-20251001,205,374,0.0,eval
solver,claude-haiku-4-5-20251001,164,867,0.0,eval
solver,claude-haiku-4-5-20251001,185,420,0.0,eval
solver,claude-haiku-4-5-20251001,145,835,0.0,eval
solver,claude-haiku-4-5-20251001,123,398,0.0,eval
solver,claude-haiku-4-5-20251001,101,388,0.0,eval
solver,claude-haiku-4-5-20251001,152,732,0.0,eval
solver,claude-haiku-4-5-20251001,133,447,0.0,eval
solver,claude-haiku-4-5-20251001,126,607,0.0,eval
solver,claude-haiku-4-5-20251001,123,1058,0.0,eval
solver,claude-haiku-4-5-20251001,156,590,0.0,eval
solver,claude-haiku-4-5-20251001,156,654,0.0,eval
solver,claude-haiku-4-5-20251001,136,497,0.0,eval
solver,claude-haiku-4-5-20251001,143,369,0.0,eval
solver,claude-haiku-4-5-20251001,148,901,0.0,eval
solver,claude-haiku-4-5-20251001,178,649,0.0,eval
solver,claude-haiku-4-5-20251001,114,467,0.0,eval
solver,claude-haiku-4-5-20251001,104,418,0.0,eval
solver,claude-haiku-4-5-20251001,95,1040,0.0,eval
solver,claude-haiku-4-5-20251001,139,537,0.0,eval
solver,claude-haiku-4-5-20251001,112,430,0.0,eval
solver,claude-haiku-4-5-20251001,120,458,0.0,eval
solver,claude-haiku-4-5-20251001,122,233,0.0,eval
solver,claude-haiku-4-5-20251001,147,843,0.0,eval
solver,claude-haiku-4-5-20251001,118,383,0.0,eval
solver,claude-haiku-4-5-20251001,115,411,0.0,eval
solver,claude-haiku-4-5-20251001,190,569,0.0,eval
solver,claude-haiku-4-5-20251001,142,646,0.0,eval
solver,claude-haiku-4-5-20251001,156,362,0.0,eval
solver,claude-haiku-4-5-20251001,133,578,0.0,eval
solver,claude-haiku-4-5-20251001,157,813,0.0,eval
solver,claude-haiku-4-5-20251001,119,538,0.0,eval
solver,claude-haiku-4-5-20251001,172,477,0.0,eval
solver,claude-haiku-4-5-20251001,186,707,0.0,eval
solver,claude-haiku-4-5-20251001,191,890,0.0,eval
solver,claude-haiku-4-5-20251001,162,1075,0.0,eval
solver,claude-haiku-4-5-20251001,184,523,0.0,eval
solver,claude-haiku-4-5-20251001,128,542,0.0,eval
solver,claude-haiku-4-5-20251001,94,509,0.0,eval
solver,claude-haiku-4-5-20251001,151,910,0.0,eval
solver,claude-haiku-4-5-20251001,117,581,0.0,eval
solver,claude-haiku-4-5-20251001,122,318,0.0,eval
solver,claude-haiku-4-5-20251001,146,1241,0.0,eval
