role,model,prompt_tokens,completion_tokens,cost_usd,purpose
solver,gpt-4.1-mini-2025-04-14,84,3,3.8400000000000005e-05,eval
solver,gpt-4.1-mini-2025-04-14,82,3,3.7600000000000006e-05,eval
solver,gpt-4.1-mini-2025-04-14,97,3,4.360000000000001e-05,eval
solver,gpt-4.1-mini-2025-04-14,109,3,4.8400000000000004e-05,eval
solver,gpt-4.1-mini-2025-04-14,166,3,7.120000000000001e-05,eval
solver,gpt-4.1-mini-2025-04-14,105,3,4.68e-05,eval
solver,gpt-4.1-mini-2025-04-14,92,3,4.160000000000001e-05,eval
solver,gpt-4.1-mini-2025-04-14,85,3,3.8799999999999994e-05,eval
solver,gpt-4.1-mini-2025-04-14,89,3,4.0400000000000006e-05,eval
solver,gpt-4.1-mini-2025-04-14,164,3,7.04e-05,eval
solver,gpt-4.1-mini-2025-04-14,83,3,3.8e-05,eval
solver,gpt-4.1-mini-2025-04-14,85,3,3.8799999999999994e-05,eval
solver,gpt-4.1-mini-2025-04-14,88,3,4e-05,eval
solver,gpt-4.1-mini-2025-04-14,97,3,4.360000000000001e-05,eval
solver,gpt-4.1-mini-2025-04-14,149,3,6.440000000000001e-05,eval
solver,gpt-4.1-mini-2025-04-14,83,3,3.8e-05,eval
solver,gpt-4.1-mini-2025-04-14,88,30,8.32e-05,eval
solver,gpt-4.1-mini-2025-04-14,191,231,0.000446,eval
solver,gpt-4.1-mini-2025-04-14,195,3,8.28e-05,eval
solver,gpt-4.1-mini-2025-04-14,86,3,3.9200000000000004e-05,eval
solver,gpt-4.1-mini-2025-04-14,85,3,3.8799999999999994e-05,eval
solver,gpt-4.1-mini-2025-04-14,90,3,4.0799999999999996e-05,eval
solver,gpt-4.1-mini-2025-04-14,127,83,0.00018360000000000002,eval
solver,gpt-4.1-mini-2025-04-14,89,3,4.0400000000000006e-05,eval
solver,gpt-4.1-mini-2025-04-14,83,3,3.8e-05,eval
solver,gpt-4.1-mini-2025-04-14,88,3,4e-05,eval
solver,gpt-4.1-mini-2025-04-14,143,149,0.00029560000000000003,eval
solver,gpt-4.1-mini-2025-04-14,156,3,6.720000000000001e-05,eval
solver,gpt-4.1-mini-2025-04-14,107,3,4.760000000000001e-05,eval
solver,gpt-4.1-mini-2025-04-14,81,3,3.72e-05,eval
solver,gpt-4.1-mini-2025-04-14,103,3,4.6e-05,eval
solver,gpt-4.1-mini-2025-04-14,90,3,4.0799999999999996e-05,eval
solver,gpt-4.1-mini-2025-04-14,137,3,5.9600000000000005e-05,eval
solver,gpt-4.1-mini-2025-04-14,96,3,4.32e-05,eval
solver,gpt-4.1-mini-2025-04-14,132,3,5.760000000000001e-05,eval
solver,gpt-4.1-mini-2025-04-14,84,3,3.8400000000000005e-05,eval
solver,gpt-4.1-mini-2025-04-14,104,3,4.64e-05,eval
solver,gpt-4.1-mini-2025-04-14,117,3,5.160000000000001e-05,eval
solver,gpt-4.1-mini-2025-04-14,234,527,0.0009368000000000001,eval
solver,gpt-4.1-mini-2025-04-14,101,3,4.52e-05,eval
solver,gpt-4.1-mini-2025-04-14,82,3,3.7600000000000006e-05,eval
solver,gpt-4.1-mini-2025-04-14,131,3,5.72e-05,eval
solver,gpt-4.1-mini-2025-04-14,86,3,3.9200000000000004e-05,eval
solver,gpt-4.1-mini-2025-04-14,109,3,4.8400000000000004e-05,eval
solver,gpt-4.1-mini-2025-04-14,104,3,4.64e-05,eval
