role,model,prompt_tokens,completion_tokens,cost_usd,purpose
solver,gpt-4.1-mini-2025-04-14,174,386,0.0006872,eval
solver,gpt-4.1-mini-2025-04-14,188,349,0.0006336,eval
solver,gpt-4.1-mini-2025-04-14,107,528,0.0008876,eval
solver,gpt-4.1-mini-2025-04-14,142,740,0.0012408,eval
solver,gpt-4.1-mini-2025-04-14,98,104,0.0002056,eval
solver,gpt-4.1-mini-2025-04-14,98,179,0.0003256,eval
solver,gpt-4.1-mini-2025-04-14,127,190,0.0003548,eval
solver,gpt-4.1-mini-2025-04-14,152,847,0.001416,eval
solver,gpt-4.1-mini-2025-04-14,131,1018,0.0016812000000000003,eval
solver,gpt-4.1-mini-2025-04-14,115,343,0.0005948,eval
solver,gpt-4.1-mini-2025-04-14,131,1071,0.0017660000000000002,eval
solver,gpt-4.1-mini-2025-04-14,146,619,0.0010488000000000001,eval
solver,gpt-4.1-mini-2025-04-14,145,414,0.0007204000000000001,eval
solver,gpt-4.1-mini-2025-04-14,127,337,0.00059,eval
solver,gpt-4.1-mini-2025-04-14,119,767,0.0012748,eval
solver,gpt-4.1-mini-2025-04-14,118,988,0.0016280000000000003,eval
solver,gpt-4.1-mini-2025-04-14,150,351,0.0006216,eval
solver,gpt-4.1-mini-2025-04-14,107,292,0.00051,eval
solver,gpt-4.1-mini-2025-04-14,138,364,0.0006376,eval
solver,gpt-4.1-mini-2025-04-14,100,222,0.00039520000000000007,eval
solver,gpt-4.1-mini-2025-04-14,141,533,0.0009092000000000001,eval
solver,gpt-4.1-mini-2025-04-14,159,450,0.0007836000000000001,eval
solver,gpt-4.1-mini-2025-04-14,92,751,0.0012384000000000002,eval
solver,gpt-4.1-mini-2025-04-14,107,216,0.0003884,eval
solver,gpt-4.1-mini-2025-04-14,138,471,0.0008088,eval
solver,gpt-4.1-mini-2025-04-14,108,193,0.000352,eval
solver,gpt-4.1-mini-2025-04-14,118,232,0.00041840000000000003,eval
solver,gpt-4.1-mini-2025-04-14,133,655,0.0011012,eval
solver,gpt-4.1-mini-2025-04-14,109,338,0.0005844000000000001,eval
solver,gpt-4.1-mini-2025-04-14,116,246,0.00044,eval
solver,gpt-4.1-mini-2025-04-14,133,324,0.0005716,eval
solver,gpt-4.1-mini-2025-04-14,173,503,0.0008740000000000001,eval
solver,gpt-4.1-mini-2025-04-14,113,627,0.0010484000000000001,eval
solver,gpt-4.1-mini-2025-04-14,141,412,0.0007156,eval
solver,gpt-4.1-mini-2025-04-14,164,262,0.0004848000000000001,eval
solver,gpt-4.1-mini-2025-04-14,124,629,0.001056,eval
solver,gpt-4.1-mini-2025-04-14,149,536,0.0009172000000000001,eval
solver,gpt-4.1-mini-2025-04-14,120,251,0.00044960000000000003,eval
solver,gpt-4.1-mini-2025-04-14,167,552,0.00095,eval
solver,gpt-4.1-mini-2025-04-14,114,231,0.00041520000000000006,eval
solver,gpt-4.1-mini-2025-04-14,92,471,0.0007904,eval
solver,gpt-4.1-mini-2025-04-14,179,914,0.001534,eval
solver,gpt-4.1-mini-2025-04-14,120,228,0.0004128,eval
solver,gpt-4.1-mini-2025-04-14,180,797,0.0013472,eval
solver,gpt-4.1-mini-2025-04-14,137,634,0.0010692,eval
solver,gpt-4.1-mini-2025-04-14,109,299,0.000522,eval
solver,gpt-4.1-mini-2025-04-14,153,441,0.0007668000000000001,eval
solver,gpt-4.1-mini-2025-04-14,143,424,0.0007356000000000001,eval
solver,gpt-4.1-mini-2025-04-14,109,339,0.000586,eval
solver,gpt-4.1-mini-2025-04-14,92,61,0.00013440000000000001,eval
solver,gpt-4.1-mini-2025-04-14,114,121,0.00023920000000000001,eval
solver,gpt-4.1-mini-2025-04-14,86,222,0.00038960000000000004,eval
