role,model,prompt_tokens,completion_tokens,cost_usd,purpose
solver,gpt-4o-mini-2024-07-18,137,760,0.00047655,eval
solver,gpt-4o-mini-2024-07-18,207,745,0.00047805,eval
solver,gpt-4o-mini-2024-07-18,177,959,0.00060195,eval
solver,gpt-4o-mini-2024-07-18,234,1072,0.0006783,eval
solver,gpt-4o-mini-2024-07-18,311,1059,0.0006820499999999999,eval
solver,gpt-4o-mini-2024-07-18,178,1070,0.0006687,eval
solver,gpt-4o-mini-2024-07-18,189,1339,0.00083175,eval
solver,gpt-4o-mini-2024-07-18,295,2048,0.00127305,eval
solver,gpt-4o-mini-2024-07-18,161,831,0.00052275,eval
solver,gpt-4o-mini-2024-07-18,197,963,0.0006073499999999999,eval
solver,gpt-4o-mini-2024-07-18,191,801,0.0005092499999999999,eval
solver,gpt-4o-mini-2024-07-18,318,1141,0.0007323000000000001,eval
solver,gpt-4o-mini-2024-07-18,221,886,0.00056475,eval
solver,gpt-4o-mini-2024-07-18,129,747,0.00046755,eval
solver,gpt-4o-mini-2024-07-18,346,1224,0.0007863,eval
solver,gpt-4o-mini-2024-07-18,175,311,0.00021285,eval
solver,gpt-4o-mini-2024-07-18,311,761,0.0005032499999999999,eval
solver,gpt-4o-mini-2024-07-18,219,872,0.00055605,eval
solver,gpt-4o-mini-2024-07-18,342,1057,0.0006854999999999999,eval
solver,gpt-4o-mini-2024-07-18,194,1046,0.0006567000000000001,eval
solver,gpt-4o-mini-2024-07-18,166,1252,0.0007760999999999999,eval
solver,gpt-4o-mini-2024-07-18,186,1227,0.0007640999999999999,eval
solver,gpt-4o-mini-2024-07-18,150,1313,0.0008102999999999999,eval
solver,gpt-4o-mini-2024-07-18,196,1299,0.0008087999999999999,eval
solver,gpt-4o-mini-2024-07-18,208,1165,0.0007302000000000001,eval
solver,gpt-4o-mini-2024-07-18,162,996,0.0006219,eval
solver,gpt-4o-mini-2024-07-18,150,857,0.0005367,eval
solver,gpt-4o-mini-2024-07-18,222,1271,0.0007959,eval
solver,gpt-4o-mini-2024-07-18,276,1129,0.0007187999999999999,eval
solver,gpt-4o-mini-2024-07-18,167,1438,0.0008878499999999999,eval
solver,gpt-4o-mini-2024-07-18,473,564,0.00040934999999999995,reflect:baseline
solver,gpt-4o-mini-2024-07-18,265,902,0.0005809499999999999,reflect:baseline
solver,gpt-4o-mini-2024-07-18,324,755,0.0005016,reflect:baseline
solver,gpt-4o-mini-2024-07-18,230,806,0.0005181,reflect:baseline
solver,gpt-4o-mini-2024-07-18,205,1083,0.0006805499999999999,reflect:baseline
solver,gpt-4o-mini-2024-07-18,272,1060,0.0006768,reflect:baseline
solver,gpt-4o-mini-2024-07-18,243,1089,0.00068985,reflect:baseline
solver,gpt-4o-mini-2024-07-18,137,382,0.00024975,reflect:baseline
solver,gpt-4o-mini-2024-07-18,191,607,0.00039285,reflect:baseline
solver,gpt-4o-mini-2024-07-18,231,1001,0.00063525,reflect:baseline
solver,gpt-4o-mini-2024-07-18,164,2048,0.0012533999999999998,reflect:baseline
solver,gpt-4o-mini-2024-07-18,169,1048,0.0006541499999999999,reflect:baseline
solver,gpt-4o-mini-2024-07-18,155,805,0.00050625,reflect:baseline
solver,gpt-4o-mini-2024-07-18,163,1244,0.00077085,reflect:baseline
solver,gpt-4o-mini-2024-07-18,230,1056,0.0006681,reflect:baseline
solver,gpt-4o-mini-2024-07-18,250,1199,0.0007569,reflect:baseline
solver,gpt-4o-mini-2024-07-18,317,425,0.00030255,reflect:baseline
solver,gpt-4o-mini-2024-07-18,159,916,0.0005734500000000001,reflect:baseline
solver,gpt-4o-mini-2024-07-18,168,1239,0.0007686,reflect:baseline
solver,gpt-4o-mini-2024-07-18,168,962,0.0006024,reflect:baseline
solver,gpt-4o-mini-2024-07-18,193,1016,0.0006385500000000001,reflect:baseline
solver,gpt-4o-mini-2024-07-18,175,1417,0.00087645,reflect:baseline
solver,gpt-4o-mini-2024-07-18,405,1124,0.00073515,reflect:baseline
solver,gpt-4o-mini-2024-07-18,260,552,0.0003702,reflect:baseline
solver,gpt-4o-mini-2024-07-18,196,688,0.0004422,reflect:baseline
solver,gpt-4o-mini-2024-07-18,184,1126,0.0007032000000000001,reflect:baseline
solver,gpt-4o-mini-2024-07-18,153,908,0.00056775,reflect:baseline
solver,gpt-4o-mini-2024-07-18,165,1066,0.0006643500000000001,reflect:baseline
solver,gpt-4o-mini-2024-07-18,154,1035,0.0006441,reflect:baseline
solver,gpt-4o-mini-2024-07-18,289,829,0.00054075,reflect:baseline
solver,gpt-4o-mini-2024-07-18,176,1005,0.0006294,reflect:baseline
solver,gpt-4o-mini-2024-07-18,255,1166,0.0007378500000000001,reflect:baseline
solver,gpt-4o-mini-2024-07-18,172,1268,0.0007865999999999999,reflect:baseline
solver,gpt-4o-mini-2024-07-18,181,1135,0.00070815,reflect:baseline
solver,gpt-4o-mini-2024-07-18,257,1097,0.0006967499999999999,reflect:baseline
solver,gpt-4o-mini-2024-07-18,142,625,0.00039630000000000004,reflect:baseline
solver,gpt-4o-mini-2024-07-18,181,2048,0.00125595,reflect:baseline
solver,gpt-4o-mini-2024-07-18,152,972,0.0006059999999999999,reflect:baseline
solver,gpt-4o-mini-2024-07-18,180,1005,0.00063,reflect:baseline
solver,gpt-4o-mini-2024-07-18,226,1125,0.0007088999999999999,reflect:baseline
solver,gpt-4o-mini-2024-07-18,252,1287,0.0008099999999999998,reflect:baseline
solver,gpt-4o-mini-2024-07-18,181,909,0.0005725499999999999,reflect:baseline
solver,gpt-4o-mini-2024-07-18,194,687,0.0004413,reflect:baseline
solver,gpt-4o-mini-2024-07-18,228,920,0.0005862,reflect:baseline
solver,gpt-4o-mini-2024-07-18,155,1378,0.00085005,reflect:baseline
solver,gpt-4o-mini-2024-07-18,168,1034,0.0006456,reflect:baseline
solver,gpt-4o-mini-2024-07-18,323,731,0.00048704999999999994,reflect:baseline
solver,gpt-4o-mini-2024-07-18,194,1050,0.0006591,reflect:baseline
solver,gpt-4o-mini-2024-07-18,182,931,0.0005859,reflect:baseline
