role,model,prompt_tokens,completion_tokens,cost_usd,purpose
solver,gpt-4o-mini-2024-07-18,372,4,5.82e-05,eval
solver,gpt-4o-mini-2024-07-18,197,4,3.195e-05,eval
solver,gpt-4o-mini-2024-07-18,211,4,3.4049999999999994e-05,eval
solver,gpt-4o-mini-2024-07-18,312,4,4.9199999999999997e-05,eval
solver,gpt-4o-mini-2024-07-18,270,4,4.29e-05,eval
solver,gpt-4o-mini-2024-07-18,277,4,4.395e-05,eval
solver,gpt-4o-mini-2024-07-18,483,4,7.485e-05,eval
solver,gpt-4o-mini-2024-07-18,267,4,4.2449999999999995e-05,eval
solver,gpt-4o-mini-2024-07-18,328,4,5.1599999999999994e-05,eval
solver,gpt-4o-mini-2024-07-18,194,4,3.149999999999999e-05,eval
solver,gpt-4o-mini-2024-07-18,255,4,4.065e-05,eval
solver,gpt-4o-mini-2024-07-18,261,4,4.155e-05,eval
solver,gpt-4o-mini-2024-07-18,408,4,6.36e-05,eval
solver,gpt-4o-mini-2024-07-18,368,4,5.76e-05,eval
solver,gpt-4o-mini-2024-07-18,515,4,7.965000000000001e-05,eval
solver,gpt-4o-mini-2024-07-18,425,4,6.615000000000001e-05,eval
solver,gpt-4o-mini-2024-07-18,208,4,3.3600000000000004e-05,eval
solver,gpt-4o-mini-2024-07-18,306,4,4.8299999999999995e-05,eval
solver,gpt-4o-mini-2024-07-18,579,4,8.925e-05,eval
solver,gpt-4o-mini-2024-07-18,187,4,3.0449999999999998e-05,eval
solver,gpt-4o-mini-2024-07-18,272,4,4.319999999999999e-05,eval
solver,gpt-4o-mini-2024-07-18,197,4,3.195e-05,eval
solver,gpt-4o-mini-2024-07-18,297,4,4.6949999999999996e-05,eval
solver,gpt-4o-mini-2024-07-18,268,4,4.259999999999999e-05,eval
solver,gpt-4o-mini-2024-07-18,101,4,1.7549999999999996e-05,eval
solver,gpt-4o-mini-2024-07-18,256,4,4.0799999999999996e-05,eval
solver,gpt-4o-mini-2024-07-18,240,4,3.84e-05,eval
solver,gpt-4o-mini-2024-07-18,180,4,2.94e-05,eval
solver,gpt-4o-mini-2024-07-18,211,4,3.4049999999999994e-05,eval
solver,gpt-4o-mini-2024-07-18,471,4,7.305e-05,eval
solver,gpt-4o-mini,0,0,0.0,eval
solver,gpt-4o-mini-2024-07-18,310,4,4.8899999999999996e-05,eval
solver,gpt-4o-mini-2024-07-18,255,4,4.065e-05,eval
solver,gpt-4o-mini-2024-07-18,108,4,1.8599999999999998e-05,eval
solver,gpt-4o-mini-2024-07-18,351,4,5.5049999999999996e-05,eval
solver,gpt-4o-mini-2024-07-18,443,4,6.885e-05,eval
solver,gpt-4o-mini-2024-07-18,298,4,4.709999999999999e-05,eval
solver,gpt-4o-mini-2024-07-18,418,4,6.51e-05,eval
solver,gpt-4o-mini-2024-07-18,287,4,4.5449999999999993e-05,eval
solver,gpt-4o-mini-2024-07-18,226,4,3.6299999999999995e-05,eval
solver,gpt-4o-mini-2024-07-18,311,4,4.905e-05,eval
