role,model,prompt_tokens,completion_tokens,cost_usd,purpose
solver,gpt-4o-mini-2024-07-18,107,264,0.00017445,eval
solver,gpt-4o-mini-2024-07-18,131,262,0.00017685,eval
solver,gpt-4o-mini-2024-07-18,131,815,0.00050865,eval
solver,gpt-4o-mini-2024-07-18,98,4,1.71e-05,eval
solver,gpt-4o-mini-2024-07-18,142,400,0.0002613,eval
solver,gpt-4o-mini-2024-07-18,152,964,0.0006012,eval
solver,gpt-4o-mini-2024-07-18,174,547,0.0003543,eval
solver,gpt-4o-mini-2024-07-18,98,4,1.71e-05,eval
solver,gpt-4o-mini-2024-07-18,118,900,0.0005577000000000001,eval
solver,gpt-4o-mini-2024-07-18,127,4,2.145e-05,eval
solver,gpt-4o-mini-2024-07-18,146,791,0.0004965,eval
solver,gpt-4o-mini-2024-07-18,119,920,0.00056985,eval
solver,gpt-4o-mini-2024-07-18,115,382,0.00024645,eval
solver,gpt-4o-mini-2024-07-18,145,244,0.00016815,eval
solver,gpt-4o-mini-2024-07-18,150,467,0.0003027,eval
solver,gpt-4o-mini-2024-07-18,141,276,0.00018675,eval
solver,gpt-4o-mini-2024-07-18,127,458,0.00029385,eval
solver,gpt-4o-mini-2024-07-18,138,240,0.0001647,eval
solver,gpt-4o-mini-2024-07-18,159,275,0.00018884999999999998,eval
solver,gpt-4o-mini-2024-07-18,107,470,0.00029805,eval
solver,gpt-4o-mini-2024-07-18,92,719,0.0004452,eval
solver,gpt-4o-mini-2024-07-18,100,381,0.00024359999999999999,eval
solver,gpt-4o-mini-2024-07-18,133,636,0.00040155,eval
solver,gpt-4o-mini-2024-07-18,138,375,0.0002457,eval
solver,gpt-4o-mini-2024-07-18,107,300,0.00019605000000000002,eval
solver,gpt-4o-mini-2024-07-18,118,397,0.0002559,eval
solver,gpt-4o-mini-2024-07-18,108,414,0.0002646,eval
solver,gpt-4o-mini-2024-07-18,113,589,0.00037035,eval
solver,gpt-4o-mini-2024-07-18,173,289,0.00019935,eval
solver,gpt-4o-mini-2024-07-18,109,418,0.00026714999999999996,eval
solver,gpt-4o-mini-2024-07-18,133,302,0.00020114999999999998,eval
solver,gpt-4o-mini-2024-07-18,149,699,0.00044175,eval
solver,gpt-4o-mini-2024-07-18,124,554,0.000351,eval
solver,gpt-4o-mini-2024-07-18,116,376,0.000243,eval
solver,gpt-4o-mini-2024-07-18,141,235,0.00016215,eval
solver,gpt-4o-mini-2024-07-18,164,298,0.00020339999999999998,eval
solver,gpt-4o-mini-2024-07-18,180,861,0.0005436,eval
solver,gpt-4o-mini-2024-07-18,153,231,0.00016154999999999997,eval
