role,model,prompt_tokens,completion_tokens,cost_usd,purpose
solver,mock-solver,98,14,0.0,eval
solver,mock-solver,98,14,0.0,eval
solver,mock-solver,98,14,0.0,eval
solver,mock-solver,98,14,0.0,eval
solver,mock-solver,98,14,0.0,eval
solver,mock-solver,98,14,0.0,eval
solver,mock-solver,98,14,0.0,simple:baseline
solver,mock-solver,98,14,0.0,simple:baseline
solver,mock-solver,98,14,0.0,simple:baseline
solver,mock-solver,98,14,0.0,simple:baseline
solver,mock-solver,98,14,0.0,simple:baseline
solver,mock-solver,98,14,0.0,simple:baseline-val
solver,mock-solver,98,14,0.0,simple:baseline-val
solver,mock-solver,98,14,0.0,simple:baseline-val
optimizer,mock-optimizer,913,88,0.0,simple:rewrite-r1
optimizer,mock-optimizer,913,88,0.0,simple:rewrite-r2
solver,mock-solver,98,14,0.0,eval
solver,mock-solver,98,14,0.0,eval
solver,mock-solver,98,14,0.0,eval
solver,mock-solver,98,14,0.0,eval
solver,mock-solver,98,14,0.0,eval
solver,mock-solver,98,14,0.0,eval
