round,example_id,correct,pred,gold,section
1,hearsay_test_3,True,No,No,
1,hearsay_train_2,False,Yes,No,context
1,hearsay_train_1,True,Yes,Yes,
1,hearsay_test_15,True,No,No,
1,hearsay_test_57,True,Yes,Yes,
1,hearsay_test_11,True,No,No,
1,hearsay_test_39,False,No,Yes,constraints
1,hearsay_test_58,True,Yes,Yes,
1,hearsay_test_48,True,Yes,Yes,
1,hearsay_test_35,True,Yes,Yes,
1,hearsay_test_34,True,Yes,Yes,
1,hearsay_test_86,False,Yes,No,context
1,hearsay_test_10,True,No,No,
1,hearsay_test_22,True,No,No,
1,hearsay_test_43,True,Yes,Yes,
1,hearsay_test_73,True,Yes,Yes,
1,hearsay_train_3,True,No,No,
1,hearsay_test_12,True,No,No,
1,hearsay_test_85,False,Yes,No,context
1,hearsay_test_4,True,No,No,
1,hearsay_test_61,True,Yes,Yes,
1,hearsay_test_56,True,Yes,Yes,
1,hearsay_test_53,True,No,No,
1,hearsay_test_42,True,Yes,Yes,
1,hearsay_train_4,False,No,Yes,constraints
2,hearsay_test_3,True,No,No,
2,hearsay_train_2,False,Yes,No,context
2,hearsay_train_1,True,Yes,Yes,
2,hearsay_test_15,True,No,No,
2,hearsay_test_57,True,Yes,Yes,
2,hearsay_test_11,True,No,No,
2,hearsay_test_39,False,No,Yes,constraints
2,hearsay_test_58,True,Yes,Yes,
2,hearsay_test_48,True,Yes,Yes,
2,hearsay_test_35,True,Yes,Yes,
2,hearsay_test_34,True,Yes,Yes,
2,hearsay_test_86,False,Yes,No,context
2,hearsay_test_10,True,No,No,
2,hearsay_test_22,True,No,No,
2,hearsay_test_43,True,Yes,Yes,
2,hearsay_test_73,True,Yes,Yes,
2,hearsay_train_3,True,No,No,
2,hearsay_test_12,True,No,No,
2,hearsay_test_85,False,Yes,No,context
2,hearsay_test_4,True,No,No,
2,hearsay_test_61,True,Yes,Yes,
2,hearsay_test_56,True,Yes,Yes,
2,hearsay_test_53,True,No,No,
2,hearsay_test_42,True,Yes,Yes,
2,hearsay_train_4,False,No,Yes,constraints
3,hearsay_test_3,True,No,No,
3,hearsay_train_2,False,Yes,No,context
3,hearsay_train_1,True,Yes,Yes,
3,hearsay_test_15,False,Yes,No,context
3,hearsay_test_57,True,Yes,Yes,
3,hearsay_test_11,True,No,No,
3,hearsay_test_39,True,Yes,Yes,
3,hearsay_test_58,True,Yes,Yes,
3,hearsay_test_48,True,Yes,Yes,
3,hearsay_test_35,True,Yes,Yes,
3,hearsay_test_34,True,Yes,Yes,
3,hearsay_test_86,False,Yes,No,context
3,hearsay_test_10,True,No,No,
3,hearsay_test_22,True,No,No,
3,hearsay_test_43,True,Yes,Yes,
3,hearsay_test_73,True,Yes,Yes,
3,hearsay_train_3,True,No,No,
3,hearsay_test_12,True,No,No,
3,hearsay_test_85,False,Yes,No,context
3,hearsay_test_4,True,No,No,
3,hearsay_test_61,True,Yes,Yes,
3,hearsay_test_56,True,Yes,Yes,
3,hearsay_test_53,True,No,No,
3,hearsay_test_42,True,Yes,Yes,
3,hearsay_train_4,True,Yes,Yes,
4,hearsay_test_3,True,No,No,
4,hearsay_train_2,False,Yes,No,context
4,hearsay_train_1,True,Yes,Yes,
4,hearsay_test_15,False,Yes,No,context
4,hearsay_test_57,True,Yes,Yes,
4,hearsay_test_11,True,No,No,
4,hearsay_test_39,True,Yes,Yes,
4,hearsay_test_58,True,Yes,Yes,
4,hearsay_test_48,True,Yes,Yes,
4,hearsay_test_35,True,Yes,Yes,
4,hearsay_test_34,True,Yes,Yes,
4,hearsay_test_86,False,Yes,No,context
4,hearsay_test_10,True,No,No,
4,hearsay_test_22,True,No,No,
4,hearsay_test_43,True,Yes,Yes,
4,hearsay_test_73,True,Yes,Yes,
4,hearsay_train_3,True,No,No,
4,hearsay_test_12,True,No,No,
4,hearsay_test_85,False,Yes,No,context
4,hearsay_test_4,True,No,No,
4,hearsay_test_61,True,Yes,Yes,
4,hearsay_test_56,True,Yes,Yes,
4,hearsay_test_53,True,No,No,
4,hearsay_test_42,True,Yes,Yes,
4,hearsay_train_4,True,Yes,Yes,
5,hearsay_test_3,True,No,No,
5,hearsay_train_2,False,Yes,No,context
5,hearsay_train_1,True,Yes,Yes,
5,hearsay_test_15,False,Yes,No,constraints
5,hearsay_test_57,True,Yes,Yes,
5,hearsay_test_11,True,No,No,
5,hearsay_test_39,True,Yes,Yes,
5,hearsay_test_58,True,Yes,Yes,
5,hearsay_test_48,True,Yes,Yes,
5,hearsay_test_35,True,Yes,Yes,
5,hearsay_test_34,True,Yes,Yes,
5,hearsay_test_86,False,Yes,No,context
5,hearsay_test_10,True,No,No,
5,hearsay_test_22,True,No,No,
5,hearsay_test_43,True,Yes,Yes,
5,hearsay_test_73,True,Yes,Yes,
5,hearsay_train_3,True,No,No,
5,hearsay_test_12,True,No,No,
5,hearsay_test_85,False,Yes,No,constraints
5,hearsay_test_4,True,No,No,
5,hearsay_test_61,True,Yes,Yes,
5,hearsay_test_56,True,Yes,Yes,
5,hearsay_test_53,True,No,No,
5,hearsay_test_42,True,Yes,Yes,
5,hearsay_train_4,True,Yes,Yes,
