role,model,prompt_tokens,completion_tokens,cost_usd,purpose
solver,gpt-4o-mini-2024-07-18,157,63,6.135e-05,eval
solver,gpt-4o-mini-2024-07-18,145,63,5.955e-05,eval
solver,gpt-4o-mini-2024-07-18,139,74,6.525e-05,eval
solver,gpt-4o-mini-2024-07-18,148,62,5.9399999999999994e-05,eval
solver,gpt-4o-mini-2024-07-18,146,73,6.569999999999998e-05,eval
solver,gpt-4o-mini-2024-07-18,144,65,6.0599999999999996e-05,eval
solver,gpt-4o-mini-2024-07-18,145,62,5.8949999999999996e-05,eval
solver,gpt-4o-mini-2024-07-18,140,99,8.04e-05,eval
solver,gpt-4o-mini-2024-07-18,140,84,7.14e-05,eval
solver,gpt-4o-mini-2024-07-18,143,103,8.325e-05,eval
solver,gpt-4o-mini-2024-07-18,143,66,6.104999999999999e-05,eval
solver,gpt-4o-mini-2024-07-18,141,61,5.775e-05,eval
solver,gpt-4o-mini-2024-07-18,140,74,6.54e-05,eval
solver,gpt-4o-mini-2024-07-18,144,91,7.620000000000001e-05,eval
solver,gpt-4o-mini-2024-07-18,152,94,7.92e-05,eval
solver,gpt-4o-mini-2024-07-18,145,63,5.955e-05,eval
solver,gpt-4o-mini-2024-07-18,154,66,6.27e-05,eval
solver,gpt-4o-mini-2024-07-18,139,90,7.484999999999999e-05,eval
solver,gpt-4o-mini-2024-07-18,146,86,7.35e-05,eval
solver,gpt-4o-mini-2024-07-18,138,83,7.05e-05,eval
solver,gpt-4o-mini-2024-07-18,137,58,5.535e-05,eval
solver,gpt-4o-mini-2024-07-18,167,101,8.565e-05,eval
solver,gpt-4o-mini-2024-07-18,152,80,7.08e-05,eval
solver,gpt-4o-mini-2024-07-18,148,84,7.259999999999999e-05,eval
solver,gpt-4o-mini-2024-07-18,141,70,6.315e-05,eval
solver,gpt-4o-mini-2024-07-18,145,80,6.975e-05,eval
solver,gpt-4o-mini-2024-07-18,142,59,5.67e-05,eval
solver,gpt-4o-mini-2024-07-18,138,81,6.929999999999999e-05,eval
solver,gpt-4o-mini-2024-07-18,148,52,5.34e-05,eval
solver,gpt-4o-mini-2024-07-18,154,78,6.989999999999999e-05,eval
solver,gpt-4o-mini-2024-07-18,146,89,7.53e-05,eval
solver,gpt-4o-mini-2024-07-18,140,70,6.3e-05,eval
solver,gpt-4o-mini-2024-07-18,142,65,6.0299999999999995e-05,eval
solver,gpt-4o-mini-2024-07-18,146,70,6.39e-05,eval
solver,gpt-4o-mini-2024-07-18,145,69,6.315e-05,eval
solver,gpt-4o-mini-2024-07-18,140,66,6.06e-05,eval
solver,gpt-4o-mini-2024-07-18,152,74,6.720000000000001e-05,eval
solver,gpt-4o-mini-2024-07-18,152,70,6.48e-05,eval
solver,gpt-4o-mini-2024-07-18,147,101,8.264999999999999e-05,eval
solver,gpt-4o-mini-2024-07-18,149,58,5.714999999999999e-05,eval
solver,gpt-4o-mini-2024-07-18,149,86,7.395000000000001e-05,eval
solver,gpt-4o-mini-2024-07-18,142,66,6.09e-05,eval
solver,gpt-4o-mini-2024-07-18,170,74,6.99e-05,eval
solver,gpt-4o-mini-2024-07-18,140,53,5.2799999999999996e-05,eval
solver,gpt-4o-mini-2024-07-18,151,95,7.965000000000001e-05,eval
solver,gpt-4o-mini-2024-07-18,149,83,7.214999999999999e-05,eval
solver,gpt-4o-mini-2024-07-18,142,73,6.51e-05,eval
solver,gpt-4o-mini-2024-07-18,146,76,6.75e-05,eval
solver,gpt-4o-mini-2024-07-18,153,68,6.375e-05,eval
solver,gpt-4o-mini-2024-07-18,146,74,6.63e-05,eval
solver,gpt-4o-mini-2024-07-18,140,81,6.96e-05,eval
solver,gpt-4o-mini-2024-07-18,138,68,6.15e-05,eval
solver,gpt-4o-mini-2024-07-18,144,59,5.7e-05,eval
solver,gpt-4o-mini-2024-07-18,141,60,5.715e-05,eval
solver,gpt-4o-mini-2024-07-18,141,61,5.775e-05,eval
solver,gpt-4o-mini-2024-07-18,145,89,7.515000000000001e-05,eval
solver,gpt-4o-mini-2024-07-18,139,59,5.625e-05,eval
solver,gpt-4o-mini-2024-07-18,140,65,6e-05,eval
solver,gpt-4o-mini-2024-07-18,135,80,6.825e-05,eval
solver,gpt-4o-mini-2024-07-18,138,54,5.3099999999999996e-05,eval
solver,gpt-4o-mini-2024-07-18,137,72,6.375e-05,eval
solver,gpt-4o-mini-2024-07-18,156,95,8.04e-05,eval
solver,gpt-4o-mini-2024-07-18,150,67,6.269999999999999e-05,eval
