role,model,prompt_tokens,completion_tokens,cost_usd,purpose
solver,gpt-4o-mini-2024-07-18,93,91,6.855e-05,eval
solver,gpt-4o-mini-2024-07-18,88,155,0.0001062,eval
solver,gpt-4o-mini-2024-07-18,101,195,0.00013215000000000001,eval
solver,gpt-4o-mini-2024-07-18,137,181,0.00012915,eval
solver,gpt-4o-mini-2024-07-18,99,300,0.00019485,eval
solver,gpt-4o-mini-2024-07-18,97,323,0.00020835,eval
solver,gpt-4o-mini-2024-07-18,145,322,0.00021495,eval
solver,gpt-4o-mini-2024-07-18,145,385,0.00025275,eval
solver,gpt-4o-mini-2024-07-18,100,184,0.00012539999999999999,eval
solver,gpt-4o-mini-2024-07-18,96,164,0.00011279999999999998,eval
solver,gpt-4o-mini-2024-07-18,98,205,0.00013769999999999999,eval
solver,gpt-4o-mini-2024-07-18,152,205,0.00014580000000000002,eval
solver,gpt-4o-mini-2024-07-18,133,190,0.00013394999999999998,eval
solver,gpt-4o-mini-2024-07-18,112,299,0.00019620000000000003,eval
solver,gpt-4o-mini-2024-07-18,94,141,9.869999999999999e-05,eval
solver,gpt-4o-mini-2024-07-18,136,154,0.00011279999999999998,eval
solver,gpt-4o-mini-2024-07-18,128,300,0.0001992,eval
solver,gpt-4o-mini-2024-07-18,101,249,0.00016455000000000002,eval
solver,gpt-4o-mini-2024-07-18,122,351,0.0002289,eval
solver,gpt-4o-mini-2024-07-18,111,121,8.925e-05,eval
solver,gpt-4o-mini-2024-07-18,130,157,0.0001137,eval
solver,gpt-4o-mini-2024-07-18,106,231,0.0001545,eval
solver,gpt-4o-mini-2024-07-18,121,239,0.00016155000000000002,eval
solver,gpt-4o-mini-2024-07-18,106,240,0.0001599,eval
solver,gpt-4o-mini-2024-07-18,95,140,9.825e-05,eval
solver,gpt-4o-mini-2024-07-18,137,143,0.00010635,eval
solver,gpt-4o-mini-2024-07-18,81,198,0.00013094999999999998,eval
solver,gpt-4o-mini-2024-07-18,127,224,0.00015345000000000002,eval
solver,gpt-4o-mini-2024-07-18,119,142,0.00010305,eval
solver,gpt-4o-mini-2024-07-18,101,196,0.00013275,eval
solver,gpt-4o-mini-2024-07-18,104,258,0.00017039999999999997,eval
solver,gpt-4o-mini-2024-07-18,117,209,0.00014294999999999998,eval
solver,gpt-4o-mini-2024-07-18,101,112,8.235e-05,eval
solver,gpt-4o-mini-2024-07-18,109,186,0.00012795,eval
solver,gpt-4o-mini-2024-07-18,120,268,0.00017879999999999998,eval
solver,gpt-4o-mini-2024-07-18,175,401,0.00026685,eval
solver,gpt-4o-mini-2024-07-18,89,141,9.794999999999998e-05,eval
solver,gpt-4o-mini-2024-07-18,114,178,0.0001239,eval
solver,gpt-4o-mini-2024-07-18,132,232,0.000159,eval
solver,gpt-4o-mini-2024-07-18,94,162,0.0001113,eval
solver,gpt-4o-mini-2024-07-18,119,284,0.00018825,eval
solver,gpt-4o-mini-2024-07-18,114,201,0.00013769999999999999,eval
solver,gpt-4o-mini-2024-07-18,102,157,0.0001095,eval
solver,gpt-4o-mini-2024-07-18,90,212,0.00014069999999999998,eval
solver,gpt-4o-mini-2024-07-18,117,328,0.00021435,eval
solver,gpt-4o-mini-2024-07-18,150,222,0.0001557,eval
solver,gpt-4o-mini-2024-07-18,103,319,0.00020684999999999999,eval
solver,gpt-4o-mini-2024-07-18,110,156,0.00011009999999999999,eval
solver,gpt-4o-mini-2024-07-18,82,85,6.33e-05,eval
solver,gpt-4o-mini-2024-07-18,133,370,0.00024195,eval
solver,gpt-4o-mini-2024-07-18,125,91,7.335e-05,eval
solver,gpt-4o-mini-2024-07-18,100,358,0.00022979999999999997,eval
solver,gpt-4o-mini-2024-07-18,78,59,4.709999999999999e-05,eval
solver,gpt-4o-mini-2024-07-18,115,236,0.00015884999999999999,eval
solver,gpt-4o-mini-2024-07-18,127,212,0.00014625,eval
solver,gpt-4o-mini-2024-07-18,97,180,0.00012255,eval
solver,gpt-4o-mini-2024-07-18,133,293,0.00019574999999999996,eval
solver,gpt-4o-mini-2024-07-18,137,334,0.00022095,eval
solver,gpt-4o-mini-2024-07-18,128,509,0.0003246,eval
solver,gpt-4o-mini-2024-07-18,118,308,0.00020249999999999996,eval
solver,gpt-4o-mini-2024-07-18,144,264,0.00018,eval
solver,gpt-4o-mini-2024-07-18,97,203,0.00013635,eval
solver,gpt-4o-mini-2024-07-18,91,108,7.845000000000001e-05,eval
solver,gpt-4o-mini-2024-07-18,168,262,0.0001824,eval
solver,gpt-4o-mini-2024-07-18,109,258,0.00017114999999999999,eval
solver,gpt-4o-mini-2024-07-18,97,552,0.00034575,eval
solver,gpt-4o-mini-2024-07-18,116,174,0.00012179999999999998,eval
solver,gpt-4o-mini-2024-07-18,93,189,0.00012735,eval
solver,gpt-4o-mini-2024-07-18,123,200,0.00013844999999999998,eval
solver,gpt-4o-mini-2024-07-18,159,315,0.00021285,eval
solver,gpt-4o-mini-2024-07-18,120,259,0.0001734,eval
solver,gpt-4o-mini-2024-07-18,101,125,9.015000000000001e-05,eval
solver,gpt-4o-mini-2024-07-18,135,218,0.00015104999999999999,eval
solver,gpt-4o-mini-2024-07-18,157,393,0.00025935,eval
solver,gpt-4o-mini-2024-07-18,116,265,0.0001764,eval
solver,gpt-4o-mini-2024-07-18,89,112,8.054999999999999e-05,eval
solver,gpt-4o-mini-2024-07-18,107,116,8.565e-05,eval
solver,gpt-4o-mini-2024-07-18,110,253,0.00016829999999999997,eval
