role,model,prompt_tokens,completion_tokens,cost_usd,purpose
solver,gpt-4o-mini-2024-07-18,131,262,0.00017685,eval
solver,gpt-4o-mini-2024-07-18,107,391,0.00025065,eval
solver,gpt-4o-mini-2024-07-18,131,733,0.00045945,eval
solver,gpt-4o-mini-2024-07-18,98,4,1.71e-05,eval
solver,gpt-4o-mini-2024-07-18,188,475,0.00031319999999999997,eval
solver,gpt-4o-mini-2024-07-18,142,402,0.0002625,eval
solver,gpt-4o-mini-2024-07-18,174,537,0.0003483,eval
solver,gpt-4o-mini-2024-07-18,152,976,0.0006083999999999999,eval
solver,gpt-4o-mini-2024-07-18,98,4,1.71e-05,eval
solver,gpt-4o-mini-2024-07-18,127,4,2.145e-05,eval
solver,gpt-4o-mini-2024-07-18,118,536,0.00033929999999999995,eval
solver,gpt-4o-mini-2024-07-18,115,524,0.00033164999999999996,eval
solver,gpt-4o-mini-2024-07-18,146,791,0.0004965,eval
solver,gpt-4o-mini-2024-07-18,119,766,0.00047745,eval
solver,gpt-4o-mini-2024-07-18,145,221,0.00015434999999999998,eval
solver,gpt-4o-mini-2024-07-18,127,384,0.00024944999999999996,eval
solver,gpt-4o-mini-2024-07-18,150,585,0.0003735,eval
solver,gpt-4o-mini-2024-07-18,141,375,0.00024615,eval
solver,gpt-4o-mini-2024-07-18,138,335,0.0002217,eval
solver,gpt-4o-mini-2024-07-18,159,284,0.00019425,eval
solver,gpt-4o-mini-2024-07-18,107,469,0.00029745,eval
solver,gpt-4o-mini-2024-07-18,92,646,0.0004014,eval
solver,gpt-4o-mini-2024-07-18,100,381,0.00024359999999999999,eval
solver,gpt-4o-mini-2024-07-18,133,517,0.00033015,eval
solver,gpt-4o-mini-2024-07-18,107,362,0.00023325,eval
solver,gpt-4o-mini-2024-07-18,138,394,0.00025709999999999996,eval
solver,gpt-4o-mini-2024-07-18,113,588,0.00036975,eval
solver,gpt-4o-mini-2024-07-18,118,397,0.0002559,eval
solver,gpt-4o-mini-2024-07-18,108,410,0.0002622,eval
solver,gpt-4o-mini-2024-07-18,173,293,0.00020174999999999997,eval
solver,gpt-4o-mini-2024-07-18,133,250,0.00016994999999999998,eval
solver,gpt-4o-mini-2024-07-18,109,418,0.00026714999999999996,eval
solver,gpt-4o-mini-2024-07-18,149,616,0.00039195,eval
solver,gpt-4o-mini-2024-07-18,116,376,0.000243,eval
solver,gpt-4o-mini-2024-07-18,124,554,0.000351,eval
solver,gpt-4o-mini-2024-07-18,141,266,0.00018075,eval
solver,gpt-4o-mini-2024-07-18,164,275,0.0001896,eval
solver,gpt-4o-mini-2024-07-18,153,228,0.00015974999999999998,eval
solver,gpt-4o-mini-2024-07-18,179,592,0.00038205,eval
solver,gpt-4o-mini-2024-07-18,180,872,0.0005501999999999999,eval
solver,gpt-4o-mini-2024-07-18,120,305,0.000201,eval
solver,gpt-4o-mini-2024-07-18,167,498,0.00032385000000000004,eval
solver,gpt-4o-mini-2024-07-18,92,512,0.000321,eval
solver,gpt-4o-mini-2024-07-18,137,458,0.00029535,eval
solver,gpt-4o-mini-2024-07-18,120,366,0.0002376,eval
solver,gpt-4o-mini-2024-07-18,114,382,0.00024629999999999997,eval
solver,gpt-4o-mini-2024-07-18,140,956,0.0005946,eval
solver,gpt-4o-mini-2024-07-18,143,4,2.3849999999999997e-05,eval
solver,gpt-4o-mini-2024-07-18,188,266,0.00018779999999999998,eval
solver,gpt-4o-mini-2024-07-18,109,394,0.00025275,eval
solver,gpt-4o-mini-2024-07-18,109,381,0.00024494999999999996,eval
solver,gpt-4o-mini-2024-07-18,92,4,1.62e-05,eval
solver,gpt-4o-mini-2024-07-18,131,310,0.00020565,eval
solver,gpt-4o-mini-2024-07-18,114,227,0.00015329999999999999,eval
solver,gpt-4o-mini-2024-07-18,198,843,0.0005355,eval
solver,gpt-4o-mini-2024-07-18,128,740,0.0004632,eval
solver,gpt-4o-mini-2024-07-18,86,292,0.0001881,eval
solver,gpt-4o-mini-2024-07-18,96,4,1.68e-05,eval
solver,gpt-4o-mini-2024-07-18,143,177,0.00012765,eval
solver,gpt-4o-mini-2024-07-18,114,465,0.00029610000000000004,eval
solver,gpt-4o-mini-2024-07-18,119,927,0.00057405,eval
solver,gpt-4o-mini-2024-07-18,126,695,0.00043589999999999997,eval
solver,gpt-4o-mini-2024-07-18,154,4,2.5499999999999996e-05,eval
solver,gpt-4o-mini-2024-07-18,172,374,0.0002502,eval
solver,gpt-4o-mini-2024-07-18,106,424,0.00027029999999999996,eval
solver,gpt-4o-mini-2024-07-18,94,567,0.0003543,eval
solver,gpt-4o-mini-2024-07-18,134,189,0.0001335,reflect:baseline
solver,gpt-4o-mini-2024-07-18,176,314,0.00021480000000000002,reflect:baseline
