round,example_id,correct,pred,gold,section
1,arc_train_1111,True,C,C,
1,arc_train_385,True,A,A,
1,arc_train_627,True,D,D,
1,arc_train_1065,True,A,A,
1,arc_train_437,True,B,B,
1,arc_train_738,True,C,C,
1,arc_train_272,True,C,C,
1,arc_train_522,True,B,B,
1,arc_train_623,True,C,C,
1,arc_train_758,True,A,A,
2,arc_train_1111,True,C,C,
2,arc_train_385,True,A,A,
2,arc_train_627,True,D,D,
2,arc_train_1065,True,A,A,
2,arc_train_437,True,B,B,
2,arc_train_738,True,C,C,
2,arc_train_272,True,C,C,
2,arc_train_522,True,B,B,
2,arc_train_623,True,C,C,
2,arc_train_758,True,A,A,
