role,model,prompt_tokens,completion_tokens,cost_usd,purpose
solver,gpt-4.1-mini-2025-04-14,137,3,5.9600000000000005e-05,eval
solver,gpt-4.1-mini-2025-04-14,141,56,0.000146,eval
solver,gpt-4.1-mini-2025-04-14,111,36,0.000102,eval
solver,gpt-4.1-mini-2025-04-14,151,62,0.00015960000000000003,eval
solver,gpt-4.1-mini-2025-04-14,180,145,0.000304,eval
solver,gpt-4.1-mini-2025-04-14,225,3,9.48e-05,eval
solver,gpt-4.1-mini-2025-04-14,90,122,0.0002312,eval
solver,gpt-4.1-mini-2025-04-14,93,3,4.2e-05,eval
solver,gpt-4.1-mini-2025-04-14,109,3,4.8400000000000004e-05,eval
solver,gpt-4.1-mini-2025-04-14,116,3,5.1200000000000004e-05,eval
solver,gpt-4.1-mini-2025-04-14,98,3,4.4e-05,eval
solver,gpt-4.1-mini-2025-04-14,168,225,0.0004272,eval
solver,gpt-4.1-mini-2025-04-14,130,3,5.68e-05,eval
solver,gpt-4.1-mini-2025-04-14,125,60,0.000146,eval
solver,gpt-4.1-mini-2025-04-14,84,3,3.8400000000000005e-05,eval
solver,gpt-4.1-mini-2025-04-14,162,3,6.96e-05,eval
solver,gpt-4.1-mini-2025-04-14,142,3,6.16e-05,eval
solver,gpt-4.1-mini-2025-04-14,103,3,4.6e-05,eval
solver,gpt-4.1-mini-2025-04-14,140,102,0.00021920000000000002,eval
solver,gpt-4.1-mini-2025-04-14,124,209,0.00038400000000000006,eval
solver,gpt-4.1-mini-2025-04-14,90,3,4.0799999999999996e-05,eval
solver,gpt-4.1-mini-2025-04-14,96,3,4.32e-05,eval
solver,gpt-4.1-mini-2025-04-14,106,3,4.72e-05,eval
solver,gpt-4.1-mini-2025-04-14,88,3,4e-05,eval
solver,gpt-4.1-mini-2025-04-14,172,191,0.00037440000000000005,eval
solver,gpt-4.1-mini-2025-04-14,115,3,5.0799999999999995e-05,eval
solver,gpt-4.1-mini-2025-04-14,127,3,5.560000000000001e-05,eval
solver,gpt-4.1-mini-2025-04-14,95,3,4.28e-05,eval
solver,gpt-4.1-mini-2025-04-14,90,3,4.0799999999999996e-05,eval
solver,gpt-4.1-mini-2025-04-14,150,229,0.0004264,eval
solver,gpt-4.1-mini-2025-04-14,94,3,4.240000000000001e-05,eval
solver,gpt-4.1-mini-2025-04-14,154,3,6.64e-05,eval
solver,gpt-4.1-mini-2025-04-14,172,163,0.00032960000000000004,eval
solver,gpt-4.1-mini-2025-04-14,121,3,5.3200000000000006e-05,eval
solver,gpt-4.1-mini-2025-04-14,109,3,4.8400000000000004e-05,eval
solver,gpt-4.1-mini-2025-04-14,123,63,0.00015,eval
solver,gpt-4.1-mini-2025-04-14,135,3,5.88e-05,eval
solver,gpt-4.1-mini-2025-04-14,93,3,4.2e-05,eval
solver,gpt-4.1-mini-2025-04-14,96,65,0.00014240000000000002,eval
solver,gpt-4.1-mini-2025-04-14,107,195,0.0003548,eval
solver,gpt-4.1-mini-2025-04-14,122,144,0.0002792,eval
solver,gpt-4.1-mini-2025-04-14,182,120,0.0002648,eval
solver,gpt-4.1-mini-2025-04-14,200,150,0.00032,eval
solver,gpt-4.1-mini-2025-04-14,117,234,0.00042120000000000005,eval
solver,gpt-4.1-mini-2025-04-14,101,70,0.00015240000000000002,eval
