round,example_id,correct,pred,gold,section
1,gsm8k_train_4530,True,24,24,
1,gsm8k_train_6017,True,600000,600000,
1,gsm8k_train_4120,True,2,2,
1,gsm8k_train_3208,True,92,92,
1,gsm8k_train_2585,True,51,51,
1,gsm8k_train_3335,True,86,86,
1,gsm8k_train_6924,True,12,12,
1,gsm8k_train_3843,True,2,2,
1,gsm8k_train_4126,True,6,6,
1,gsm8k_train_5579,True,296,296,
1,gsm8k_train_1425,True,10,10,
1,gsm8k_train_1257,False,6000,8000,task_details
1,gsm8k_train_3569,True,1550,1550,
1,gsm8k_train_4974,True,160,160,
1,gsm8k_train_3835,True,280,280,
1,gsm8k_train_1218,True,297,297,
1,gsm8k_train_5809,True,80,80,
1,gsm8k_train_1875,True,1,1,
1,gsm8k_train_5419,True,60,60,
1,gsm8k_train_3250,True,6,6,
1,gsm8k_train_6466,True,1890,1890,
1,gsm8k_train_24,True,62,62,
1,gsm8k_train_5008,True,56,56,
1,gsm8k_train_4687,True,20,20,
1,gsm8k_train_6689,True,1800,1800,
1,gsm8k_train_5224,True,15,15,
1,gsm8k_train_4508,True,2600,2600,
1,gsm8k_train_5858,True,1068,1068,
1,gsm8k_train_2527,True,123,123,
1,gsm8k_train_1333,True,10,10,
1,gsm8k_train_5824,True,52,52,
1,gsm8k_train_405,False,6,8,task_details
1,gsm8k_train_5791,True,5,5,
1,gsm8k_train_3690,True,340,340,
1,gsm8k_train_689,True,18,18,
1,gsm8k_train_1293,False,130,117,constraints
1,gsm8k_train_5913,True,6,6,
1,gsm8k_train_5531,True,4625,4625,
1,gsm8k_train_1204,False,180,200,task_details
1,gsm8k_train_4661,True,77,77,
1,gsm8k_train_6130,True,10,10,
1,gsm8k_train_5949,False,562,565,task_details
1,gsm8k_train_6389,True,34,34,
1,gsm8k_train_702,True,27,27,
1,gsm8k_train_5957,True,7,7,
1,gsm8k_train_2793,True,120,120,
1,gsm8k_train_415,True,78,78,
1,gsm8k_train_1491,True,100,100,
1,gsm8k_train_7284,True,16,16,
1,gsm8k_train_35,True,36,36,
1,gsm8k_train_607,True,375000,375000,
1,gsm8k_train_2355,True,44,44,
