role,model,prompt_tokens,completion_tokens,cost_usd,purpose
solver,gpt-4.1-mini-2025-04-14,100,3,4.48e-05,eval
solver,gpt-4.1-mini-2025-04-14,119,69,0.000158,eval
solver,gpt-4.1-mini-2025-04-14,201,217,0.00042760000000000004,eval
solver,gpt-4.1-mini-2025-04-14,110,172,0.0003192,eval
solver,gpt-4.1-mini-2025-04-14,177,204,0.00039720000000000006,eval
solver,gpt-4.1-mini-2025-04-14,184,88,0.00021440000000000003,eval
solver,gpt-4.1-mini-2025-04-14,164,232,0.00043680000000000005,eval
solver,gpt-4.1-mini-2025-04-14,133,3,5.8e-05,eval
solver,gpt-4.1-mini-2025-04-14,246,238,0.00047920000000000005,eval
solver,gpt-4.1-mini-2025-04-14,190,230,0.000444,eval
solver,gpt-4.1-mini-2025-04-14,125,3,5.48e-05,eval
solver,gpt-4.1-mini-2025-04-14,210,345,0.000636,eval
solver,gpt-4.1-mini-2025-04-14,118,102,0.00021040000000000005,eval
solver,gpt-4.1-mini-2025-04-14,129,46,0.0001252,eval
solver,gpt-4.1-mini-2025-04-14,106,80,0.0001704,eval
solver,gpt-4.1-mini-2025-04-14,215,197,0.00040120000000000005,eval
solver,gpt-4.1-mini-2025-04-14,133,215,0.0003972,eval
solver,gpt-4.1-mini-2025-04-14,104,3,4.64e-05,eval
solver,gpt-4.1-mini-2025-04-14,120,100,0.000208,eval
solver,gpt-4.1-mini-2025-04-14,119,149,0.000286,eval
solver,gpt-4.1-mini-2025-04-14,211,221,0.000438,eval
solver,gpt-4.1-mini-2025-04-14,207,229,0.0004492,eval
solver,gpt-4.1-mini-2025-04-14,108,3,4.8e-05,eval
solver,gpt-4.1-mini-2025-04-14,130,3,5.68e-05,eval
solver,gpt-4.1-mini-2025-04-14,187,225,0.0004348,eval
solver,gpt-4.1-mini-2025-04-14,159,225,0.0004236,eval
solver,gpt-4.1-mini-2025-04-14,127,159,0.0003052,eval
solver,gpt-4.1-mini-2025-04-14,99,3,4.440000000000001e-05,eval
solver,gpt-4.1-mini-2025-04-14,111,184,0.00033880000000000005,eval
solver,gpt-4.1-mini-2025-04-14,229,290,0.0005556000000000001,eval
solver,gpt-4.1-mini-2025-04-14,123,211,0.0003868,eval
solver,gpt-4.1-mini-2025-04-14,142,3,6.16e-05,eval
solver,gpt-4.1-mini-2025-04-14,118,3,5.2e-05,eval
solver,gpt-4.1-mini-2025-04-14,117,75,0.00016680000000000002,eval
solver,gpt-4.1-mini-2025-04-14,170,94,0.0002184,eval
solver,gpt-4.1-mini-2025-04-14,190,620,0.001068,eval
solver,gpt-4.1-mini-2025-04-14,184,183,0.0003664,eval
solver,gpt-4.1-mini-2025-04-14,116,51,0.000128,eval
solver,gpt-4.1-mini-2025-04-14,234,308,0.0005863999999999999,eval
solver,gpt-4.1-mini-2025-04-14,122,55,0.00013680000000000002,eval
solver,gpt-4.1-mini-2025-04-14,146,259,0.00047280000000000005,eval
solver,gpt-4.1-mini-2025-04-14,116,3,5.1200000000000004e-05,eval
solver,gpt-4.1-mini-2025-04-14,120,205,0.000376,eval
solver,gpt-4.1-mini-2025-04-14,185,668,0.0011428,eval
solver,gpt-4.1-mini-2025-04-14,166,305,0.0005543999999999999,eval
solver,gpt-4.1-mini-2025-04-14,125,3,5.48e-05,eval
solver,gpt-4.1-mini-2025-04-14,117,68,0.00015560000000000001,eval
solver,gpt-4.1-mini-2025-04-14,132,39,0.00011520000000000002,eval
solver,gpt-4.1-mini-2025-04-14,145,3,6.28e-05,eval
solver,gpt-4.1-mini-2025-04-14,148,3,6.4e-05,eval
solver,gpt-4.1-mini-2025-04-14,129,157,0.0003028,eval
solver,gpt-4.1-mini-2025-04-14,217,402,0.00073,eval
solver,gpt-4.1-mini-2025-04-14,86,74,0.0001528,eval
solver,gpt-4.1-mini-2025-04-14,146,3,6.32e-05,eval
solver,gpt-4.1-mini-2025-04-14,139,60,0.0001516,eval
solver,gpt-4.1-mini-2025-04-14,134,3,5.84e-05,eval
solver,gpt-4.1-mini-2025-04-14,99,166,0.00030520000000000005,eval
solver,gpt-4.1-mini-2025-04-14,176,298,0.0005472000000000001,eval
solver,gpt-4.1-mini-2025-04-14,195,3,8.28e-05,eval
solver,gpt-4.1-mini-2025-04-14,151,238,0.00044120000000000004,eval
solver,gpt-4.1-mini-2025-04-14,142,93,0.0002056,eval
solver,gpt-4.1-mini-2025-04-14,153,147,0.00029640000000000005,eval
solver,gpt-4.1-mini-2025-04-14,168,211,0.00040480000000000003,eval
solver,gpt-4.1-mini-2025-04-14,153,133,0.000274,eval
solver,gpt-4.1-mini-2025-04-14,120,180,0.000336,eval
solver,gpt-4.1-mini-2025-04-14,153,204,0.00038760000000000004,eval
solver,gpt-4.1-mini-2025-04-14,138,3,6e-05,reflect:baseline
solver,gpt-4.1-mini-2025-04-14,128,3,5.6e-05,reflect:baseline
solver,gpt-4.1-mini-2025-04-14,110,132,0.0002552,reflect:baseline
solver,gpt-4.1-mini-2025-04-14,123,123,0.000246,reflect:baseline
solver,gpt-4.1-mini-2025-04-14,165,157,0.00031720000000000007,reflect:baseline
solver,gpt-4.1-mini-2025-04-14,116,193,0.00035520000000000007,reflect:baseline
solver,gpt-4.1-mini-2025-04-14,174,52,0.0001528,reflect:baseline
solver,gpt-4.1-mini-2025-04-14,198,247,0.00047440000000000004,reflect:baseline
solver,gpt-4.1-mini-2025-04-14,113,128,0.00025,reflect:baseline
solver,gpt-4.1-mini-2025-04-14,142,126,0.00025840000000000005,reflect:baseline
solver,gpt-4.1-mini-2025-04-14,114,261,0.00046320000000000004,reflect:baseline
solver,gpt-4.1-mini-2025-04-14,135,125,0.000254,reflect:baseline
solver,gpt-4.1-mini-2025-04-14,113,203,0.00037,reflect:baseline
solver,gpt-4.1-mini-2025-04-14,122,3,5.360000000000001e-05,reflect:baseline
solver,gpt-4.1-mini-2025-04-14,183,151,0.0003148,reflect:baseline
solver,gpt-4.1-mini-2025-04-14,212,197,0.0004000000000000001,reflect:baseline
solver,gpt-4.1-mini-2025-04-14,122,494,0.0008392,reflect:baseline
solver,gpt-4.1-mini-2025-04-14,107,172,0.000318,reflect:baseline
solver,gpt-4.1-mini-2025-04-14,109,44,0.000114,reflect:baseline
solver,gpt-4.1-mini-2025-04-14,181,536,0.00093,reflect:baseline
solver,gpt-4.1-mini-2025-04-14,159,107,0.00023480000000000002,reflect:baseline
solver,gpt-4.1-mini-2025-04-14,188,284,0.0005296,reflect:baseline
solver,gpt-4.1-mini-2025-04-14,170,314,0.0005704000000000001,reflect:baseline
solver,gpt-4.1-mini-2025-04-14,157,275,0.0005028,reflect:baseline
solver,gpt-4.1-mini-2025-04-14,128,290,0.0005152000000000001,reflect:baseline
solver,gpt-4.1-mini-2025-04-14,84,3,3.8400000000000005e-05,reflect:baseline-val
solver,gpt-4.1-mini-2025-04-14,137,3,5.9600000000000005e-05,reflect:baseline-val
solver,gpt-4.1-mini-2025-04-14,120,98,0.00020480000000000002,reflect:baseline-val
solver,gpt-4.1-mini-2025-04-14,105,123,0.0002388,reflect:baseline-val
solver,gpt-4.1-mini-2025-04-14,153,95,0.00021319999999999998,reflect:baseline-val
solver,gpt-4.1-mini-2025-04-14,160,49,0.00014240000000000002,reflect:baseline-val
solver,gpt-4.1-mini-2025-04-14,120,18,7.68e-05,reflect:baseline-val
solver,gpt-4.1-mini-2025-04-14,121,229,0.00041480000000000005,reflect:baseline-val
