role,model,prompt_tokens,completion_tokens,cost_usd,purpose
solver,gpt-4.1-mini-2025-04-14,137,1060,0.0017508,eval
solver,gpt-4.1-mini-2025-04-14,178,984,0.0016456,eval
solver,gpt-4.1-mini-2025-04-14,189,2285,0.0037316,eval
solver,gpt-4.1-mini-2025-04-14,207,3249,0.005281200000000001,eval
solver,gpt-4.1-mini-2025-04-14,318,3518,0.005756,eval
solver,gpt-4.1-mini-2025-04-14,234,3675,0.005973600000000001,eval
solver,gpt-4.1-mini-2025-04-14,346,2086,0.0034760000000000004,eval
solver,gpt-4.1-mini-2025-04-14,295,5764,0.0093404,eval
solver,gpt-4.1-mini-2025-04-14,197,3586,0.0058164,eval
solver,gpt-4.1-mini-2025-04-14,129,1178,0.0019364,eval
solver,gpt-4.1-mini-2025-04-14,221,3604,0.0058548,eval
solver,gpt-4.1-mini-2025-04-14,342,4476,0.007298400000000001,eval
solver,gpt-4.1-mini-2025-04-14,177,8292,0.013338,eval
solver,gpt-4.1-mini-2025-04-14,175,1043,0.0017388000000000002,eval
solver,gpt-4.1-mini-2025-04-14,161,5513,0.008885200000000001,eval
solver,gpt-4.1-mini-2025-04-14,191,5864,0.0094588,eval
solver,gpt-4.1-mini-2025-04-14,311,5196,0.008438,eval
solver,gpt-4.1-mini-2025-04-14,186,1662,0.0027336000000000005,eval
solver,gpt-4.1-mini-2025-04-14,194,1369,0.002268,eval
solver,gpt-4.1-mini-2025-04-14,150,1273,0.0020968000000000002,eval
solver,gpt-4.1-mini-2025-04-14,208,1428,0.002368,eval
solver,gpt-4.1-mini-2025-04-14,219,6288,0.010148400000000002,eval
solver,gpt-4.1-mini-2025-04-14,150,1849,0.0030184,eval
solver,gpt-4.1-mini-2025-04-14,276,1603,0.0026752000000000004,eval
solver,gpt-4.1-mini-2025-04-14,311,11751,0.018926000000000005,eval
solver,gpt-4.1-mini-2025-04-14,162,2563,0.0041656,eval
solver,gpt-4.1-mini-2025-04-14,167,4676,0.0075484,eval
solver,gpt-4.1-mini-2025-04-14,166,8460,0.013602399999999999,eval
solver,gpt-4.1-mini-2025-04-14,222,10887,0.017508,eval
solver,gpt-4.1-mini-2025-04-14,196,15576,0.025000000000000005,eval
solver,gpt-4.1-mini-2025-04-14,164,2546,0.004139200000000001,reflect:baseline
solver,gpt-4.1-mini-2025-04-14,324,3090,0.0050736,reflect:baseline
solver,gpt-4.1-mini-2025-04-14,272,3880,0.0063168,reflect:baseline
solver,gpt-4.1-mini-2025-04-14,231,2305,0.0037804,reflect:baseline
solver,gpt-4.1-mini-2025-04-14,155,1369,0.0022524,reflect:baseline
solver,gpt-4.1-mini-2025-04-14,265,9254,0.014912400000000001,reflect:baseline
solver,gpt-4.1-mini-2025-04-14,163,6446,0.0103788,reflect:baseline
solver,gpt-4.1-mini-2025-04-14,243,11415,0.0183612,reflect:baseline
solver,gpt-4.1-mini-2025-04-14,230,1082,0.0018232,reflect:baseline
solver,gpt-4.1-mini-2025-04-14,137,2475,0.0040148,reflect:baseline
solver,gpt-4.1-mini-2025-04-14,168,1630,0.0026752,reflect:baseline
solver,gpt-4.1-mini-2025-04-14,191,4325,0.0069964,reflect:baseline
solver,gpt-4.1-mini-2025-04-14,159,3305,0.005351600000000001,reflect:baseline
solver,gpt-4.1-mini-2025-04-14,168,2775,0.004507199999999999,reflect:baseline
solver,gpt-4.1-mini-2025-04-14,193,3210,0.005213199999999999,reflect:baseline
solver,gpt-4.1-mini-2025-04-14,317,2456,0.004056400000000001,reflect:baseline
solver,gpt-4.1-mini-2025-04-14,405,3865,0.006346,reflect:baseline
solver,gpt-4.1-mini-2025-04-14,250,16000,0.0257,reflect:baseline
solver,gpt-4.1-mini-2025-04-14,184,3001,0.0048752000000000005,reflect:baseline
