round,example_id,correct,pred,gold,section
1,gsm8k_train_4530,True,24,24,
1,gsm8k_train_6017,True,600000,600000,
1,gsm8k_train_4120,True,2,2,
1,gsm8k_train_3208,True,92,92,
1,gsm8k_train_2585,True,51,51,
1,gsm8k_train_3335,True,86,86,
1,gsm8k_train_6924,True,12,12,
1,gsm8k_train_3843,True,2,2,
1,gsm8k_train_4126,True,6,6,
1,gsm8k_train_5579,True,296,296,
2,gsm8k_train_4530,True,24,24,
2,gsm8k_train_6017,True,600000,600000,
2,gsm8k_train_4120,True,2,2,
2,gsm8k_train_3208,True,92,92,
2,gsm8k_train_2585,True,51,51,
2,gsm8k_train_3335,True,86,86,
2,gsm8k_train_6924,True,12,12,
2,gsm8k_train_3843,True,2,2,
2,gsm8k_train_4126,True,6,6,
2,gsm8k_train_5579,True,296,296,
