round,example_id,correct,pred,gold,section
1,syn_train_37,False,Yes,No,output_format
1,syn_train_22,True,Yes,Yes,
1,syn_train_39,False,Yes,No,output_format
1,syn_train_23,False,Yes,No,output_format
1,syn_train_17,False,Yes,No,output_format
1,syn_train_8,True,Yes,Yes,
1,syn_train_35,False,Yes,No,output_format
1,syn_train_3,False,Yes,No,output_format
1,syn_train_33,False,Yes,No,output_format
1,syn_train_9,False,Yes,No,output_format
1,syn_train_4,True,Yes,Yes,
1,syn_train_36,True,Yes,Yes,
1,syn_train_6,True,Yes,Yes,
1,syn_train_28,True,Yes,Yes,
1,syn_train_18,True,Yes,Yes,
1,syn_train_11,False,Yes,No,output_format
1,syn_train_30,True,Yes,Yes,
1,syn_train_19,False,Yes,No,output_format
1,syn_train_25,False,Yes,No,output_format
1,syn_train_31,False,Yes,No,output_format
1,syn_train_32,True,Yes,Yes,
1,syn_train_16,True,Yes,Yes,
1,syn_train_2,True,Yes,Yes,
1,syn_train_26,True,Yes,Yes,
1,syn_train_24,True,Yes,Yes,
2,syn_train_37,False,Yes,No,output_format
2,syn_train_22,True,Yes,Yes,
2,syn_train_39,False,Yes,No,output_format
2,syn_train_23,False,Yes,No,output_format
2,syn_train_17,False,Yes,No,output_format
2,syn_train_8,True,Yes,Yes,
2,syn_train_35,False,Yes,No,output_format
2,syn_train_3,False,Yes,No,output_format
2,syn_train_33,False,Yes,No,output_format
2,syn_train_9,False,Yes,No,output_format
2,syn_train_4,True,Yes,Yes,
2,syn_train_36,True,Yes,Yes,
2,syn_train_6,True,Yes,Yes,
2,syn_train_28,True,Yes,Yes,
2,syn_train_18,True,Yes,Yes,
2,syn_train_11,False,Yes,No,output_format
2,syn_train_30,True,Yes,Yes,
2,syn_train_19,False,Yes,No,output_format
2,syn_train_25,False,Yes,No,output_format
2,syn_train_31,False,Yes,No,output_format
2,syn_train_32,True,Yes,Yes,
2,syn_train_16,True,Yes,Yes,
2,syn_train_2,True,Yes,Yes,
2,syn_train_26,True,Yes,Yes,
2,syn_train_24,True,Yes,Yes,
3,syn_train_37,False,Yes,No,output_format
3,syn_train_22,True,Yes,Yes,
3,syn_train_39,False,Yes,No,output_format
3,syn_train_23,False,Yes,No,output_format
3,syn_train_17,False,Yes,No,output_format
3,syn_train_8,True,Yes,Yes,
3,syn_train_35,False,Yes,No,output_format
3,syn_train_3,False,Yes,No,output_format
3,syn_train_33,False,Yes,No,output_format
3,syn_train_9,False,Yes,No,output_format
3,syn_train_4,True,Yes,Yes,
3,syn_train_36,True,Yes,Yes,
3,syn_train_6,True,Yes,Yes,
3,syn_train_28,True,Yes,Yes,
3,syn_train_18,True,Yes,Yes,
3,syn_train_11,False,Yes,No,output_format
3,syn_train_30,True,Yes,Yes,
3,syn_train_19,False,Yes,No,output_format
3,syn_train_25,False,Yes,No,output_format
3,syn_train_31,False,Yes,No,output_format
3,syn_train_32,True,Yes,Yes,
3,syn_train_16,True,Yes,Yes,
3,syn_train_2,True,Yes,Yes,
3,syn_train_26,True,Yes,Yes,
3,syn_train_24,True,Yes,Yes,
4,syn_train_37,False,Yes,No,output_format
4,syn_train_22,True,Yes,Yes,
4,syn_train_39,False,Yes,No,output_format
4,syn_train_23,False,Yes,No,output_format
4,syn_train_17,False,Yes,No,output_format
4,syn_train_8,True,Yes,Yes,
4,syn_train_35,False,Yes,No,output_format
4,syn_train_3,False,Yes,No,output_format
4,syn_train_33,False,Yes,No,output_format
4,syn_train_9,False,Yes,No,output_format
4,syn_train_4,True,Yes,Yes,
4,syn_train_36,True,Yes,Yes,
4,syn_train_6,True,Yes,Yes,
4,syn_train_28,True,Yes,Yes,
4,syn_train_18,True,Yes,Yes,
4,syn_train_11,False,Yes,No,output_format
4,syn_train_30,True,Yes,Yes,
4,syn_train_19,False,Yes,No,output_format
4,syn_train_25,False,Yes,No,output_format
4,syn_train_31,False,Yes,No,output_format
4,syn_train_32,True,Yes,Yes,
4,syn_train_16,True,Yes,Yes,
4,syn_train_2,True,Yes,Yes,
4,syn_train_26,True,Yes,Yes,
4,syn_train_24,True,Yes,Yes,
