role,model,prompt_tokens,completion_tokens,cost_usd,purpose
solver,gpt-4o-mini-2024-07-18,145,301,0.00020234999999999999,eval
solver,gpt-4o-mini-2024-07-18,132,178,0.0001266,eval
solver,gpt-4o-mini-2024-07-18,189,454,0.00030075,eval
solver,gpt-4o-mini-2024-07-18,141,427,0.00027735,eval
solver,gpt-4o-mini-2024-07-18,143,291,0.00019605,eval
solver,gpt-4o-mini-2024-07-18,181,333,0.00022695,eval
solver,gpt-4o-mini-2024-07-18,137,210,0.00014655,eval
solver,gpt-4o-mini-2024-07-18,189,418,0.00027915,eval
solver,gpt-4o-mini-2024-07-18,142,265,0.00018030000000000002,eval
solver,gpt-4o-mini-2024-07-18,144,265,0.0001806,eval
solver,gpt-4o-mini-2024-07-18,140,287,0.00019319999999999998,eval
solver,gpt-4o-mini-2024-07-18,156,305,0.0002064,eval
solver,gpt-4o-mini-2024-07-18,172,488,0.00031860000000000005,eval
solver,gpt-4o-mini-2024-07-18,196,316,0.000219,eval
solver,gpt-4o-mini-2024-07-18,180,253,0.00017879999999999998,eval
solver,gpt-4o-mini-2024-07-18,177,315,0.00021555,eval
solver,gpt-4o-mini-2024-07-18,138,177,0.0001269,eval
solver,gpt-4o-mini-2024-07-18,166,383,0.0002547,eval
solver,gpt-4o-mini-2024-07-18,145,323,0.00021554999999999998,eval
solver,gpt-4o-mini-2024-07-18,150,304,0.0002049,eval
solver,gpt-4o-mini-2024-07-18,174,308,0.00021089999999999998,eval
solver,gpt-4o-mini-2024-07-18,150,391,0.0002571,eval
solver,gpt-4o-mini-2024-07-18,155,260,0.00017925,eval
solver,gpt-4o-mini-2024-07-18,139,273,0.00018465,eval
solver,gpt-4o-mini-2024-07-18,165,381,0.00025335,eval
solver,gpt-4o-mini-2024-07-18,171,381,0.00025425,eval
solver,gpt-4o-mini-2024-07-18,125,233,0.00015854999999999998,eval
solver,gpt-4o-mini-2024-07-18,181,201,0.00014775,eval
solver,gpt-4o-mini-2024-07-18,219,391,0.00026744999999999997,eval
solver,gpt-4o-mini-2024-07-18,148,336,0.0002238,eval
solver,gpt-4o-mini-2024-07-18,163,290,0.00019845,eval
solver,gpt-4o-mini-2024-07-18,145,292,0.00019695,eval
solver,gpt-4o-mini-2024-07-18,161,471,0.00030674999999999995,eval
solver,gpt-4o-mini-2024-07-18,153,268,0.00018374999999999997,eval
solver,gpt-4o-mini-2024-07-18,164,367,0.0002448,eval
solver,gpt-4o-mini-2024-07-18,145,234,0.00016215,eval
solver,gpt-4o-mini-2024-07-18,176,354,0.0002388,eval
solver,gpt-4o-mini-2024-07-18,158,224,0.0001581,eval
solver,gpt-4o-mini-2024-07-18,163,360,0.00024045,eval
solver,gpt-4o-mini-2024-07-18,133,246,0.00016754999999999998,eval
solver,gpt-4o-mini-2024-07-18,158,332,0.00022289999999999997,eval
solver,gpt-4o-mini-2024-07-18,138,286,0.00019229999999999999,eval
solver,gpt-4o-mini-2024-07-18,146,211,0.0001485,eval
solver,gpt-4o-mini-2024-07-18,134,338,0.00022289999999999997,eval
