role,model,prompt_tokens,completion_tokens,cost_usd,purpose
solver,gpt-4.1-2025-04-14,148,138,0.0014,eval
solver,gpt-4.1-2025-04-14,151,162,0.001598,eval
solver,gpt-4.1-2025-04-14,139,88,0.000982,eval
solver,gpt-4.1-2025-04-14,169,149,0.00153,eval
solver,gpt-4.1-2025-04-14,140,116,0.001208,eval
solver,gpt-4.1-2025-04-14,143,141,0.001414,eval
solver,gpt-4.1-2025-04-14,136,127,0.001288,eval
solver,gpt-4.1-2025-04-14,154,175,0.001708,eval
solver,gpt-4.1-2025-04-14,139,128,0.001302,eval
solver,gpt-4.1-2025-04-14,166,169,0.001684,eval
solver,gpt-4.1-2025-04-14,210,211,0.002108,train
solver,gpt-4.1-2025-04-14,159,150,0.001518,train
solver,gpt-4.1-2025-04-14,169,166,0.001666,train
solver,gpt-4.1-2025-04-14,144,140,0.001408,train
solver,gpt-4.1-2025-04-14,159,175,0.001718,train
solver,gpt-4.1-2025-04-14,163,101,0.001134,train
solver,gpt-4.1-2025-04-14,140,108,0.001144,train
solver,gpt-4.1-2025-04-14,184,186,0.001856,train
solver,gpt-4.1-2025-04-14,150,118,0.001244,train
solver,gpt-4.1-2025-04-14,184,175,0.001768,train
solver,gpt-4.1-2025-04-14,210,202,0.002036,train
solver,gpt-4.1-2025-04-14,159,150,0.001518,train
solver,gpt-4.1-2025-04-14,169,178,0.001762,train
solver,gpt-4.1-2025-04-14,144,131,0.001336,train
solver,gpt-4.1-2025-04-14,159,175,0.001718,train
solver,gpt-4.1-2025-04-14,163,101,0.001134,train
solver,gpt-4.1-2025-04-14,140,121,0.001248,train
solver,gpt-4.1-2025-04-14,184,191,0.001896,train
solver,gpt-4.1-2025-04-14,150,114,0.001212,train
solver,gpt-4.1-2025-04-14,184,163,0.001672,train
solver,gpt-4.1-2025-04-14,148,136,0.001384,eval
solver,gpt-4.1-2025-04-14,151,139,0.001414,eval
solver,gpt-4.1-2025-04-14,139,87,0.000974,eval
solver,gpt-4.1-2025-04-14,169,160,0.001618,eval
solver,gpt-4.1-2025-04-14,140,104,0.001112,eval
solver,gpt-4.1-2025-04-14,143,137,0.001382,eval
solver,gpt-4.1-2025-04-14,136,116,0.0012,eval
solver,gpt-4.1-2025-04-14,154,180,0.001748,eval
solver,gpt-4.1-2025-04-14,139,127,0.001294,eval
solver,gpt-4.1-2025-04-14,166,168,0.001676,eval
