role,model,prompt_tokens,completion_tokens,cost_usd,purpose
solver,gpt-4o-mini-2024-07-18,218,39,5.6099999999999995e-05,eval
solver,gpt-4o-mini-2024-07-18,203,57,6.464999999999999e-05,eval
solver,gpt-4o-mini-2024-07-18,311,48,7.544999999999999e-05,eval
solver,gpt-4o-mini-2024-07-18,224,49,6.3e-05,eval
solver,gpt-4o-mini-2024-07-18,202,60,6.63e-05,eval
solver,gpt-4o-mini-2024-07-18,239,48,6.465e-05,eval
solver,gpt-4o-mini-2024-07-18,227,64,7.244999999999999e-05,eval
solver,gpt-4o-mini-2024-07-18,202,56,6.39e-05,eval
solver,gpt-4o-mini-2024-07-18,309,43,7.215e-05,eval
solver,gpt-4o-mini-2024-07-18,227,53,6.584999999999999e-05,eval
solver,gpt-4o-mini-2024-07-18,200,44,5.6399999999999995e-05,eval
solver,gpt-4o-mini-2024-07-18,183,59,6.285e-05,eval
solver,gpt-4o-mini-2024-07-18,179,46,5.4449999999999995e-05,eval
solver,gpt-4o-mini-2024-07-18,294,55,7.709999999999999e-05,eval
solver,gpt-4o-mini-2024-07-18,239,56,6.945000000000001e-05,eval
solver,gpt-4o-mini-2024-07-18,265,98,9.855e-05,eval
solver,gpt-4o-mini-2024-07-18,270,49,6.99e-05,eval
solver,gpt-4o-mini-2024-07-18,173,50,5.5950000000000005e-05,eval
solver,gpt-4o-mini-2024-07-18,183,47,5.565e-05,eval
solver,gpt-4o-mini-2024-07-18,194,41,5.37e-05,eval
solver,gpt-4o-mini-2024-07-18,256,49,6.78e-05,eval
solver,gpt-4o-mini-2024-07-18,373,55,8.895e-05,eval
solver,gpt-4o-mini-2024-07-18,216,60,6.840000000000001e-05,eval
solver,gpt-4o-mini-2024-07-18,183,51,5.8049999999999995e-05,eval
solver,gpt-4o-mini-2024-07-18,197,48,5.8349999999999995e-05,eval
solver,gpt-4o-mini-2024-07-18,221,51,6.375e-05,eval
solver,gpt-4o-mini-2024-07-18,289,49,7.275e-05,eval
solver,gpt-4o-mini-2024-07-18,204,57,6.48e-05,eval
solver,gpt-4o-mini-2024-07-18,181,45,5.415e-05,eval
solver,gpt-4o-mini-2024-07-18,335,45,7.725e-05,eval
solver,gpt-4o-mini-2024-07-18,189,52,5.955e-05,eval
solver,gpt-4o-mini-2024-07-18,196,49,5.88e-05,eval
solver,gpt-4o-mini-2024-07-18,247,108,0.00010185,eval
solver,gpt-4o-mini-2024-07-18,249,59,7.275e-05,eval
solver,gpt-4o-mini-2024-07-18,205,60,6.675e-05,eval
solver,gpt-4o-mini-2024-07-18,174,60,6.209999999999999e-05,eval
solver,gpt-4o-mini-2024-07-18,175,60,6.225e-05,eval
solver,gpt-4o-mini-2024-07-18,247,53,6.884999999999999e-05,eval
solver,gpt-4o-mini-2024-07-18,187,57,6.225e-05,eval
solver,gpt-4o-mini-2024-07-18,187,41,5.265e-05,eval
solver,gpt-4o-mini-2024-07-18,308,51,7.68e-05,eval
solver,gpt-4o-mini-2024-07-18,387,75,0.00010305,eval
solver,gpt-4o-mini-2024-07-18,279,65,8.085e-05,eval
solver,gpt-4o-mini-2024-07-18,259,45,6.584999999999999e-05,eval
solver,gpt-4o-mini-2024-07-18,246,65,7.59e-05,eval
solver,gpt-4o-mini-2024-07-18,252,71,8.04e-05,eval
solver,gpt-4o-mini-2024-07-18,233,55,6.794999999999998e-05,eval
solver,gpt-4o-mini-2024-07-18,255,62,7.544999999999999e-05,eval
solver,gpt-4o-mini-2024-07-18,392,54,9.12e-05,eval
solver,gpt-4o-mini-2024-07-18,287,77,8.925e-05,eval
solver,gpt-4o-mini-2024-07-18,210,43,5.73e-05,simple:baseline
solver,gpt-4o-mini-2024-07-18,275,60,7.725e-05,simple:baseline
solver,gpt-4o-mini-2024-07-18,200,47,5.8200000000000005e-05,simple:baseline
solver,gpt-4o-mini-2024-07-18,251,44,6.405e-05,simple:baseline
solver,gpt-4o-mini-2024-07-18,192,40,5.2799999999999996e-05,simple:baseline
solver,gpt-4o-mini-2024-07-18,190,59,6.39e-05,simple:baseline
solver,gpt-4o-mini-2024-07-18,356,53,8.519999999999998e-05,simple:baseline
solver,gpt-4o-mini-2024-07-18,241,59,7.154999999999999e-05,simple:baseline
solver,gpt-4o-mini-2024-07-18,194,45,5.6099999999999995e-05,simple:baseline
solver,gpt-4o-mini-2024-07-18,245,46,6.434999999999999e-05,simple:baseline
