role,model,prompt_tokens,completion_tokens,cost_usd,purpose
solver,mock-solver,240,14,0.0,eval
solver,mock-solver,240,14,0.0,eval
solver,mock-solver,240,14,0.0,eval
solver,mock-solver,240,14,0.0,eval
solver,mock-solver,240,14,0.0,eval
solver,mock-solver,240,14,0.0,eval
solver,mock-solver,240,14,0.0,reflect:baseline
solver,mock-solver,240,14,0.0,reflect:baseline
solver,mock-solver,240,14,0.0,reflect:baseline
solver,mock-solver,240,14,0.0,reflect:baseline
solver,mock-solver,240,14,0.0,reflect:baseline
solver,mock-solver,240,14,0.0,reflect:baseline
solver,mock-solver,240,14,0.0,reflect:baseline-val
solver,mock-solver,240,14,0.0,reflect:baseline-val
solver,mock-solver,240,14,0.0,reflect:baseline-val
solver,mock-solver,240,14,0.0,reflect:baseline-val
solver,mock-solver,240,14,0.0,eval
solver,mock-solver,240,14,0.0,eval
solver,mock-solver,240,14,0.0,eval
solver,mock-solver,240,14,0.0,eval
solver,mock-solver,240,14,0.0,eval
solver,mock-solver,240,14,0.0,eval
