role,model,prompt_tokens,completion_tokens,cost_usd,purpose
solver,gpt-4o-mini-2024-07-18,145,19,3.315e-05,eval
solver,gpt-4o-mini-2024-07-18,220,88,8.58e-05,eval
solver,gpt-4o-mini-2024-07-18,218,85,8.369999999999999e-05,eval
solver,gpt-4o-mini-2024-07-18,284,126,0.00011819999999999999,eval
external,gpt-4.1-2025-04-14,125,100,0.00105,eval
external,gpt-4.1-2025-04-14,122,188,0.001748,eval
solver,gpt-4o-mini-2024-07-18,412,85,0.00011279999999999999,eval
external,gpt-4.1-2025-04-14,56,333,0.002776,eval
external,gpt-4.1-2025-04-14,163,168,0.00167,eval
solver,gpt-4o-mini-2024-07-18,494,179,0.0001815,eval
solver,gpt-4o-mini-2024-07-18,581,143,0.00017294999999999998,eval
solver,gpt-4o-mini-2024-07-18,501,341,0.00027975,eval
judge,gpt-5-2025-08-07,386,208,0.0025625,eval:judge
solver,gpt-4o-mini-2024-07-18,426,199,0.00018329999999999998,eval
judge,gpt-5-2025-08-07,601,512,0.00587125,eval:judge
solver,gpt-4o-mini-2024-07-18,3273,10,0.00049695,eval
judge,gpt-5-2025-08-07,427,512,0.00565375,eval:judge
external,gpt-4.1-2025-04-14,47,22,0.00027,eval
judge,gpt-5-2025-08-07,854,512,0.0061875,eval:judge
external,gpt-4.1-2025-04-14,236,283,0.002736,eval
solver,gpt-4o-mini-2024-07-18,470,133,0.00015030000000000002,eval
solver,gpt-4o-mini-2024-07-18,3308,29,0.0005136,eval
solver,gpt-4o-mini-2024-07-18,144,26,3.7199999999999996e-05,eval
solver,gpt-4o-mini-2024-07-18,911,281,0.00030525,eval
judge,gpt-5-2025-08-07,4011,341,0.00842375,eval:judge
external,gpt-4.1-2025-04-14,63,211,0.001814,eval
solver,gpt-4o-mini-2024-07-18,157,22,3.675e-05,eval
external,gpt-4.1-2025-04-14,59,60,0.000598,eval
solver,gpt-4o-mini-2024-07-18,384,204,0.00018,eval
solver,gpt-4o-mini-2024-07-18,243,22,4.9649999999999994e-05,eval
judge,gpt-5-2025-08-07,875,400,0.00509375,eval:judge
solver,gpt-4o-mini-2024-07-18,1323,337,0.00040064999999999995,eval
judge,gpt-5-2025-08-07,993,410,0.00534125,eval:judge
solver,gpt-4o-mini-2024-07-18,172,42,5.1e-05,eval
judge,gpt-5-2025-08-07,197,512,0.00536625,eval:judge
external,gpt-4.1-2025-04-14,170,1133,0.009404,eval
solver,gpt-4o-mini-2024-07-18,398,231,0.0001983,eval
external,gpt-4.1-2025-04-14,374,737,0.006644,eval
external,gpt-4.1-2025-04-14,79,362,0.003054,eval
external,gpt-4.1-2025-04-14,268,423,0.00392,eval
solver,gpt-4o-mini-2024-07-18,1739,438,0.00052365,eval
solver,gpt-4o-mini-2024-07-18,580,374,0.0003114,eval
solver,gpt-4o-mini-2024-07-18,1056,437,0.00042060000000000003,eval
solver,gpt-4o-mini-2024-07-18,2401,773,0.0008239499999999999,eval
judge,gpt-5-2025-08-07,1000,512,0.00637,eval:judge
solver,gpt-4o-mini-2024-07-18,254,88,9.09e-05,eval
judge,gpt-5-2025-08-07,730,512,0.0060325,eval:judge
judge,gpt-5-2025-08-07,1091,512,0.00648375,eval:judge
judge,gpt-5-2025-08-07,2454,512,0.0081875,eval:judge
external,gpt-4.1-2025-04-14,125,399,0.003442,eval
solver,gpt-4o-mini-2024-07-18,595,368,0.00031005,eval
solver,gpt-4o-mini-2024-07-18,3353,173,0.00060675,eval
solver,gpt-4o-mini-2024-07-18,798,183,0.0002295,eval
external,gpt-4.1-2025-04-14,405,196,0.002378,eval
external,gpt-4.1-2025-04-14,210,137,0.001516,eval
solver,gpt-4o-mini-2024-07-18,745,441,0.00037634999999999996,eval
solver,gpt-4o-mini-2024-07-18,3666,138,0.0006326999999999999,eval
solver,gpt-4o-mini-2024-07-18,1162,331,0.00037289999999999996,eval
judge,gpt-5-2025-08-07,1441,512,0.00692125,eval:judge
judge,gpt-5-2025-08-07,1189,512,0.00660625,eval:judge
external,gpt-4.1-2025-04-14,220,970,0.0082,eval
judge,gpt-5-2025-08-07,3646,512,0.0096775,eval:judge
solver,gpt-4o-mini-2024-07-18,161,33,4.3950000000000004e-05,eval
solver,gpt-4o-mini-2024-07-18,8329,94,0.00130575,eval
solver,gpt-4o-mini-2024-07-18,1803,270,0.00043244999999999997,eval
external,gpt-4.1-2025-04-14,70,564,0.004652,eval
external,gpt-4.1-2025-04-14,307,1189,0.010126,eval
solver,gpt-4o-mini-2024-07-18,1954,954,0.0008655,eval
external,gpt-4.1-2025-04-14,131,670,0.005622,eval
solver,gpt-4o-mini-2024-07-18,761,559,0.00044954999999999995,eval
judge,gpt-5-2025-08-07,2352,512,0.00806,eval:judge
solver,gpt-4o-mini-2024-07-18,135,11,2.6850000000000002e-05,eval
solver,gpt-4o-mini-2024-07-18,9097,648,0.0017533499999999999,eval
external,gpt-4.1-2025-04-14,48,39,0.000408,eval
solver,gpt-4o-mini-2024-07-18,3265,1229,0.00122715,eval
solver,gpt-4o-mini-2024-07-18,189,40,5.234999999999999e-05,eval
judge,gpt-5-2025-08-07,1091,512,0.00648375,eval:judge
solver,gpt-4o-mini-2024-07-18,141,33,4.0950000000000006e-05,eval
judge,gpt-5-2025-08-07,8971,512,0.01633375,eval:judge
judge,gpt-5-2025-08-07,237,283,0.00312625,eval:judge
solver,gpt-4o-mini-2024-07-18,426,196,0.0001815,eval
solver,gpt-4o-mini-2024-07-18,158,29,4.1099999999999996e-05,eval
judge,gpt-5-2025-08-07,3343,512,0.00929875,eval:judge
external,gpt-4.1-2025-04-14,233,243,0.00241,eval
external,gpt-4.1-2025-04-14,70,526,0.004348,eval
solver,gpt-4o-mini-2024-07-18,157,38,4.635e-05,eval
external,gpt-4.1-2025-04-14,66,379,0.003164,eval
solver,gpt-4o-mini-2024-07-18,868,234,0.0002706,eval
external,gpt-4.1-2025-04-14,75,290,0.00247,eval
solver,gpt-4o-mini-2024-07-18,704,492,0.00040079999999999993,eval
solver,gpt-4o-mini-2024-07-18,569,260,0.00024134999999999998,eval
solver,gpt-4o-mini-2024-07-18,489,275,0.00023835,eval
judge,gpt-5-2025-08-07,828,512,0.006155,eval:judge
solver,gpt-4o-mini-2024-07-18,154,32,4.23e-05,eval
judge,gpt-5-2025-08-07,837,400,0.00504625,eval:judge
judge,gpt-5-2025-08-07,1002,512,0.0063725,eval:judge
judge,gpt-5-2025-08-07,670,512,0.0059575,eval:judge
solver,gpt-4o-mini-2024-07-18,296,171,0.000147,eval
solver,gpt-4o-mini-2024-07-18,162,33,4.41e-05,eval
solver,gpt-4o-mini-2024-07-18,141,13,2.895e-05,eval
external,gpt-4.1-2025-04-14,70,72,0.000716,eval
solver,gpt-4o-mini-2024-07-18,270,41,6.51e-05,eval
external,gpt-4.1-2025-04-14,50,177,0.001516,eval
external,gpt-4.1-2025-04-14,69,712,0.005834,eval
