role,model,prompt_tokens,completion_tokens,cost_usd,purpose
solver,gpt-4o-mini-2024-07-18,131,262,0.00017685,eval
solver,gpt-4o-mini-2024-07-18,107,349,0.00022545,eval
solver,gpt-4o-mini-2024-07-18,131,768,0.00048044999999999994,eval
solver,gpt-4o-mini-2024-07-18,188,456,0.00030179999999999996,eval
solver,gpt-4o-mini-2024-07-18,98,4,1.71e-05,eval
solver,gpt-4o-mini-2024-07-18,152,932,0.0005819999999999998,eval
solver,gpt-4o-mini-2024-07-18,142,400,0.0002613,eval
solver,gpt-4o-mini-2024-07-18,98,4,1.71e-05,eval
solver,gpt-4o-mini-2024-07-18,174,606,0.0003897,eval
solver,gpt-4o-mini-2024-07-18,127,4,2.145e-05,eval
solver,gpt-4o-mini-2024-07-18,118,703,0.0004395,eval
solver,gpt-4o-mini-2024-07-18,146,739,0.0004653,eval
solver,gpt-4o-mini-2024-07-18,119,678,0.00042465000000000005,eval
solver,gpt-4o-mini-2024-07-18,115,347,0.00022544999999999998,eval
solver,gpt-4o-mini-2024-07-18,145,208,0.00014655,eval
solver,gpt-4o-mini-2024-07-18,141,359,0.00023655,eval
solver,gpt-4o-mini-2024-07-18,127,421,0.00027164999999999996,eval
solver,gpt-4o-mini-2024-07-18,138,327,0.0002169,eval
solver,gpt-4o-mini-2024-07-18,150,629,0.00039989999999999996,eval
solver,gpt-4o-mini-2024-07-18,159,262,0.00018104999999999998,eval
solver,gpt-4o-mini-2024-07-18,107,491,0.00031065,eval
solver,gpt-4o-mini-2024-07-18,133,638,0.00040275,eval
solver,gpt-4o-mini-2024-07-18,100,381,0.00024359999999999999,eval
solver,gpt-4o-mini-2024-07-18,138,388,0.0002535,eval
solver,gpt-4o-mini-2024-07-18,92,1316,0.0008034,eval
solver,gpt-4o-mini-2024-07-18,107,339,0.00021945000000000002,eval
solver,gpt-4o-mini-2024-07-18,118,350,0.00022769999999999998,eval
solver,gpt-4o-mini-2024-07-18,108,394,0.00025259999999999996,eval
solver,gpt-4o-mini-2024-07-18,113,594,0.00037334999999999994,eval
solver,gpt-4o-mini-2024-07-18,173,299,0.00020535,eval
solver,gpt-4o-mini-2024-07-18,133,324,0.00021435,eval
solver,gpt-4o-mini-2024-07-18,109,526,0.00033194999999999996,eval
solver,gpt-4o-mini-2024-07-18,149,633,0.00040215000000000004,eval
solver,gpt-4o-mini-2024-07-18,116,372,0.0002406,eval
solver,gpt-4o-mini-2024-07-18,124,546,0.0003462,eval
solver,gpt-4o-mini-2024-07-18,141,243,0.00016695,eval
solver,gpt-4o-mini-2024-07-18,164,277,0.00019079999999999998,eval
solver,gpt-4o-mini-2024-07-18,153,229,0.00016035,eval
solver,gpt-4o-mini-2024-07-18,180,833,0.0005267999999999999,eval
solver,gpt-4o-mini-2024-07-18,179,739,0.00047025,eval
solver,gpt-4o-mini-2024-07-18,167,501,0.00032565,eval
solver,gpt-4o-mini-2024-07-18,120,304,0.0002004,eval
solver,gpt-4o-mini-2024-07-18,137,435,0.00028155,eval
solver,gpt-4o-mini-2024-07-18,92,703,0.0004356,eval
solver,gpt-4o-mini-2024-07-18,114,358,0.00023189999999999997,eval
solver,gpt-4o-mini-2024-07-18,120,366,0.0002376,eval
solver,gpt-4o-mini-2024-07-18,143,4,2.3849999999999997e-05,eval
solver,gpt-4o-mini-2024-07-18,140,993,0.0006167999999999999,eval
solver,gpt-4o-mini-2024-07-18,109,307,0.00020055,eval
solver,gpt-4o-mini-2024-07-18,188,266,0.00018779999999999998,eval
solver,gpt-4o-mini-2024-07-18,109,383,0.00024615,eval
solver,gpt-4o-mini-2024-07-18,92,4,1.62e-05,eval
solver,gpt-4o-mini-2024-07-18,131,312,0.00020684999999999999,eval
solver,gpt-4o-mini-2024-07-18,114,225,0.00015209999999999998,eval
solver,gpt-4o-mini-2024-07-18,198,789,0.0005030999999999999,eval
solver,gpt-4o-mini-2024-07-18,128,945,0.0005862,eval
solver,gpt-4o-mini-2024-07-18,86,275,0.00017790000000000001,eval
solver,gpt-4o-mini-2024-07-18,96,4,1.68e-05,eval
solver,gpt-4o-mini-2024-07-18,143,199,0.00014084999999999998,eval
solver,gpt-4o-mini-2024-07-18,114,465,0.00029610000000000004,eval
solver,gpt-4o-mini-2024-07-18,119,822,0.00051105,eval
solver,gpt-4o-mini-2024-07-18,154,4,2.5499999999999996e-05,eval
solver,gpt-4o-mini-2024-07-18,172,306,0.0002094,eval
solver,gpt-4o-mini-2024-07-18,126,1069,0.0006603,eval
solver,gpt-4o-mini-2024-07-18,94,561,0.0003507,eval
solver,gpt-4o-mini-2024-07-18,106,396,0.0002535,eval
solver,gpt-4o-mini-2024-07-18,90,250,0.0001635,simple:baseline
solver,gpt-4o-mini-2024-07-18,163,737,0.00046665,simple:baseline
solver,gpt-4o-mini-2024-07-18,93,570,0.00035595,simple:baseline
solver,gpt-4o-mini-2024-07-18,106,362,0.0002331,simple:baseline
solver,gpt-4o-mini-2024-07-18,129,622,0.00039255000000000003,simple:baseline
solver,gpt-4o-mini-2024-07-18,137,835,0.00052155,simple:baseline
solver,gpt-4o-mini-2024-07-18,120,2048,0.0012468,simple:baseline
solver,gpt-4o-mini-2024-07-18,207,278,0.00019784999999999996,simple:baseline
solver,gpt-4o-mini-2024-07-18,190,804,0.0005109,simple:baseline
solver,gpt-4o-mini-2024-07-18,155,4,2.565e-05,simple:baseline
solver,gpt-4o-mini-2024-07-18,142,353,0.0002331,simple:baseline
solver,gpt-4o-mini-2024-07-18,193,210,0.00015495,simple:baseline
solver,gpt-4o-mini-2024-07-18,126,579,0.00036629999999999996,simple:baseline
solver,gpt-4o-mini-2024-07-18,106,4,1.8299999999999998e-05,simple:baseline
solver,gpt-4o-mini-2024-07-18,144,4,2.3999999999999997e-05,simple:baseline
solver,gpt-4o-mini-2024-07-18,152,482,0.000312,simple:baseline
solver,gpt-4o-mini-2024-07-18,80,472,0.00029519999999999997,simple:baseline
solver,gpt-4o-mini-2024-07-18,143,4,2.3849999999999997e-05,simple:baseline
solver,gpt-4o-mini-2024-07-18,123,991,0.0006130500000000001,simple:baseline
solver,gpt-4o-mini-2024-07-18,91,482,0.00030284999999999996,simple:baseline
solver,gpt-4o-mini-2024-07-18,119,578,0.00036465000000000005,simple:baseline
solver,gpt-4o-mini-2024-07-18,147,732,0.00046125,simple:baseline
solver,gpt-4o-mini-2024-07-18,107,455,0.00028905,simple:baseline
solver,gpt-4o-mini-2024-07-18,102,133,9.51e-05,simple:baseline
solver,gpt-4o-mini-2024-07-18,131,4,2.2049999999999997e-05,simple:baseline
solver,gpt-4o-mini-2024-07-18,162,481,0.00031289999999999996,simple:baseline
solver,gpt-4o-mini-2024-07-18,138,721,0.00045329999999999996,simple:baseline
solver,gpt-4o-mini-2024-07-18,146,4,2.4299999999999998e-05,simple:baseline
solver,gpt-4o-mini-2024-07-18,102,386,0.0002469,simple:baseline
