role,model,prompt_tokens,completion_tokens,cost_usd,purpose
solver,gpt-4o-mini-2024-07-18,135,59,5.565e-05,eval
solver,gpt-4o-mini-2024-07-18,139,74,6.525e-05,eval
solver,gpt-4o-mini-2024-07-18,141,75,6.615000000000001e-05,eval
solver,gpt-4o-mini-2024-07-18,143,70,6.345e-05,eval
solver,gpt-4o-mini-2024-07-18,140,76,6.659999999999999e-05,eval
solver,gpt-4o-mini-2024-07-18,147,77,6.825e-05,eval
solver,gpt-4o-mini-2024-07-18,136,85,7.14e-05,eval
solver,gpt-4o-mini-2024-07-18,143,102,8.264999999999999e-05,eval
solver,gpt-4o-mini-2024-07-18,145,89,7.515000000000001e-05,eval
solver,gpt-4o-mini-2024-07-18,135,63,5.8049999999999995e-05,eval
solver,gpt-4o-mini-2024-07-18,140,58,5.5799999999999994e-05,eval
solver,gpt-4o-mini-2024-07-18,144,52,5.2799999999999996e-05,eval
solver,gpt-4o-mini-2024-07-18,151,79,7.005e-05,eval
solver,gpt-4o-mini-2024-07-18,138,82,6.989999999999999e-05,eval
solver,gpt-4o-mini-2024-07-18,140,98,7.98e-05,eval
solver,gpt-4o-mini-2024-07-18,138,68,6.15e-05,eval
solver,gpt-4o-mini-2024-07-18,135,94,7.665e-05,eval
solver,gpt-4o-mini-2024-07-18,135,70,6.225e-05,eval
solver,gpt-4o-mini-2024-07-18,141,52,5.234999999999999e-05,eval
solver,gpt-4o-mini-2024-07-18,142,72,6.45e-05,eval
solver,gpt-4o-mini-2024-07-18,153,103,8.475e-05,eval
solver,gpt-4o-mini-2024-07-18,142,73,6.51e-05,eval
solver,gpt-4o-mini-2024-07-18,145,63,5.955e-05,eval
solver,gpt-4o-mini-2024-07-18,149,83,7.214999999999999e-05,eval
solver,gpt-4o-mini-2024-07-18,141,109,8.654999999999999e-05,eval
solver,gpt-4o-mini-2024-07-18,140,74,6.54e-05,eval
solver,gpt-4o-mini-2024-07-18,146,73,6.569999999999998e-05,eval
solver,gpt-4o-mini-2024-07-18,142,61,5.7900000000000005e-05,eval
solver,gpt-4o-mini-2024-07-18,143,67,6.165e-05,eval
solver,gpt-4o-mini-2024-07-18,138,76,6.63e-05,eval
solver,gpt-4o-mini-2024-07-18,140,65,6e-05,eval
solver,gpt-4o-mini-2024-07-18,146,90,7.59e-05,eval
solver,gpt-4o-mini-2024-07-18,138,51,5.13e-05,eval
solver,gpt-4o-mini-2024-07-18,152,72,6.6e-05,eval
solver,gpt-4o-mini-2024-07-18,141,70,6.315e-05,eval
solver,gpt-4o-mini-2024-07-18,137,52,5.175e-05,eval
solver,gpt-4o-mini-2024-07-18,140,57,5.519999999999999e-05,eval
solver,gpt-4o-mini-2024-07-18,152,75,6.78e-05,eval
solver,gpt-4o-mini-2024-07-18,139,62,5.8049999999999995e-05,eval
solver,gpt-4o-mini-2024-07-18,146,70,6.39e-05,eval
solver,gpt-4o-mini-2024-07-18,154,67,6.33e-05,eval
solver,gpt-4o-mini-2024-07-18,137,63,5.8349999999999995e-05,eval
solver,gpt-4o-mini-2024-07-18,145,63,5.955e-05,eval
solver,gpt-4o-mini-2024-07-18,148,52,5.34e-05,eval
solver,gpt-4o-mini-2024-07-18,142,73,6.51e-05,eval
solver,gpt-4o-mini-2024-07-18,167,74,6.945000000000001e-05,eval
solver,gpt-4o-mini-2024-07-18,146,105,8.49e-05,eval
solver,gpt-4o-mini-2024-07-18,140,78,6.78e-05,eval
solver,gpt-4o-mini-2024-07-18,144,71,6.42e-05,eval
solver,gpt-4o-mini-2024-07-18,137,53,5.234999999999999e-05,eval
solver,gpt-4o-mini-2024-07-18,135,60,5.625e-05,eval
solver,gpt-4o-mini-2024-07-18,148,67,6.239999999999999e-05,eval
solver,gpt-4o-mini-2024-07-18,154,78,6.989999999999999e-05,eval
solver,gpt-4o-mini-2024-07-18,144,92,7.68e-05,eval
solver,gpt-4o-mini-2024-07-18,148,74,6.659999999999999e-05,eval
solver,gpt-4o-mini-2024-07-18,156,99,8.28e-05,eval
solver,gpt-4o-mini-2024-07-18,145,67,6.195e-05,eval
solver,gpt-4o-mini-2024-07-18,140,59,5.6399999999999995e-05,eval
solver,gpt-4o-mini-2024-07-18,140,70,6.3e-05,eval
solver,gpt-4o-mini-2024-07-18,137,59,5.5950000000000005e-05,train
solver,gpt-4o-mini-2024-07-18,150,65,6.15e-05,train
solver,gpt-4o-mini-2024-07-18,142,65,6.0299999999999995e-05,train
solver,gpt-4o-mini-2024-07-18,168,68,6.6e-05,train
solver,gpt-4o-mini-2024-07-18,145,69,6.315e-05,train
solver,gpt-4o-mini-2024-07-18,145,94,7.815e-05,train
solver,gpt-4o-mini-2024-07-18,146,74,6.63e-05,train
solver,gpt-4o-mini-2024-07-18,145,79,6.915e-05,train
solver,gpt-4o-mini-2024-07-18,138,68,6.15e-05,train
solver,gpt-4o-mini-2024-07-18,144,54,5.4e-05,train
solver,gpt-4o-mini-2024-07-18,141,70,6.315e-05,train
solver,gpt-4o-mini-2024-07-18,152,96,8.039999999999999e-05,train
solver,gpt-4o-mini-2024-07-18,139,91,7.545e-05,train
solver,gpt-4o-mini-2024-07-18,157,84,7.395000000000001e-05,train
solver,gpt-4o-mini-2024-07-18,139,81,6.945000000000001e-05,train
solver,gpt-4o-mini-2024-07-18,140,76,6.659999999999999e-05,train
solver,gpt-4o-mini-2024-07-18,141,64,5.955e-05,train
solver,gpt-4o-mini-2024-07-18,147,71,6.465e-05,train
solver,gpt-4o-mini-2024-07-18,152,90,7.68e-05,train
solver,gpt-4o-mini-2024-07-18,144,65,6.0599999999999996e-05,train
solver,gpt-4o-mini-2024-07-18,137,71,6.315e-05,train
solver,gpt-4o-mini-2024-07-18,149,70,6.434999999999999e-05,train
solver,gpt-4o-mini-2024-07-18,139,58,5.564999999999999e-05,train
solver,gpt-4o-mini-2024-07-18,144,86,7.32e-05,train
solver,gpt-4o-mini-2024-07-18,147,100,8.205e-05,train
judge,gpt-4.1-2025-04-14,544,82,0.001744,judge
judge,gpt-4.1-2025-04-14,511,82,0.001678,judge
judge,gpt-4.1-2025-04-14,503,81,0.001654,judge
judge,gpt-4.1-2025-04-14,514,82,0.001684,judge
judge,gpt-4.1-2025-04-14,535,86,0.001758,judge
judge,gpt-4.1-2025-04-14,513,71,0.001594,judge
judge,gpt-4.1-2025-04-14,552,82,0.00176,judge
solver,gpt-4o-mini-2024-07-18,137,52,5.175e-05,val
solver,gpt-4o-mini-2024-07-18,145,62,5.8949999999999996e-05,val
solver,gpt-4o-mini-2024-07-18,150,64,6.0899999999999996e-05,val
solver,gpt-4o-mini-2024-07-18,142,66,6.09e-05,val
solver,gpt-4o-mini-2024-07-18,152,70,6.48e-05,val
solver,gpt-4o-mini-2024-07-18,146,72,6.51e-05,val
solver,gpt-4o-mini-2024-07-18,145,83,7.154999999999999e-05,val
solver,gpt-4o-mini-2024-07-18,170,70,6.75e-05,val
solver,gpt-4o-mini-2024-07-18,149,83,7.214999999999999e-05,val
solver,gpt-4o-mini-2024-07-18,145,69,6.315e-05,val
solver,gpt-4o-mini-2024-07-18,167,101,8.565e-05,val
solver,gpt-4o-mini-2024-07-18,153,68,6.375e-05,val
solver,gpt-4o-mini-2024-07-18,140,63,5.88e-05,val
solver,gpt-4o-mini-2024-07-18,151,88,7.544999999999999e-05,val
solver,gpt-4o-mini-2024-07-18,146,69,6.33e-05,val
optimizer,gpt-4.1-2025-04-14,2260,269,0.006672,rewrite:bundle
solver,gpt-4o-mini-2024-07-18,303,68,8.625e-05,gate:recovery
solver,gpt-4o-mini-2024-07-18,296,61,8.1e-05,gate:recovery
solver,gpt-4o-mini-2024-07-18,302,63,8.31e-05,gate:recovery
solver,gpt-4o-mini-2024-07-18,295,72,8.744999999999998e-05,gate:recovery
solver,gpt-4o-mini-2024-07-18,305,93,0.00010155,gate:recovery
solver,gpt-4o-mini-2024-07-18,302,111,0.0001119,gate:recovery
solver,gpt-4o-mini-2024-07-18,302,114,0.00011369999999999999,gate:recovery
solver,gpt-4o-mini-2024-07-18,150,67,6.269999999999999e-05,gate:old
solver,gpt-4o-mini-2024-07-18,137,64,5.895e-05,gate:old
solver,gpt-4o-mini-2024-07-18,152,60,5.88e-05,gate:old
solver,gpt-4o-mini-2024-07-18,145,83,7.154999999999999e-05,gate:old
solver,gpt-4o-mini-2024-07-18,170,70,6.75e-05,gate:old
solver,gpt-4o-mini-2024-07-18,142,66,6.09e-05,gate:old
solver,gpt-4o-mini-2024-07-18,146,72,6.51e-05,gate:old
solver,gpt-4o-mini-2024-07-18,145,62,5.8949999999999996e-05,gate:old
solver,gpt-4o-mini-2024-07-18,151,76,6.825e-05,gate:old
solver,gpt-4o-mini-2024-07-18,145,69,6.315e-05,gate:old
solver,gpt-4o-mini-2024-07-18,146,76,6.75e-05,gate:old
solver,gpt-4o-mini-2024-07-18,140,66,6.06e-05,gate:old
solver,gpt-4o-mini-2024-07-18,149,98,8.115e-05,gate:old
solver,gpt-4o-mini-2024-07-18,153,68,6.375e-05,gate:old
solver,gpt-4o-mini-2024-07-18,167,97,8.325e-05,gate:old
solver,gpt-4o-mini-2024-07-18,310,72,8.969999999999998e-05,gate:new
solver,gpt-4o-mini-2024-07-18,308,80,9.419999999999999e-05,gate:new
solver,gpt-4o-mini-2024-07-18,328,87,0.0001014,gate:new
solver,gpt-4o-mini-2024-07-18,295,98,0.00010305,gate:new
solver,gpt-4o-mini-2024-07-18,303,92,0.00010065,gate:new
solver,gpt-4o-mini-2024-07-18,300,66,8.46e-05,gate:new
solver,gpt-4o-mini-2024-07-18,303,81,9.405e-05,gate:new
solver,gpt-4o-mini-2024-07-18,304,85,9.659999999999999e-05,gate:new
