role,model,prompt_tokens,completion_tokens,cost_usd,purpose
solver,gpt-4o-mini-2024-07-18,149,249,0.00017175,eval
solver,gpt-4o-mini-2024-07-18,189,289,0.00020175,eval
solver,gpt-4o-mini-2024-07-18,179,333,0.00022664999999999998,eval
solver,gpt-4o-mini-2024-07-18,206,302,0.0002121,eval
solver,gpt-4o-mini-2024-07-18,175,290,0.00020025,eval
solver,gpt-4o-mini-2024-07-18,218,468,0.0003135,eval
solver,gpt-4o-mini-2024-07-18,128,305,0.00020219999999999998,eval
solver,gpt-4o-mini-2024-07-18,147,178,0.00012885,eval
solver,gpt-4o-mini-2024-07-18,263,379,0.00026685,eval
solver,gpt-4o-mini-2024-07-18,131,315,0.00020865,eval
solver,gpt-4o-mini-2024-07-18,162,339,0.0002277,eval
solver,gpt-4o-mini-2024-07-18,154,227,0.0001593,eval
solver,gpt-4o-mini-2024-07-18,136,234,0.0001608,eval
solver,gpt-4o-mini-2024-07-18,168,283,0.00019499999999999997,eval
solver,gpt-4o-mini-2024-07-18,163,365,0.00024344999999999998,eval
solver,gpt-4o-mini-2024-07-18,188,272,0.0001914,eval
solver,gpt-4o-mini-2024-07-18,178,323,0.00022049999999999997,eval
solver,gpt-4o-mini-2024-07-18,210,403,0.0002733,eval
solver,gpt-4o-mini-2024-07-18,122,218,0.0001491,eval
solver,gpt-4o-mini-2024-07-18,200,464,0.00030839999999999996,eval
solver,gpt-4o-mini-2024-07-18,180,274,0.00019140000000000002,eval
solver,gpt-4o-mini-2024-07-18,141,242,0.00016635,eval
solver,gpt-4o-mini-2024-07-18,128,254,0.0001716,eval
solver,gpt-4o-mini-2024-07-18,134,242,0.00016529999999999998,eval
solver,gpt-4o-mini-2024-07-18,210,241,0.0001761,eval
solver,gpt-4o-mini-2024-07-18,144,209,0.000147,eval
solver,gpt-4o-mini-2024-07-18,126,245,0.0001659,eval
solver,gpt-4o-mini-2024-07-18,128,214,0.00014759999999999998,eval
solver,gpt-4o-mini-2024-07-18,153,272,0.00018614999999999997,eval
solver,gpt-4o-mini-2024-07-18,133,261,0.00017654999999999998,eval
solver,gpt-4o-mini-2024-07-18,165,299,0.00020415,eval
solver,gpt-4o-mini-2024-07-18,192,262,0.000186,eval
solver,gpt-4o-mini-2024-07-18,132,248,0.0001686,eval
solver,gpt-4o-mini-2024-07-18,145,282,0.00019094999999999998,eval
solver,gpt-4o-mini-2024-07-18,159,271,0.00018644999999999998,eval
solver,gpt-4o-mini-2024-07-18,147,254,0.00017445,eval
solver,gpt-4o-mini-2024-07-18,160,300,0.000204,eval
solver,gpt-4o-mini-2024-07-18,173,282,0.00019514999999999997,eval
solver,gpt-4o-mini-2024-07-18,161,362,0.00024134999999999998,eval
solver,gpt-4o-mini-2024-07-18,134,303,0.00020189999999999997,eval
solver,gpt-4o-mini-2024-07-18,131,197,0.00013785,eval
solver,gpt-4o-mini-2024-07-18,155,277,0.00018945,eval
solver,gpt-4o-mini-2024-07-18,220,414,0.00028139999999999996,eval
solver,gpt-4o-mini-2024-07-18,238,343,0.00024149999999999996,eval
solver,gpt-4o-mini-2024-07-18,167,376,0.00025065,eval
solver,gpt-4o-mini-2024-07-18,211,316,0.00022125,eval
solver,gpt-4o-mini-2024-07-18,139,267,0.00018104999999999998,eval
solver,gpt-4o-mini-2024-07-18,157,246,0.00017115,eval
solver,gpt-4o-mini-2024-07-18,164,474,0.000309,eval
solver,gpt-4o-mini-2024-07-18,194,315,0.0002181,eval
solver,gpt-4o-mini-2024-07-18,125,225,0.00015375,eval
solver,gpt-4o-mini-2024-07-18,120,192,0.00013319999999999999,eval
